year,decriminalized_countries,source_file,source_kind,period
1791,1,owid_same_sex_sexual_acts_legal_mignot.csv,Our World in Data current historical series,book
1792,1,owid_same_sex_sexual_acts_legal_mignot.csv,Our World in Data current historical series,book
1793,1,owid_same_sex_sexual_acts_legal_mignot.csv,Our World in Data current historical series,book
1794,1,owid_same_sex_sexual_acts_legal_mignot.csv,Our World in Data current historical series,book
1795,1,owid_same_sex_sexual_acts_legal_mignot.csv,Our World in Data current historical series,book
1796,1,owid_same_sex_sexual_acts_legal_mignot.csv,Our World in Data current historical series,book
1797,1,owid_same_sex_sexual_acts_legal_mignot.csv,Our World in Data current historical series,book
1798,1,owid_same_sex_sexual_acts_legal_mignot.csv,Our World in Data current historical series,book
1799,1,owid_same_sex_sexual_acts_legal_mignot.csv,Our World in Data current historical series,book
1800,1,owid_same_sex_sexual_acts_legal_mignot.csv,Our World in Data current historical series,book
1801,1,owid_same_sex_sexual_acts_legal_mignot.csv,Our World in Data current historical series,book
1802,1,owid_same_sex_sexual_acts_legal_mignot.csv,Our World in Data current historical series,book
1803,1,owid_same_sex_sexual_acts_legal_mignot.csv,Our World in Data current historical series,book
1804,1,owid_same_sex_sexual_acts_legal_mignot.csv,Our World in Data current historical series,book
1805,1,owid_same_sex_sexual_acts_legal_mignot.csv,Our World in Data current historical series,book
1806,1,owid_same_sex_sexual_acts_legal_mignot.csv,Our World in Data current historical series,book
1807,1,owid_same_sex_sexual_acts_legal_mignot.csv,Our World in Data current historical series,book
1808,1,owid_same_sex_sexual_acts_legal_mignot.csv,Our World in Data current historical series,book
1809,1,owid_same_sex_sexual_acts_legal_mignot.csv,Our World in Data current historical series,book
1810,1,owid_same_sex_sexual_acts_legal_mignot.csv,Our World in Data current historical series,book
1811,2,owid_same_sex_sexual_acts_legal_mignot.csv,Our World in Data current historical series,book
1812,2,owid_same_sex_sexual_acts_legal_mignot.csv,Our World in Data current historical series,book
1813,3,owid_same_sex_sexual_acts_legal_mignot.csv,Our World in Data current historical series,book
1814,3,owid_same_sex_sexual_acts_legal_mignot.csv,Our World in Data current historical series,book
1815,3,owid_same_sex_sexual_acts_legal_mignot.csv,Our World in Data current historical series,book
1816,3,owid_same_sex_sexual_acts_legal_mignot.csv,Our World in Data current historical series,book
1817,3,owid_same_sex_sexual_acts_legal_mignot.csv,Our World in Data current historical series,book
1818,3,owid_same_sex_sexual_acts_legal_mignot.csv,Our World in Data current historical series,book
1819,3,owid_same_sex_sexual_acts_legal_mignot.csv,Our World in Data current historical series,book
1820,3,owid_same_sex_sexual_acts_legal_mignot.csv,Our World in Data current historical series,book
1821,3,owid_same_sex_sexual_acts_legal_mignot.csv,Our World in Data current historical series,book
1822,7,owid_same_sex_sexual_acts_legal_mignot.csv,Our World in Data current historical series,book
1823,7,owid_same_sex_sexual_acts_legal_mignot.csv,Our World in Data current historical series,book
1824,7,owid_same_sex_sexual_acts_legal_mignot.csv,Our World in Data current historical series,book
1825,7,owid_same_sex_sexual_acts_legal_mignot.csv,Our World in Data current historical series,book
1826,7,owid_same_sex_sexual_acts_legal_mignot.csv,Our World in Data current historical series,book
1827,7,owid_same_sex_sexual_acts_legal_mignot.csv,Our World in Data current historical series,book
1828,7,owid_same_sex_sexual_acts_legal_mignot.csv,Our World in Data current historical series,book
1829,7,owid_same_sex_sexual_acts_legal_mignot.csv,Our World in Data current historical series,book
1830,7,owid_same_sex_sexual_acts_legal_mignot.csv,Our World in Data current historical series,book
1831,8,owid_same_sex_sexual_acts_legal_mignot.csv,Our World in Data current historical series,book
1832,9,owid_same_sex_sexual_acts_legal_mignot.csv,Our World in Data current historical series,book
1833,9,owid_same_sex_sexual_acts_legal_mignot.csv,Our World in Data current historical series,book
1834,9,owid_same_sex_sexual_acts_legal_mignot.csv,Our World in Data current historical series,book
1835,9,owid_same_sex_sexual_acts_legal_mignot.csv,Our World in Data current historical series,book
1836,10,owid_same_sex_sexual_acts_legal_mignot.csv,Our World in Data current historical series,book
1837,11,owid_same_sex_sexual_acts_legal_mignot.csv,Our World in Data current historical series,book
1838,11,owid_same_sex_sexual_acts_legal_mignot.csv,Our World in Data current historical series,book
1839,11,owid_same_sex_sexual_acts_legal_mignot.csv,Our World in Data current historical series,book
1840,11,owid_same_sex_sexual_acts_legal_mignot.csv,Our World in Data current historical series,book
1841,11,owid_same_sex_sexual_acts_legal_mignot.csv,Our World in Data current historical series,book
1842,11,owid_same_sex_sexual_acts_legal_mignot.csv,Our World in Data current historical series,book
1843,11,owid_same_sex_sexual_acts_legal_mignot.csv,Our World in Data current historical series,book
1844,11,owid_same_sex_sexual_acts_legal_mignot.csv,Our World in Data current historical series,book
1845,11,owid_same_sex_sexual_acts_legal_mignot.csv,Our World in Data current historical series,book
1846,11,owid_same_sex_sexual_acts_legal_mignot.csv,Our World in Data current historical series,book
1847,11,owid_same_sex_sexual_acts_legal_mignot.csv,Our World in Data current historical series,book
1848,11,owid_same_sex_sexual_acts_legal_mignot.csv,Our World in Data current historical series,book
1849,11,owid_same_sex_sexual_acts_legal_mignot.csv,Our World in Data current historical series,book
1850,11,owid_same_sex_sexual_acts_legal_mignot.csv,Our World in Data current historical series,book
1851,11,owid_same_sex_sexual_acts_legal_mignot.csv,Our World in Data current historical series,book
1852,12,owid_same_sex_sexual_acts_legal_mignot.csv,Our World in Data current historical series,book
1853,12,owid_same_sex_sexual_acts_legal_mignot.csv,Our World in Data current historical series,book
1854,12,owid_same_sex_sexual_acts_legal_mignot.csv,Our World in Data current historical series,book
1855,12,owid_same_sex_sexual_acts_legal_mignot.csv,Our World in Data current historical series,book
1856,12,owid_same_sex_sexual_acts_legal_mignot.csv,Our World in Data current historical series,book
1857,12,owid_same_sex_sexual_acts_legal_mignot.csv,Our World in Data current historical series,book
1858,21,owid_same_sex_sexual_acts_legal_mignot.csv,Our World in Data current historical series,book
1859,21,owid_same_sex_sexual_acts_legal_mignot.csv,Our World in Data current historical series,book
1860,21,owid_same_sex_sexual_acts_legal_mignot.csv,Our World in Data current historical series,book
1861,21,owid_same_sex_sexual_acts_legal_mignot.csv,Our World in Data current historical series,book
1862,21,owid_same_sex_sexual_acts_legal_mignot.csv,Our World in Data current historical series,book
1863,21,owid_same_sex_sexual_acts_legal_mignot.csv,Our World in Data current historical series,book
1864,21,owid_same_sex_sexual_acts_legal_mignot.csv,Our World in Data current historical series,book
1865,21,owid_same_sex_sexual_acts_legal_mignot.csv,Our World in Data current historical series,book
1866,21,owid_same_sex_sexual_acts_legal_mignot.csv,Our World in Data current historical series,book
1867,21,owid_same_sex_sexual_acts_legal_mignot.csv,Our World in Data current historical series,book
1868,21,owid_same_sex_sexual_acts_legal_mignot.csv,Our World in Data current historical series,book
1869,21,owid_same_sex_sexual_acts_legal_mignot.csv,Our World in Data current historical series,book
1870,21,owid_same_sex_sexual_acts_legal_mignot.csv,Our World in Data current historical series,book
1871,22,owid_same_sex_sexual_acts_legal_mignot.csv,Our World in Data current historical series,book
