year,sex,hours_per_week,version,population,measure,pdf_page
1965,men,31.8,2007 published Table III,"21-65, nonretired nonstudents, fixed demographics",Leisure Measure 1,9
1975,men,33.36,2007 published Table III,"21-65, nonretired nonstudents, fixed demographics",Leisure Measure 1,9
1985,men,35.15,2007 published Table III,"21-65, nonretired nonstudents, fixed demographics",Leisure Measure 1,9
1993,men,37.65,2007 published Table III,"21-65, nonretired nonstudents, fixed demographics",Leisure Measure 1,9
2003,men,37.4,2007 published Table III,"21-65, nonretired nonstudents, fixed demographics",Leisure Measure 1,9
1965,women,29.89,2007 published Table III,"21-65, nonretired nonstudents, fixed demographics",Leisure Measure 1,9
1975,women,33.14,2007 published Table III,"21-65, nonretired nonstudents, fixed demographics",Leisure Measure 1,9
1985,women,34.46,2007 published Table III,"21-65, nonretired nonstudents, fixed demographics",Leisure Measure 1,9
1993,women,37.32,2007 published Table III,"21-65, nonretired nonstudents, fixed demographics",Leisure Measure 1,9
2003,women,33.54,2007 published Table III,"21-65, nonretired nonstudents, fixed demographics",Leisure Measure 1,9
