Entity,Year,‘cost of basic needs’ approach - share of population below poverty line,$1.90 - share of population below poverty line,$5 - share of population below poverty line,$10 - share of population below poverty line,$30 - share of population below poverty line,‘cost of basic needs’ approach - share of population above poverty line,$1.90 - share of population above poverty line,$5 - share of population above poverty line,$10 - share of population above poverty line,$30 - share of population above poverty line,$1.90-$5 - share of population between poverty lines,$5-$10 - share of population between poverty lines,$10-$30 - share of population between poverty lines,‘cost of basic needs’ approach - number below poverty line,$1.90 - number below poverty line,$5 - number below poverty line,$10 - number below poverty line,$30 - number below poverty line,‘cost of basic needs’ approach - number above poverty line,$1.90 - number above poverty line,$5 - number above poverty line,$10 - number above poverty line,$30 - number above poverty line,$1.90-$5 - number between poverty lines,$5-$10 - number between poverty lines,$10-$30 - number between poverty lines
World,1820,75.6466542576312,79.3632175642386,96.2836771947996,99.2327397240524,99.946296090761,24.3533457423688,20.636782435761404,3.716322805200406,0.7672602759476064,0.0537039092390045,16.920459630560998,2.949062529252799,0.7135563667086018,757304073.0,794510854.0,963902787.0,993426064.0,1000569528.0,243803088.0,206596307.0,37204374.0,7681098.0,537634.0,169391933.0,29523276.0,7143464.0
World,1821,75.4302007241329,79.2337221030612,96.20854519035908,99.2059258068446,99.9436565123822,24.569799275867094,20.766277896938803,3.79145480964091,0.7940741931554101,0.0563434876178092,16.974823087297892,2.9973806164855006,0.7377307055376008,760697059.0,799054739.0,970242114.0,1000470041.0,1007909893.0,247781046.0,209423366.0,38235992.0,8008064.0,568212.0,171187374.0,30227927.0,7439853.0
World,1822,75.4256442062658,79.2968006759164,96.2167938614041,99.2142978178526,99.9455521093935,24.5743557937342,20.7031993240836,3.783206138595901,0.7857021821473893,0.0544478906064966,16.919993185487698,2.9975039564485115,0.7312542915408926,766207821.0,805532780.0,977413726.0,1007863728.0,1015292140.0,249637425.0,210312466.0,38431520.0,7981518.0,553106.0,171880946.0,30450001.0,7428412.0
World,1823,75.3046082241567,79.2390113586316,96.1666251674146,99.19852389200072,99.9442610632305,24.695391775843305,20.7609886413684,3.833374832585406,0.8014761079992923,0.0557389367695009,16.927613808782993,3.0318987245861138,0.7457371712297913,770555161.0,810813981.0,984025959.0,1015049893.0,1022680656.0,252695845.0,212437025.0,39225047.0,8201112.0,570349.0,173211979.0,31023934.0,7630763.0
World,1824,75.1451458001532,79.1250433739178,96.0768471167678,99.1665142698599,99.9412426425181,24.8548541998468,20.874956626082195,3.9231528832321914,0.8334857301400973,0.0587573574818947,16.951803742850004,3.089667153092094,0.7747283726582026,774533657.0,815555131.0,990280223.0,1022125942.0,1030111198.0,256183163.0,215161689.0,40436597.0,8590878.0,605622.0,174725092.0,31845719.0,7985256.0
World,1825,75.1571346799761,79.2061894794357,96.1127964599875,99.1867771020167,99.944229418755,24.842865320023904,20.793810520564307,3.887203540012493,0.8132228979832945,0.0557705812449995,16.906606980551814,3.0739806420291984,0.7574523167382949,780255456.0,822291347.0,997809911.0,1029722918.0,1037586526.0,257910061.0,215874171.0,40355607.0,8442600.0,578991.0,175518564.0,31913007.0,7863609.0
World,1826,75.114252657869,79.228903124461,96.1109958773081,99.1918745251487,99.945916670566,24.885747342131,20.771096875539,3.889004122691901,0.8081254748512947,0.0540833294339933,16.8820927528471,3.0808786478406063,0.7540421454173014,785413572.0,828437395.0,1004960815.0,1037175259.0,1045059714.0,260211651.0,217187828.0,40664408.0,8449964.0,565509.0,176523420.0,32214444.0,7884455.0
World,1827,75.0452392460091,79.2253772314169,96.0900198437723,99.18772472996052,99.9457415266408,24.954760753990897,20.7746227685831,3.909980156227704,0.8122752700394926,0.0542584733591979,16.864642612355397,3.097704886188211,0.7580167966802946,790222053.0,834238666.0,1011822382.0,1044441037.0,1052422910.0,262772195.0,218755583.0,41171866.0,8553212.0,571339.0,177583717.0,32618654.0,7981873.0
World,1828,74.9764483057202,79.2414111856211,96.0926948800698,99.1951747769374,99.9475086544775,25.023551694279803,20.758588814378896,3.9073051199302,0.8048252230625934,0.0524913455224975,16.851283694448696,3.1024798968676066,0.7523338775400958,795014066.0,840237674.0,1018920552.0,1051817751.0,1059795136.0,265337663.0,220114055.0,41431177.0,8533978.0,556593.0,178682878.0,32897199.0,7977385.0
World,1829,74.9095529276493,79.2200011628316,96.0780344477076,99.1949834594109,99.9482357049884,25.0904470723507,20.779998837168407,3.921965552292391,0.8050165405890937,0.0517642950116084,16.858033284876015,3.116949011703298,0.7532522455774853,799852648.0,845877798.0,1025880776.0,1059162244.0,1067205154.0,267905224.0,221880073.0,41877096.0,8595627.0,552717.0,180002977.0,33281468.0,8042910.0
World,1830,74.94957245562371,79.2729949781268,96.0637944710768,99.193933978468,99.9488640665478,25.05042754437629,20.727005021873197,3.936205528923196,0.8060660215320041,0.0511359334522012,16.79079949295,3.130139507391192,0.7549300880798029,805955154.0,852446209.0,1033002694.0,1066662020.0,1074780009.0,269374735.0,222883680.0,42327195.0,8667869.0,549880.0,180556485.0,33659326.0,8117989.0
World,1831,74.94343142736581,79.2346422925531,96.0016994851496,99.1747852574968,99.9479546553498,25.05656857263419,20.765357707446896,3.998300514850399,0.8252147425032064,0.052045344650196,16.767057192596496,3.173085772347193,0.7731693978530103,809697637.0,856060383.0,1037213639.0,1071496030.0,1079849443.0,270714110.0,224351364.0,43198108.0,8915717.0,562304.0,181153256.0,34282391.0,8353413.0
World,1832,74.9050605005299,79.1835442687925,95.9462139338286,99.1579541626292,99.9471739891987,25.0949394994701,20.816455731207498,4.053786066171412,0.8420458373707902,0.0528260108012972,16.762669665036086,3.211740228800622,0.789219826569493,813007853.0,859445849.0,1041385253.0,1076244981.0,1084811050.0,272376562.0,225938566.0,43999162.0,9139434.0,573365.0,181939404.0,34859728.0,8566069.0
World,1833,74.8883713832974,79.1705619057028,95.927210822865,99.1579430085534,99.9484218919161,25.111628616702603,20.829438094297203,4.072789177135007,0.8420569914466114,0.0515781080839019,16.756648917162195,3.230732185688396,0.7904788833627094,816527529.0,863217374.0,1045919506.0,1081145025.0,1089763824.0,273798664.0,227108819.0,44406687.0,9181168.0,562370.0,182702132.0,35225519.0,8618798.0
World,1834,74.7834087689733,79.0670916682433,95.8551573575302,99.1398327325911,99.9480445813785,25.216591231026698,20.932908331756707,4.144842642469797,0.8601672674088974,0.0519554186215032,16.78806568928691,3.2846753750608997,0.8082118487873942,819032243.0,865947387.0,1049811259.0,1085785215.0,1094636798.0,276173574.0,229258430.0,45394558.0,9420602.0,569019.0,183863872.0,35973956.0,8851583.0
