year,mean,count
1975,0.7539519965648662,5
1976,0.784152492880821,8
1977,1.03552997112274,1
1978,0.8747600018978141,2
1979,0.6032571494579315,7
1980,0.941689495742321,20
1981,0.8566459433899981,18
1982,0.8953385608536857,7
1983,0.95414000749588,2
1984,0.7736999988555917,4
1985,0.977971994876863,5
1986,0.8944249898195282,4
1987,0.8120066722234104,3
1988,0.6656224876642227,4
1989,0.9998481815511512,11
1990,0.9771999997251174,17
1991,0.9087153763874717,23
1992,0.9194133381048848,9
1993,0.8252125009894382,4
1994,0.8640517477805805,13
1995,0.962677991390229,5
1996,0.835011254996062,8
1997,0.8785300254821781,3
1998,0.7253859996795654,5
1999,0.9866198471614299,7
2000,0.9260432512261145,43
2001,0.9500803479126517,28
2002,0.9229121082707451,19
2003,0.8618242492278417,12
2004,0.9227022752165793,32
2005,0.9011094987392421,20
2006,0.9135207740160134,26
2007,0.9443084392696621,32
2008,0.9625213207869688,29
2009,0.9717760006586704,30
2010,0.9601106736395101,45
2011,0.9688537312003799,53
2012,0.9581914745709476,34
2013,0.9848613715171814,25
2014,0.979685880389868,51
