country_2016,code,year,ratio_2016,source_version_2016,country_2026,ratio_2026,source_version_2026,difference
Afghanistan,AFG,1979,0.243310004472733,WDI archived 2016-11-19,Afghanistan,0.239999994635582,WDI 2026-07-13 / UIS 2026-02,-0.00331000983715099
Pakistan,PAK,1981,0.535539984703063,WDI archived 2016-11-19,Pakistan,0.540000021457672,WDI 2026-07-13 / UIS 2026-02,0.0044600367546090425
Pakistan,PAK,1998,0.642059981822968,WDI archived 2016-11-19,Pakistan,0.639999985694885,WDI 2026-07-13 / UIS 2026-02,-0.0020599961280829415
Pakistan,PAK,2005,0.692589998245239,WDI archived 2016-11-19,Pakistan,0.689999997615814,WDI 2026-07-13 / UIS 2026-02,-0.002590000629425049
Pakistan,PAK,2006,0.737909972667694,WDI archived 2016-11-19,Pakistan,0.740000009536743,WDI 2026-07-13 / UIS 2026-02,0.0020900368690490723
Pakistan,PAK,2008,0.771210014820099,WDI archived 2016-11-19,Pakistan,0.769999980926514,WDI 2026-07-13 / UIS 2026-02,-0.001210033893584983
Pakistan,PAK,2009,0.77658998966217,WDI archived 2016-11-19,Pakistan,0.779999971389771,WDI 2026-07-13 / UIS 2026-02,0.003409981727600986
Pakistan,PAK,2010,0.783590018749237,WDI archived 2016-11-19,Pakistan,0.779999971389771,WDI 2026-07-13 / UIS 2026-02,-0.0035900473594659976
Afghanistan,AFG,2011,0.51896744966507,WDI archived 2016-11-19,Afghanistan,0.519999980926514,WDI 2026-07-13 / UIS 2026-02,0.0010325312614439808
Pakistan,PAK,2011,0.809010028839111,WDI archived 2016-11-19,Pakistan,0.810000002384186,WDI 2026-07-13 / UIS 2026-02,0.000989973545075018
Pakistan,PAK,2012,0.803030014038086,WDI archived 2016-11-19,Pakistan,0.800000011920929,WDI 2026-07-13 / UIS 2026-02,-0.0030300021171570934
Pakistan,PAK,2013,0.798929989337921,WDI archived 2016-11-19,Pakistan,0.800000011920929,WDI 2026-07-13 / UIS 2026-02,0.0010700225830079235
Afghanistan,AFG,2015,0.664160013198853,WDI archived 2016-11-19,Afghanistan,0.439999997615814,WDI 2026-07-13 / UIS 2026-02,-0.224160015583039
