year,sex,Food preparation and cleanup,Household activities,Housework,broad_household_weekly,core_housework_weekly,role
2015,men,0.35,1.43,0.26,10.01,4.27,diagnostic only; not identified as book endpoint
2015,total,0.6,1.84,0.57,12.88,8.19,diagnostic only; not identified as book endpoint
2015,women,0.83,2.23,0.86,15.61,11.83,diagnostic only; not identified as book endpoint
2016,men,0.35,1.38,0.26,9.66,4.27,diagnostic only; not identified as book endpoint
2016,total,0.59,1.82,0.57,12.74,8.12,diagnostic only; not identified as book endpoint
2016,women,0.82,2.24,0.87,15.680000000000001,11.83,diagnostic only; not identified as book endpoint
2017,men,0.36,1.41,0.23,9.87,4.13,diagnostic only; not identified as book endpoint
2017,total,0.6,1.81,0.55,12.67,8.049999999999999,diagnostic only; not identified as book endpoint
2017,women,0.83,2.19,0.85,15.33,11.76,diagnostic only; not identified as book endpoint
2018,men,0.37,1.36,0.24,9.520000000000001,4.27,diagnostic only; not identified as book endpoint
2018,total,0.59,1.78,0.55,12.46,7.98,diagnostic only; not identified as book endpoint
2018,women,0.8,2.17,0.83,15.19,11.41,diagnostic only; not identified as book endpoint
2019,men,0.39,1.39,0.27,9.729999999999999,4.62,diagnostic only; not identified as book endpoint
2019,total,0.6,1.78,0.53,12.46,7.909999999999999,diagnostic only; not identified as book endpoint
2019,women,0.79,2.16,0.78,15.120000000000001,10.99,diagnostic only; not identified as book endpoint
2021,men,0.42,1.54,0.3,10.780000000000001,5.04,diagnostic only; not identified as book endpoint
2021,total,0.64,1.95,0.58,13.65,8.54,diagnostic only; not identified as book endpoint
2021,women,0.86,2.33,0.84,16.310000000000002,11.9,diagnostic only; not identified as book endpoint
2022,men,0.42,1.51,0.31,10.57,5.109999999999999,diagnostic only; not identified as book endpoint
2022,total,0.65,1.89,0.57,13.229999999999999,8.54,diagnostic only; not identified as book endpoint
2022,women,0.87,2.26,0.82,15.819999999999999,11.83,diagnostic only; not identified as book endpoint
2023,men,0.43,1.49,0.32,10.43,5.25,diagnostic only; not identified as book endpoint
2023,total,0.65,1.92,0.61,13.44,8.82,diagnostic only; not identified as book endpoint
2023,women,0.85,2.32,0.89,16.24,12.18,diagnostic only; not identified as book endpoint
2024,men,0.46,1.67,0.36,11.69,5.74,diagnostic only; not identified as book endpoint
2024,total,0.67,2.01,0.62,14.069999999999999,9.030000000000001,diagnostic only; not identified as book endpoint
2024,women,0.86,2.34,0.88,16.38,12.18,diagnostic only; not identified as book endpoint
2025,men,0.51,1.58,0.3,11.06,5.67,diagnostic only; not identified as book endpoint
2025,total,0.71,1.99,0.56,13.93,8.89,diagnostic only; not identified as book endpoint
2025,women,0.91,2.38,0.81,16.66,12.040000000000001,diagnostic only; not identified as book endpoint
