year,series,value,source,source_cell,definition,unit,margin_of_error
1954,Refrigerator,92.4,Greenwood et al. author workbook,"Appliances: row 32, columns 1-2",Refrigerator,percent of households,
1955,Refrigerator,94.1,Greenwood et al. author workbook,"Appliances: row 33, columns 1-2",Refrigerator,percent of households,
1956,Refrigerator,96.0,Greenwood et al. author workbook,"Appliances: row 34, columns 1-2",Refrigerator,percent of households,
1957,Refrigerator,97.3,Greenwood et al. author workbook,"Appliances: row 35, columns 1-2",Refrigerator,percent of households,
1958,Refrigerator,97.7,Greenwood et al. author workbook,"Appliances: row 36, columns 1-2",Refrigerator,percent of households,
1959,Refrigerator,98.0,Greenwood et al. author workbook,"Appliances: row 37, columns 1-2",Refrigerator,percent of households,
1960,Refrigerator,98.2,Greenwood et al. author workbook,"Appliances: row 38, columns 1-2",Refrigerator,percent of households,
1961,Refrigerator,98.3,Greenwood et al. author workbook,"Appliances: row 39, columns 1-2",Refrigerator,percent of households,
1962,Refrigerator,99.5,Greenwood et al. author workbook,"Appliances: row 40, columns 1-2",Refrigerator,percent of households,
1963,Refrigerator,99.1,Greenwood et al. author workbook,"Appliances: row 41, columns 1-2",Refrigerator,percent of households,
1964,Refrigerator,99.3,Greenwood et al. author workbook,"Appliances: row 42, columns 1-2",Refrigerator,percent of households,
1965,Refrigerator,99.5,Greenwood et al. author workbook,"Appliances: row 43, columns 1-2",Refrigerator,percent of households,
1966,Refrigerator,99.6,Greenwood et al. author workbook,"Appliances: row 44, columns 1-2",Refrigerator,percent of households,
1967,Refrigerator,99.7,Greenwood et al. author workbook,"Appliances: row 45, columns 1-2",Refrigerator,percent of households,
1968,Refrigerator,99.8,Greenwood et al. author workbook,"Appliances: row 46, columns 1-2",Refrigerator,percent of households,
1969,Refrigerator,99.8,Greenwood et al. author workbook,"Appliances: row 47, columns 1-2",Refrigerator,percent of households,
1970,Refrigerator,99.8,Greenwood et al. author workbook,"Appliances: row 48, columns 1-2",Refrigerator,percent of households,
1971,Refrigerator,99.8,Greenwood et al. author workbook,"Appliances: row 49, columns 1-2",Refrigerator,percent of households,
1972,Refrigerator,99.9,Greenwood et al. author workbook,"Appliances: row 50, columns 1-2",Refrigerator,percent of households,
1973,Refrigerator,99.9,Greenwood et al. author workbook,"Appliances: row 51, columns 1-2",Refrigerator,percent of households,
1974,Refrigerator,99.9,Greenwood et al. author workbook,"Appliances: row 52, columns 1-2",Refrigerator,percent of households,
1975,Refrigerator,99.9,Greenwood et al. author workbook,"Appliances: row 53, columns 1-2",Refrigerator,percent of households,
1976,Refrigerator,99.8,Greenwood et al. author workbook,"Appliances: row 54, columns 1-2",Refrigerator,percent of households,
1978,Refrigerator,99.7,Greenwood et al. author workbook,"Appliances: row 56, columns 1-2",Refrigerator,percent of households,
2005,Refrigerator,99.3,"Siebens 2013, Table 3, p10",,Refrigerator,percent of households,0.1
2011,Refrigerator,99.2,"Siebens 2013, Table 3, p10",,Refrigerator,percent of households,0.1
1890,Running water,24.0,Greenwood et al. author workbook,"Basic Facilities: row 4, columns 3-4",Running water,percent of households,
1940,Running water,70.0,Greenwood et al. author workbook,"Basic Facilities: row 5, columns 3-4",Running water,percent of households,
1950,Running water,83.0,Greenwood et al. author workbook,"Basic Facilities: row 6, columns 3-4",Running water,percent of households,
1960,Running water,94.0,Greenwood et al. author workbook,"Basic Facilities: row 7, columns 3-4",Running water,percent of households,
1970,Running water,98.0,Greenwood et al. author workbook,"Basic Facilities: row 8, columns 3-4",Running water,percent of households,
1980,Running water,99.0,Greenwood et al. author workbook,"Basic Facilities: row 9, columns 3-4",Running water,percent of households,
1989,Running water,100.0,Greenwood et al. author workbook,"Basic Facilities: row 10, columns 3-4",Running water,percent of households,
1933,Stove,5.0,Greenwood et al. author workbook,"Appliances: row 3, columns 17-18",electric range only,percent of households,
1950,Stove,14.0,Greenwood et al. author workbook,"Appliances: row 4, columns 17-18",electric range only,percent of households,
1960,Stove,30.0,Greenwood et al. author workbook,"Appliances: row 5, columns 17-18",electric range only,percent of households,
1970,Stove,40.0,Greenwood et al. author workbook,"Appliances: row 6, columns 17-18",electric range only,percent of households,
1975,Stove,45.0,Greenwood et al. author workbook,"Appliances: row 7, columns 17-18",electric range only,percent of households,
1980,Stove,50.0,Greenwood et al. author workbook,"Appliances: row 8, columns 17-18",electric range only,percent of households,
1985,Stove,53.0,Greenwood et al. author workbook,"Appliances: row 9, columns 17-18",electric range only,percent of households,
1986,Stove,57.0,Greenwood et al. author workbook,"Appliances: row 10, columns 17-18",electric range only,percent of households,
