figure_id,book_citation,source_urls,download_evidence,clean_file,clean_sha256,transformation_script,script_sha256,output_candidates,notes
18-1,"Stevenson & Wolfers 2008a, fig. 11, based on data from the Gallup World Poll 2006. Credit: Betsey Stevenson and Justin Wolfers.","[""https://users.nber.org/~jwolfers/data/EasterlinParadox.zip""]",figures/18-1/data/raw/,figures/18-1/data/clean/figure_18_1_original_country_inputs.csv,57a7d55a5925509cb1ad35d229c6c4db6aab5816f57a902c2ba1d5eb47e97df4,scripts/reconstruct_18_1.py,73ef5c561f022730c227ffc270483ad21f4fe1d4812e55659b084e01345f5c4a,"[""figures/18-1/plots/book_period/figure_18_1_book_period.png""]",See script for exact plotted subset; diagnostic and alternate-series tables are not necessarily plotted. Raw download logs contain individual URLs and hashes.
18-1,"Stevenson & Wolfers 2008a, fig. 11, based on data from the Gallup World Poll 2006. Credit: Betsey Stevenson and Justin Wolfers.","[""https://users.nber.org/~jwolfers/data/EasterlinParadox.zip""]",figures/18-1/data/raw/,figures/18-1/data/clean/figure_18_1_original_fit.csv,bdb0363998708ecfbbda28dea34d97c4ab4017886737e84c7d8d7b7c08fae22e,scripts/reconstruct_18_1.py,73ef5c561f022730c227ffc270483ad21f4fe1d4812e55659b084e01345f5c4a,"[""figures/18-1/plots/book_period/figure_18_1_book_period.png""]",See script for exact plotted subset; diagnostic and alternate-series tables are not necessarily plotted. Raw download logs contain individual URLs and hashes.
