figure_id,book_citation,role,raw,script,selection,transformation,clean,plot,raw_sha256,script_sha256,clean_sha256,plot_sha256
11-3,PITF 1955-2008 and UCDP 1989-2016,book_period,figures/11-3/data/raw/PITF_GenoPoliticide_2018.xls,scripts/reconstruct_11_3.py,"PITF 1956-1988, then UCDP 1989-2016 high fatality estimates",decode PITF categories using documented arithmetic midpoints/lower bound; sum by year and divide by OWID World population,figures/11-3/data/clean/figure_11_3_book_period.csv,figures/11-3/plots/figure_11_3_book_period.png,4293c10e05799235e6d0fd3c8a64a2188f2cee716f720f01671399089e55911e,b0f2772ba97786a0572171fb1ce0ccffec0b003ab6341d7dc12237293dcfbf52,f9eb63420b83bc1735ca1096b0f5345bc474256337cfb6cb6dac3ca10f3e06d9,34e19a1e31db2103b017fbca83ded2fb1097f4b6785369630aabb59dc8498451
11-3,PITF 1955-2008 and UCDP 1989-2016,book_period,figures/11-3/data/raw/ucdp_onesided_171.xlsx,scripts/reconstruct_11_3.py,"PITF 1956-1988, then UCDP 1989-2016 high fatality estimates",decode PITF categories using documented arithmetic midpoints/lower bound; sum by year and divide by OWID World population,figures/11-3/data/clean/figure_11_3_book_period.csv,figures/11-3/plots/figure_11_3_book_period.png,79cbcb1812496f26b09d82f7ade501e748c98ed3aff581db3e65b88f4c66c684,b0f2772ba97786a0572171fb1ce0ccffec0b003ab6341d7dc12237293dcfbf52,f9eb63420b83bc1735ca1096b0f5345bc474256337cfb6cb6dac3ca10f3e06d9,34e19a1e31db2103b017fbca83ded2fb1097f4b6785369630aabb59dc8498451
11-3,PITF 1955-2008 and UCDP 1989-2016,extension,figures/11-3/data/raw/OneSided_v26_1.csv,scripts/reconstruct_11_3.py,"UCDP v26.1 high fatality estimates, 2017-2023",sum by year and divide by OWID World population; render as dashed successor,figures/11-3/data/clean/figure_11_3_successor.csv,figures/11-3/plots/figure_11_3_extended.png,603a9f8eb084b025b3097cc797012e0a533abe8b2089c7169e16688cd40a1d5c,b0f2772ba97786a0572171fb1ce0ccffec0b003ab6341d7dc12237293dcfbf52,36f52450625393b1b3209ec360324334046b1062bee2f016e2481514a9564c15,28c2f5452f9f554c5de36f3621083340e69c071fd5aa219ecabcf62da3e68f06
