year,source_year,source_series,oecd_value,value,series,unit,method,difference_pp
1900,1900,Eastern Europe,33.9,33.9,Eastern Europe,percent of adults age 15+ with basic education; historical estimates,OECD decadal estimate,0.0
1910,1910,Eastern Europe,36.1,36.1,Eastern Europe,percent of adults age 15+ with basic education; historical estimates,OECD decadal estimate,0.0
1920,1920,Eastern Europe,49.1,49.1,Eastern Europe,percent of adults age 15+ with basic education; historical estimates,OECD decadal estimate,0.0
1930,1930,Eastern Europe,64.4,64.4,Eastern Europe,percent of adults age 15+ with basic education; historical estimates,OECD decadal estimate,0.0
1940,1940,Eastern Europe,92.8,92.8,Eastern Europe,percent of adults age 15+ with basic education; historical estimates,OECD decadal estimate,0.0
1950,1950,Eastern Europe,97.1,97.1,Eastern Europe,percent of adults age 15+ with basic education; historical estimates,OECD decadal estimate,0.0
1960,1960,Eastern Europe,98.5,98.5,Eastern Europe,percent of adults age 15+ with basic education; historical estimates,OECD decadal estimate,0.0
1970,1970,Eastern Europe,98.5,98.5,Eastern Europe,percent of adults age 15+ with basic education; historical estimates,OECD decadal estimate,0.0
1980,1980,Eastern Europe,98.5,98.5,Eastern Europe,percent of adults age 15+ with basic education; historical estimates,OECD decadal estimate,0.0
1990,1990,Eastern Europe,99.7,99.7,Eastern Europe,percent of adults age 15+ with basic education; historical estimates,OECD decadal estimate,0.0
1870,1870,Western Offshoots,82.3,82.3,"US, Canada, Australia, NZ",percent of adults age 15+ with basic education; historical estimates,OECD decadal estimate,0.0
1880,1880,Western Offshoots,86.5,86.5,"US, Canada, Australia, NZ",percent of adults age 15+ with basic education; historical estimates,OECD decadal estimate,0.0
1890,1890,Western Offshoots,92.5,92.5,"US, Canada, Australia, NZ",percent of adults age 15+ with basic education; historical estimates,OECD decadal estimate,0.0
1900,1900,Western Offshoots,96.9,96.9,"US, Canada, Australia, NZ",percent of adults age 15+ with basic education; historical estimates,OECD decadal estimate,0.0
1910,1910,Western Offshoots,96.7,96.7,"US, Canada, Australia, NZ",percent of adults age 15+ with basic education; historical estimates,OECD decadal estimate,0.0
1920,1920,Western Offshoots,98.0,98.0,"US, Canada, Australia, NZ",percent of adults age 15+ with basic education; historical estimates,OECD decadal estimate,0.0
1930,1930,Western Offshoots,98.8,98.8,"US, Canada, Australia, NZ",percent of adults age 15+ with basic education; historical estimates,OECD decadal estimate,0.0
1940,1940,Western Offshoots,100.0,100.0,"US, Canada, Australia, NZ",percent of adults age 15+ with basic education; historical estimates,OECD decadal estimate,0.0
1950,1950,Western Offshoots,100.0,100.0,"US, Canada, Australia, NZ",percent of adults age 15+ with basic education; historical estimates,OECD decadal estimate,0.0
1960,1960,Western Offshoots,100.0,100.0,"US, Canada, Australia, NZ",percent of adults age 15+ with basic education; historical estimates,OECD decadal estimate,0.0
1970,1970,Western Offshoots,100.0,100.0,"US, Canada, Australia, NZ",percent of adults age 15+ with basic education; historical estimates,OECD decadal estimate,0.0
1980,1980,Western Offshoots,100.0,100.0,"US, Canada, Australia, NZ",percent of adults age 15+ with basic education; historical estimates,OECD decadal estimate,0.0
1990,1990,Western Offshoots,100.0,100.0,"US, Canada, Australia, NZ",percent of adults age 15+ with basic education; historical estimates,OECD decadal estimate,0.0
2000,2010,Western Offshoots,100.0,100.0,"US, Canada, Australia, NZ",percent of adults age 15+ with basic education; historical estimates,OECD decadal estimate,0.0
2010,2000,Western Offshoots,100.0,100.0,"US, Canada, Australia, NZ",percent of adults age 15+ with basic education; historical estimates,OECD decadal estimate,0.0
1870,1870,Latin America and Caribbean,13.5,13.5,Latin America,percent of adults age 15+ with basic education; historical estimates,OECD decadal estimate,0.0
1880,1880,Latin America and Caribbean,16.2,16.2,Latin America,percent of adults age 15+ with basic education; historical estimates,OECD decadal estimate,0.0
1890,1890,Latin America and Caribbean,19.5,19.5,Latin America,percent of adults age 15+ with basic education; historical estimates,OECD decadal estimate,0.0
