year,source_series,value,series,unit,method
1870,East Asia,24.3,East Asia,percent of adults age 15+ with basic education; historical estimates,OECD decadal estimate
1880,East Asia,25.6,East Asia,percent of adults age 15+ with basic education; historical estimates,OECD decadal estimate
1890,East Asia,27.6,East Asia,percent of adults age 15+ with basic education; historical estimates,OECD decadal estimate
1900,East Asia,30.2,East Asia,percent of adults age 15+ with basic education; historical estimates,OECD decadal estimate
1910,East Asia,32.8,East Asia,percent of adults age 15+ with basic education; historical estimates,OECD decadal estimate
1920,East Asia,35.9,East Asia,percent of adults age 15+ with basic education; historical estimates,OECD decadal estimate
1930,East Asia,37.9,East Asia,percent of adults age 15+ with basic education; historical estimates,OECD decadal estimate
1940,East Asia,42.1,East Asia,percent of adults age 15+ with basic education; historical estimates,OECD decadal estimate
1950,East Asia,45.8,East Asia,percent of adults age 15+ with basic education; historical estimates,OECD decadal estimate
1960,East Asia,56.2,East Asia,percent of adults age 15+ with basic education; historical estimates,OECD decadal estimate
1970,East Asia,71.8,East Asia,percent of adults age 15+ with basic education; historical estimates,OECD decadal estimate
1980,East Asia,72.4,East Asia,percent of adults age 15+ with basic education; historical estimates,OECD decadal estimate
1990,East Asia,80.0,East Asia,percent of adults age 15+ with basic education; historical estimates,OECD decadal estimate
2000,East Asia,87.1,East Asia,percent of adults age 15+ with basic education; historical estimates,OECD decadal estimate
2010,East Asia,89.8,East Asia,percent of adults age 15+ with basic education; historical estimates,OECD decadal estimate
1870,Eastern Europe,25.1,Eastern Europe,percent of adults age 15+ with basic education; historical estimates,OECD decadal estimate
1880,Eastern Europe,27.4,Eastern Europe,percent of adults age 15+ with basic education; historical estimates,OECD decadal estimate
1890,Eastern Europe,30.8,Eastern Europe,percent of adults age 15+ with basic education; historical estimates,OECD decadal estimate
1900,Eastern Europe,33.9,Eastern Europe,percent of adults age 15+ with basic education; historical estimates,OECD decadal estimate
1910,Eastern Europe,36.1,Eastern Europe,percent of adults age 15+ with basic education; historical estimates,OECD decadal estimate
1920,Eastern Europe,49.1,Eastern Europe,percent of adults age 15+ with basic education; historical estimates,OECD decadal estimate
1930,Eastern Europe,64.4,Eastern Europe,percent of adults age 15+ with basic education; historical estimates,OECD decadal estimate
1940,Eastern Europe,92.8,Eastern Europe,percent of adults age 15+ with basic education; historical estimates,OECD decadal estimate
1950,Eastern Europe,97.1,Eastern Europe,percent of adults age 15+ with basic education; historical estimates,OECD decadal estimate
1960,Eastern Europe,98.5,Eastern Europe,percent of adults age 15+ with basic education; historical estimates,OECD decadal estimate
1970,Eastern Europe,98.5,Eastern Europe,percent of adults age 15+ with basic education; historical estimates,OECD decadal estimate
1980,Eastern Europe,98.5,Eastern Europe,percent of adults age 15+ with basic education; historical estimates,OECD decadal estimate
1990,Eastern Europe,99.7,Eastern Europe,percent of adults age 15+ with basic education; historical estimates,OECD decadal estimate
1870,Latin America and Caribbean,13.5,Latin America,percent of adults age 15+ with basic education; historical estimates,OECD decadal estimate
1880,Latin America and Caribbean,16.2,Latin America,percent of adults age 15+ with basic education; historical estimates,OECD decadal estimate
1890,Latin America and Caribbean,19.5,Latin America,percent of adults age 15+ with basic education; historical estimates,OECD decadal estimate
1900,Latin America and Caribbean,23.0,Latin America,percent of adults age 15+ with basic education; historical estimates,OECD decadal estimate
1910,Latin America and Caribbean,26.7,Latin America,percent of adults age 15+ with basic education; historical estimates,OECD decadal estimate
1920,Latin America and Caribbean,32.0,Latin America,percent of adults age 15+ with basic education; historical estimates,OECD decadal estimate
1930,Latin America and Caribbean,35.7,Latin America,percent of adults age 15+ with basic education; historical estimates,OECD decadal estimate
1940,Latin America and Caribbean,42.7,Latin America,percent of adults age 15+ with basic education; historical estimates,OECD decadal estimate
1950,Latin America and Caribbean,54.0,Latin America,percent of adults age 15+ with basic education; historical estimates,OECD decadal estimate
1960,Latin America and Caribbean,55.5,Latin America,percent of adults age 15+ with basic education; historical estimates,OECD decadal estimate
1970,Latin America and Caribbean,65.4,Latin America,percent of adults age 15+ with basic education; historical estimates,OECD decadal estimate
1980,Latin America and Caribbean,71.5,Latin America,percent of adults age 15+ with basic education; historical estimates,OECD decadal estimate
1990,Latin America and Caribbean,83.3,Latin America,percent of adults age 15+ with basic education; historical estimates,OECD decadal estimate
2000,Latin America and Caribbean,90.0,Latin America,percent of adults age 15+ with basic education; historical estimates,OECD decadal estimate
2010,Latin America and Caribbean,93.5,Latin America,percent of adults age 15+ with basic education; historical estimates,OECD decadal estimate
1870,Middle East and North Africa,4.2,Middle East,percent of adults age 15+ with basic education; historical estimates,OECD decadal estimate
1880,Middle East and North Africa,4.7,Middle East,percent of adults age 15+ with basic education; historical estimates,OECD decadal estimate
1890,Middle East and North Africa,5.3,Middle East,percent of adults age 15+ with basic education; historical estimates,OECD decadal estimate
1900,Middle East and North Africa,5.8,Middle East,percent of adults age 15+ with basic education; historical estimates,OECD decadal estimate
1910,Middle East and North Africa,7.1,Middle East,percent of adults age 15+ with basic education; historical estimates,OECD decadal estimate
1920,Middle East and North Africa,7.5,Middle East,percent of adults age 15+ with basic education; historical estimates,OECD decadal estimate
1930,Middle East and North Africa,8.7,Middle East,percent of adults age 15+ with basic education; historical estimates,OECD decadal estimate
