year,arrivals_2016,arrivals_2017,arrivals_current,current_to_2016_ratio
1995,540511673.060995,525138403.382837,1082522375.32946,2.002773352144239
1996,571347785.186245,555719475.991546,1143489092.74829,2.001388860509088
1997,599813480.498661,585424881.862262,1193996052.17022,1.9906122336189895
1998,617786372.490973,603463797.232998,1209956781.39432,1.9585358876008547
1999,643004522.949076,628321328.458084,1254467157.97263,1.9509460870028434
2000,694711897.991052,677310864.665798,1332379078.84286,1.9178872316650912
2001,693772529.50632,677515946.648468,1299004507.5794,1.8723781244318736
2002,715167546.288996,697734296.328619,1319581840.28965,1.8451366356554622
2003,705929502.823766,688391895.525479,1300066793.0465,1.8416382766921406
2004,778419088.772684,760457364.13704,1436450364.25948,1.8453431897775006
2005,823219414.191739,807795975.42172,1501611341.31288,1.8240718275421215
2006,870776900.084567,855819925.440179,1683029831.5264,1.9327910873186345
2007,932857313.501458,918788974.815295,1739388599.52882,1.8645816185972384
2008,948137344.308194,934728048.41116,1750746690.46876,1.846511690504278
2009,907893256.022522,895481086.345675,1687198487.93653,1.8583665830145522
2010,967194267.430147,954967210.863115,1755720045.79761,1.8152713523236552
2011,1008502827.24736,995605558.714753,1792688016.34094,1.7775736149733563
2012,1059739265.55718,1046157198.93448,1881196824.91292,1.775150630022038
2013,1110801982.80616,1096773105.85313,1952484358.48149,1.7577249489139661
2014,1160911965.78946,1150504912.62137,2012330419.01591,1.7334048388823835
