year,provider_world,unweighted_country_mean,country_count,difference
1949,0.021255326,0.17838213253012047,83,-0.15712680653012048
1950,0.030353178,0.19513059036144578,83,-0.16477741236144577
1951,0.055583203,0.2198187857142857,84,-0.1642355827142857
1952,0.073189717,0.2412845238095238,84,-0.16809480680952382
1953,0.071296735,0.24316510588235293,85,-0.17186837088235293
1954,0.039069662,0.20867543678160919,87,-0.16960577478160918
1955,0.042201553,0.217924091954023,87,-0.175722538954023
1956,0.018748312,0.19468184444444445,90,-0.17593353244444446
1957,0.017190229,0.19293982608695653,92,-0.17574959708695653
1958,0.004933625,0.17832670967741934,93,-0.17339308467741935
1959,-0.012791805,0.16502730107526883,93,-0.17781910607526882
1960,0.007919859,0.18848040540540542,111,-0.18056054640540542
1961,0.011739262,0.1903187807017544,114,-0.1785795187017544
1962,-0.029119663,0.15111120833333333,120,-0.18023087133333332
1963,-0.042393426,0.14054067213114754,122,-0.18293409813114753
1964,-0.061349036,0.12862711999999998,125,-0.18997615599999998
1965,-0.063877811,0.1299316171875,128,-0.1938094281875
1966,-0.049366513,0.14948351515151517,132,-0.19885002815151517
1967,-0.057615905,0.14543375939849626,133,-0.20304966439849625
1968,-0.0704609,0.1394464632352941,136,-0.20990736323529413
1969,-0.08359048,0.13111758088235292,136,-0.21470806088235292
1970,-0.093080946,0.13282097810218976,137,-0.22590192410218976
1971,-0.090003911,0.14421086524822696,141,-0.23421477624822695
1972,-0.099600029,0.14631090780141845,141,-0.24591093680141846
1973,-0.098875414,0.15871792253521128,142,-0.25759333653521127
1974,-0.107353907,0.16926890972222222,144,-0.2766228167222222
1975,-0.127124111,0.17314843046357614,151,-0.3002725414635762
1976,-0.120027792,0.2152726470588235,153,-0.3353004390588235
1977,-0.133169791,0.22606529220779223,154,-0.35923508320779224
1978,-0.126497424,0.2448788846153846,156,-0.3713763086153846
1979,-0.110361197,0.2565816226415094,159,-0.36694281964150943
1980,-0.103225199,0.25290001257861633,159,-0.3561252115786163
1981,-0.081655648,0.2685608136645963,161,-0.3502164616645963
1982,-0.074063123,0.2607121552795031,161,-0.3347752782795031
1983,-0.052869951,0.24432056172839509,162,-0.2971905127283951
1984,-0.032104663,0.23452279141104296,163,-0.26662745441104296
1985,-0.010078867,0.22903617159763312,169,-0.2391150385976331
1986,0.031239311,0.2408401588235294,170,-0.20960084782352942
1987,0.052691248,0.22139171764705884,170,-0.16870046964705884
1988,0.064851003,0.21369553529411764,170,-0.14884453229411765
1989,0.076614791,0.19746815882352942,170,-0.12085336782352941
1990,0.10915891,0.1739681387283237,173,-0.0648092287283237
1991,0.162073893,0.18216963186813187,182,-0.020095738868131874
1992,0.201372521,0.17875049189189188,185,0.02262202910810812
1993,0.255528897,0.1864051818181818,187,0.06912371518181817
1994,0.283739828,0.19222506382978724,188,0.09151476417021279
1995,0.318787798,0.2205804814814815,189,0.09820731651851852
1996,0.346515651,0.24327614814814813,189,0.10323950285185185
1997,0.368100212,0.2264619417989418,189,0.14163827020105818
1998,0.384284467,0.20045667724867722,189,0.1838277897513228
1999,0.424336379,0.20703158638743457,191,0.2173047926125654
2000,0.453967114,0.21939185937500003,192,0.23457525462499998
2001,0.473822271,0.21774693229166667,192,0.2560753387083333
2002,0.49959448,0.20442750520833333,192,0.29516697479166665
2003,0.529510736,0.191584921875,192,0.337925814125
2004,0.566891904,0.19167130729166668,192,0.3752205967083333
2005,0.60021654,0.188333265625,192,0.41188327437500005
2006,0.639264915,0.1777375958549223,193,0.4615273191450777
2007,0.677717959,0.17638595854922282,193,0.5013320004507772
2008,0.719287004,0.1975399793814433,194,0.5217470246185567
2009,0.75445782,0.21978532474226806,194,0.5346724952577319
2010,0.785298357,0.2403295824742268,194,0.5449687745257732
2011,0.789798759,0.24541620408163267,196,0.5443825549183673
2012,0.818936147,0.29070802564102566,195,0.5282281213589743
2013,0.826917611,0.3101967897435897,195,0.5167208212564103
2014,0.844099367,0.3232055230769231,195,0.5208938439230769
