year,entity_id,value,series,unit,source_version
2004,102,3.17478,Norway,Original latent human rights protection score,OWID variable358; upload2016-06-21; archive2018-09-13
2004,171,-1.40746,China,Original latent human rights protection score,OWID variable358; upload2016-06-21; archive2018-09-13
2004,128,-1.68523,North Korea,Original latent human rights protection score,OWID variable358; upload2016-06-21; archive2018-09-13
2004,127,0.435763,South Korea,Original latent human rights protection score,OWID variable358; upload2016-06-21; archive2018-09-13
2005,171,-1.4294,China,Original latent human rights protection score,OWID variable358; upload2016-06-21; archive2018-09-13
2005,128,-1.68336,North Korea,Original latent human rights protection score,OWID variable358; upload2016-06-21; archive2018-09-13
2005,127,0.606683,South Korea,Original latent human rights protection score,OWID variable358; upload2016-06-21; archive2018-09-13
2005,355,0.60021654,World,Original latent human rights protection score,OWID variable358; upload2016-06-21; archive2018-09-13
2005,102,3.14144,Norway,Original latent human rights protection score,OWID variable358; upload2016-06-21; archive2018-09-13
2006,355,0.639264915,World,Original latent human rights protection score,OWID variable358; upload2016-06-21; archive2018-09-13
2006,102,3.08837,Norway,Original latent human rights protection score,OWID variable358; upload2016-06-21; archive2018-09-13
2006,171,-1.37836,China,Original latent human rights protection score,OWID variable358; upload2016-06-21; archive2018-09-13
2006,128,-1.71204,North Korea,Original latent human rights protection score,OWID variable358; upload2016-06-21; archive2018-09-13
2006,127,0.623313,South Korea,Original latent human rights protection score,OWID variable358; upload2016-06-21; archive2018-09-13
2007,171,-1.31596,China,Original latent human rights protection score,OWID variable358; upload2016-06-21; archive2018-09-13
2007,128,-1.77914,North Korea,Original latent human rights protection score,OWID variable358; upload2016-06-21; archive2018-09-13
2007,127,0.517491,South Korea,Original latent human rights protection score,OWID variable358; upload2016-06-21; archive2018-09-13
2007,355,0.677717959,World,Original latent human rights protection score,OWID variable358; upload2016-06-21; archive2018-09-13
2007,102,3.02984,Norway,Original latent human rights protection score,OWID variable358; upload2016-06-21; archive2018-09-13
2008,355,0.719287004,World,Original latent human rights protection score,OWID variable358; upload2016-06-21; archive2018-09-13
2008,102,2.96886,Norway,Original latent human rights protection score,OWID variable358; upload2016-06-21; archive2018-09-13
2008,171,-1.42417,China,Original latent human rights protection score,OWID variable358; upload2016-06-21; archive2018-09-13
2008,128,-1.94139,North Korea,Original latent human rights protection score,OWID variable358; upload2016-06-21; archive2018-09-13
2008,127,0.405213,South Korea,Original latent human rights protection score,OWID variable358; upload2016-06-21; archive2018-09-13
2009,171,-1.44708,China,Original latent human rights protection score,OWID variable358; upload2016-06-21; archive2018-09-13
2009,128,-2.04238,North Korea,Original latent human rights protection score,OWID variable358; upload2016-06-21; archive2018-09-13
2009,127,0.306374,South Korea,Original latent human rights protection score,OWID variable358; upload2016-06-21; archive2018-09-13
2009,355,0.75445782,World,Original latent human rights protection score,OWID variable358; upload2016-06-21; archive2018-09-13
2009,102,3.01212,Norway,Original latent human rights protection score,OWID variable358; upload2016-06-21; archive2018-09-13
2010,355,0.785298357,World,Original latent human rights protection score,OWID variable358; upload2016-06-21; archive2018-09-13
2010,102,3.03684,Norway,Original latent human rights protection score,OWID variable358; upload2016-06-21; archive2018-09-13
2010,171,-1.43895,China,Original latent human rights protection score,OWID variable358; upload2016-06-21; archive2018-09-13
2010,128,-2.05629,North Korea,Original latent human rights protection score,OWID variable358; upload2016-06-21; archive2018-09-13
2010,127,0.274466,South Korea,Original latent human rights protection score,OWID variable358; upload2016-06-21; archive2018-09-13
2011,171,-1.40096,China,Original latent human rights protection score,OWID variable358; upload2016-06-21; archive2018-09-13
2011,128,-2.01818,North Korea,Original latent human rights protection score,OWID variable358; upload2016-06-21; archive2018-09-13
2011,127,0.627788,South Korea,Original latent human rights protection score,OWID variable358; upload2016-06-21; archive2018-09-13
2011,355,0.789798759,World,Original latent human rights protection score,OWID variable358; upload2016-06-21; archive2018-09-13
2011,102,3.0563,Norway,Original latent human rights protection score,OWID variable358; upload2016-06-21; archive2018-09-13
2012,355,0.818936147,World,Original latent human rights protection score,OWID variable358; upload2016-06-21; archive2018-09-13
2012,102,3.06331,Norway,Original latent human rights protection score,OWID variable358; upload2016-06-21; archive2018-09-13
2012,171,-1.29196,China,Original latent human rights protection score,OWID variable358; upload2016-06-21; archive2018-09-13
2012,128,-2.00652,North Korea,Original latent human rights protection score,OWID variable358; upload2016-06-21; archive2018-09-13
2012,127,0.841552,South Korea,Original latent human rights protection score,OWID variable358; upload2016-06-21; archive2018-09-13
2013,171,-1.21209,China,Original latent human rights protection score,OWID variable358; upload2016-06-21; archive2018-09-13
2013,128,-1.97959,North Korea,Original latent human rights protection score,OWID variable358; upload2016-06-21; archive2018-09-13
2013,127,0.961995,South Korea,Original latent human rights protection score,OWID variable358; upload2016-06-21; archive2018-09-13
2013,355,0.826917611,World,Original latent human rights protection score,OWID variable358; upload2016-06-21; archive2018-09-13
2013,102,3.05986,Norway,Original latent human rights protection score,OWID variable358; upload2016-06-21; archive2018-09-13
2014,355,0.844099367,World,Original latent human rights protection score,OWID variable358; upload2016-06-21; archive2018-09-13
2014,102,3.05444,Norway,Original latent human rights protection score,OWID variable358; upload2016-06-21; archive2018-09-13
2014,171,-1.11445,China,Original latent human rights protection score,OWID variable358; upload2016-06-21; archive2018-09-13
2014,128,-1.92347,North Korea,Original latent human rights protection score,OWID variable358; upload2016-06-21; archive2018-09-13
2014,127,0.97126,South Korea,Original latent human rights protection score,OWID variable358; upload2016-06-21; archive2018-09-13
