year,entity_id,value,series,unit,source_version
1960,355,0.007919859,World,Original latent human rights protection score,OWID variable358; upload2016-06-21; archive2018-09-13
1960,102,1.96527,Norway,Original latent human rights protection score,OWID variable358; upload2016-06-21; archive2018-09-13
1960,171,-1.79453,China,Original latent human rights protection score,OWID variable358; upload2016-06-21; archive2018-09-13
1960,128,-1.52935,North Korea,Original latent human rights protection score,OWID variable358; upload2016-06-21; archive2018-09-13
1960,127,-0.034216,South Korea,Original latent human rights protection score,OWID variable358; upload2016-06-21; archive2018-09-13
1961,171,-1.71243,China,Original latent human rights protection score,OWID variable358; upload2016-06-21; archive2018-09-13
1961,128,-1.53326,North Korea,Original latent human rights protection score,OWID variable358; upload2016-06-21; archive2018-09-13
1961,127,0.006237,South Korea,Original latent human rights protection score,OWID variable358; upload2016-06-21; archive2018-09-13
1961,355,0.011739262,World,Original latent human rights protection score,OWID variable358; upload2016-06-21; archive2018-09-13
1961,102,2.01365,Norway,Original latent human rights protection score,OWID variable358; upload2016-06-21; archive2018-09-13
1962,355,-0.029119663,World,Original latent human rights protection score,OWID variable358; upload2016-06-21; archive2018-09-13
1962,102,2.05714,Norway,Original latent human rights protection score,OWID variable358; upload2016-06-21; archive2018-09-13
1962,171,-1.66653,China,Original latent human rights protection score,OWID variable358; upload2016-06-21; archive2018-09-13
1962,128,-1.53603,North Korea,Original latent human rights protection score,OWID variable358; upload2016-06-21; archive2018-09-13
1962,127,0.089261,South Korea,Original latent human rights protection score,OWID variable358; upload2016-06-21; archive2018-09-13
1963,171,-1.6943,China,Original latent human rights protection score,OWID variable358; upload2016-06-21; archive2018-09-13
1963,128,-1.53175,North Korea,Original latent human rights protection score,OWID variable358; upload2016-06-21; archive2018-09-13
1963,127,0.137609,South Korea,Original latent human rights protection score,OWID variable358; upload2016-06-21; archive2018-09-13
1963,355,-0.042393426,World,Original latent human rights protection score,OWID variable358; upload2016-06-21; archive2018-09-13
1963,102,2.10278,Norway,Original latent human rights protection score,OWID variable358; upload2016-06-21; archive2018-09-13
1964,355,-0.061349036,World,Original latent human rights protection score,OWID variable358; upload2016-06-21; archive2018-09-13
1964,102,2.1427,Norway,Original latent human rights protection score,OWID variable358; upload2016-06-21; archive2018-09-13
1964,171,-1.74973,China,Original latent human rights protection score,OWID variable358; upload2016-06-21; archive2018-09-13
1964,128,-1.52667,North Korea,Original latent human rights protection score,OWID variable358; upload2016-06-21; archive2018-09-13
1964,127,0.170363,South Korea,Original latent human rights protection score,OWID variable358; upload2016-06-21; archive2018-09-13
1965,171,-1.93285,China,Original latent human rights protection score,OWID variable358; upload2016-06-21; archive2018-09-13
1965,128,-1.52982,North Korea,Original latent human rights protection score,OWID variable358; upload2016-06-21; archive2018-09-13
1965,127,0.192536,South Korea,Original latent human rights protection score,OWID variable358; upload2016-06-21; archive2018-09-13
1965,355,-0.063877811,World,Original latent human rights protection score,OWID variable358; upload2016-06-21; archive2018-09-13
1965,102,2.18843,Norway,Original latent human rights protection score,OWID variable358; upload2016-06-21; archive2018-09-13
1966,355,-0.049366513,World,Original latent human rights protection score,OWID variable358; upload2016-06-21; archive2018-09-13
1966,102,2.22852,Norway,Original latent human rights protection score,OWID variable358; upload2016-06-21; archive2018-09-13
1966,171,-2.32325,China,Original latent human rights protection score,OWID variable358; upload2016-06-21; archive2018-09-13
1966,128,-1.52865,North Korea,Original latent human rights protection score,OWID variable358; upload2016-06-21; archive2018-09-13
1966,127,0.191612,South Korea,Original latent human rights protection score,OWID variable358; upload2016-06-21; archive2018-09-13
1967,171,-2.56349,China,Original latent human rights protection score,OWID variable358; upload2016-06-21; archive2018-09-13
1967,128,-1.53477,North Korea,Original latent human rights protection score,OWID variable358; upload2016-06-21; archive2018-09-13
1967,127,0.175436,South Korea,Original latent human rights protection score,OWID variable358; upload2016-06-21; archive2018-09-13
1967,355,-0.057615905,World,Original latent human rights protection score,OWID variable358; upload2016-06-21; archive2018-09-13
1967,102,2.26253,Norway,Original latent human rights protection score,OWID variable358; upload2016-06-21; archive2018-09-13
1968,355,-0.0704609,World,Original latent human rights protection score,OWID variable358; upload2016-06-21; archive2018-09-13
1968,102,2.30694,Norway,Original latent human rights protection score,OWID variable358; upload2016-06-21; archive2018-09-13
1968,171,-2.69917,China,Original latent human rights protection score,OWID variable358; upload2016-06-21; archive2018-09-13
1968,128,-1.53302,North Korea,Original latent human rights protection score,OWID variable358; upload2016-06-21; archive2018-09-13
1968,127,0.140267,South Korea,Original latent human rights protection score,OWID variable358; upload2016-06-21; archive2018-09-13
1969,171,-2.7709,China,Original latent human rights protection score,OWID variable358; upload2016-06-21; archive2018-09-13
1969,128,-1.53518,North Korea,Original latent human rights protection score,OWID variable358; upload2016-06-21; archive2018-09-13
1969,127,0.094254,South Korea,Original latent human rights protection score,OWID variable358; upload2016-06-21; archive2018-09-13
1969,355,-0.08359048,World,Original latent human rights protection score,OWID variable358; upload2016-06-21; archive2018-09-13
1969,102,2.34697,Norway,Original latent human rights protection score,OWID variable358; upload2016-06-21; archive2018-09-13
1970,355,-0.093080946,World,Original latent human rights protection score,OWID variable358; upload2016-06-21; archive2018-09-13
1970,102,2.382,Norway,Original latent human rights protection score,OWID variable358; upload2016-06-21; archive2018-09-13
1970,171,-2.77175,China,Original latent human rights protection score,OWID variable358; upload2016-06-21; archive2018-09-13
1970,128,-1.53678,North Korea,Original latent human rights protection score,OWID variable358; upload2016-06-21; archive2018-09-13
1970,127,0.080775,South Korea,Original latent human rights protection score,OWID variable358; upload2016-06-21; archive2018-09-13
1971,171,-2.71784,China,Original latent human rights protection score,OWID variable358; upload2016-06-21; archive2018-09-13
1971,128,-1.53641,North Korea,Original latent human rights protection score,OWID variable358; upload2016-06-21; archive2018-09-13
1971,127,0.045404,South Korea,Original latent human rights protection score,OWID variable358; upload2016-06-21; archive2018-09-13
1971,355,-0.090003911,World,Original latent human rights protection score,OWID variable358; upload2016-06-21; archive2018-09-13
1971,102,2.42525,Norway,Original latent human rights protection score,OWID variable358; upload2016-06-21; archive2018-09-13
1972,355,-0.099600029,World,Original latent human rights protection score,OWID variable358; upload2016-06-21; archive2018-09-13
1972,102,2.46028,Norway,Original latent human rights protection score,OWID variable358; upload2016-06-21; archive2018-09-13
1972,171,-2.65335,China,Original latent human rights protection score,OWID variable358; upload2016-06-21; archive2018-09-13
1972,128,-1.54238,North Korea,Original latent human rights protection score,OWID variable358; upload2016-06-21; archive2018-09-13
1972,127,-0.009575,South Korea,Original latent human rights protection score,OWID variable358; upload2016-06-21; archive2018-09-13
1973,171,-2.57271,China,Original latent human rights protection score,OWID variable358; upload2016-06-21; archive2018-09-13
1973,128,-1.54161,North Korea,Original latent human rights protection score,OWID variable358; upload2016-06-21; archive2018-09-13
1973,127,-0.089298,South Korea,Original latent human rights protection score,OWID variable358; upload2016-06-21; archive2018-09-13
1973,355,-0.098875414,World,Original latent human rights protection score,OWID variable358; upload2016-06-21; archive2018-09-13
1973,102,2.48826,Norway,Original latent human rights protection score,OWID variable358; upload2016-06-21; archive2018-09-13
1974,355,-0.107353907,World,Original latent human rights protection score,OWID variable358; upload2016-06-21; archive2018-09-13
1974,102,2.52286,Norway,Original latent human rights protection score,OWID variable358; upload2016-06-21; archive2018-09-13
1974,171,-2.44057,China,Original latent human rights protection score,OWID variable358; upload2016-06-21; archive2018-09-13
1974,128,-1.53688,North Korea,Original latent human rights protection score,OWID variable358; upload2016-06-21; archive2018-09-13
1974,127,-0.203417,South Korea,Original latent human rights protection score,OWID variable358; upload2016-06-21; archive2018-09-13
1975,171,-2.18699,China,Original latent human rights protection score,OWID variable358; upload2016-06-21; archive2018-09-13
1975,128,-1.5338,North Korea,Original latent human rights protection score,OWID variable358; upload2016-06-21; archive2018-09-13
1975,127,-0.279922,South Korea,Original latent human rights protection score,OWID variable358; upload2016-06-21; archive2018-09-13
1975,355,-0.127124111,World,Original latent human rights protection score,OWID variable358; upload2016-06-21; archive2018-09-13
1975,102,2.55754,Norway,Original latent human rights protection score,OWID variable358; upload2016-06-21; archive2018-09-13
1976,355,-0.120027792,World,Original latent human rights protection score,OWID variable358; upload2016-06-21; archive2018-09-13
1976,102,2.59415,Norway,Original latent human rights protection score,OWID variable358; upload2016-06-21; archive2018-09-13
1976,171,-1.77201,China,Original latent human rights protection score,OWID variable358; upload2016-06-21; archive2018-09-13
1976,128,-1.52826,North Korea,Original latent human rights protection score,OWID variable358; upload2016-06-21; archive2018-09-13
1976,127,-0.339121,South Korea,Original latent human rights protection score,OWID variable358; upload2016-06-21; archive2018-09-13
1977,171,-1.49278,China,Original latent human rights protection score,OWID variable358; upload2016-06-21; archive2018-09-13
1977,128,-1.52199,North Korea,Original latent human rights protection score,OWID variable358; upload2016-06-21; archive2018-09-13
1977,127,-0.331318,South Korea,Original latent human rights protection score,OWID variable358; upload2016-06-21; archive2018-09-13
1977,355,-0.133169791,World,Original latent human rights protection score,OWID variable358; upload2016-06-21; archive2018-09-13
1977,102,2.62827,Norway,Original latent human rights protection score,OWID variable358; upload2016-06-21; archive2018-09-13
1978,355,-0.126497424,World,Original latent human rights protection score,OWID variable358; upload2016-06-21; archive2018-09-13
1978,102,2.65513,Norway,Original latent human rights protection score,OWID variable358; upload2016-06-21; archive2018-09-13
1978,171,-1.13239,China,Original latent human rights protection score,OWID variable358; upload2016-06-21; archive2018-09-13
1978,128,-1.52147,North Korea,Original latent human rights protection score,OWID variable358; upload2016-06-21; archive2018-09-13
1978,127,-0.232638,South Korea,Original latent human rights protection score,OWID variable358; upload2016-06-21; archive2018-09-13
1979,171,-0.925038,China,Original latent human rights protection score,OWID variable358; upload2016-06-21; archive2018-09-13
1979,128,-1.50735,North Korea,Original latent human rights protection score,OWID variable358; upload2016-06-21; archive2018-09-13
1979,127,-0.248808,South Korea,Original latent human rights protection score,OWID variable358; upload2016-06-21; archive2018-09-13
1979,355,-0.110361197,World,Original latent human rights protection score,OWID variable358; upload2016-06-21; archive2018-09-13
1979,102,2.67506,Norway,Original latent human rights protection score,OWID variable358; upload2016-06-21; archive2018-09-13
1980,355,-0.103225199,World,Original latent human rights protection score,OWID variable358; upload2016-06-21; archive2018-09-13
1980,102,2.69547,Norway,Original latent human rights protection score,OWID variable358; upload2016-06-21; archive2018-09-13
1980,171,-0.824983,China,Original latent human rights protection score,OWID variable358; upload2016-06-21; archive2018-09-13
1980,128,-1.48645,North Korea,Original latent human rights protection score,OWID variable358; upload2016-06-21; archive2018-09-13
1980,127,-0.386364,South Korea,Original latent human rights protection score,OWID variable358; upload2016-06-21; archive2018-09-13
1981,171,-0.767031,China,Original latent human rights protection score,OWID variable358; upload2016-06-21; archive2018-09-13
1981,128,-1.44638,North Korea,Original latent human rights protection score,OWID variable358; upload2016-06-21; archive2018-09-13
1981,127,-0.415005,South Korea,Original latent human rights protection score,OWID variable358; upload2016-06-21; archive2018-09-13
1981,355,-0.081655648,World,Original latent human rights protection score,OWID variable358; upload2016-06-21; archive2018-09-13
1981,102,2.70991,Norway,Original latent human rights protection score,OWID variable358; upload2016-06-21; archive2018-09-13
1982,355,-0.074063123,World,Original latent human rights protection score,OWID variable358; upload2016-06-21; archive2018-09-13
1982,102,2.71743,Norway,Original latent human rights protection score,OWID variable358; upload2016-06-21; archive2018-09-13
1982,171,-0.697698,China,Original latent human rights protection score,OWID variable358; upload2016-06-21; archive2018-09-13
1982,128,-1.42128,North Korea,Original latent human rights protection score,OWID variable358; upload2016-06-21; archive2018-09-13
1982,127,-0.433185,South Korea,Original latent human rights protection score,OWID variable358; upload2016-06-21; archive2018-09-13
1983,171,-0.691742,China,Original latent human rights protection score,OWID variable358; upload2016-06-21; archive2018-09-13
1983,128,-1.40552,North Korea,Original latent human rights protection score,OWID variable358; upload2016-06-21; archive2018-09-13
1983,127,-0.439219,South Korea,Original latent human rights protection score,OWID variable358; upload2016-06-21; archive2018-09-13
1983,355,-0.052869951,World,Original latent human rights protection score,OWID variable358; upload2016-06-21; archive2018-09-13
1983,102,2.70996,Norway,Original latent human rights protection score,OWID variable358; upload2016-06-21; archive2018-09-13
1984,355,-0.032104663,World,Original latent human rights protection score,OWID variable358; upload2016-06-21; archive2018-09-13
1984,102,2.69011,Norway,Original latent human rights protection score,OWID variable358; upload2016-06-21; archive2018-09-13
1984,171,-0.705128,China,Original latent human rights protection score,OWID variable358; upload2016-06-21; archive2018-09-13
1984,128,-1.37281,North Korea,Original latent human rights protection score,OWID variable358; upload2016-06-21; archive2018-09-13
1984,127,-0.362602,South Korea,Original latent human rights protection score,OWID variable358; upload2016-06-21; archive2018-09-13
1985,171,-0.651658,China,Original latent human rights protection score,OWID variable358; upload2016-06-21; archive2018-09-13
1985,128,-1.50543,North Korea,Original latent human rights protection score,OWID variable358; upload2016-06-21; archive2018-09-13
1985,127,-0.411843,South Korea,Original latent human rights protection score,OWID variable358; upload2016-06-21; archive2018-09-13
1985,355,-0.010078867,World,Original latent human rights protection score,OWID variable358; upload2016-06-21; archive2018-09-13
1985,102,2.66699,Norway,Original latent human rights protection score,OWID variable358; upload2016-06-21; archive2018-09-13
1986,355,0.031239311,World,Original latent human rights protection score,OWID variable358; upload2016-06-21; archive2018-09-13
1986,102,2.61437,Norway,Original latent human rights protection score,OWID variable358; upload2016-06-21; archive2018-09-13
1986,171,-0.643529,China,Original latent human rights protection score,OWID variable358; upload2016-06-21; archive2018-09-13
1986,128,-1.54183,North Korea,Original latent human rights protection score,OWID variable358; upload2016-06-21; archive2018-09-13
1986,127,-0.432784,South Korea,Original latent human rights protection score,OWID variable358; upload2016-06-21; archive2018-09-13
1987,171,-0.759479,China,Original latent human rights protection score,OWID variable358; upload2016-06-21; archive2018-09-13
1987,128,-1.48432,North Korea,Original latent human rights protection score,OWID variable358; upload2016-06-21; archive2018-09-13
1987,127,-0.435724,South Korea,Original latent human rights protection score,OWID variable358; upload2016-06-21; archive2018-09-13
1987,355,0.052691248,World,Original latent human rights protection score,OWID variable358; upload2016-06-21; archive2018-09-13
1987,102,2.52622,Norway,Original latent human rights protection score,OWID variable358; upload2016-06-21; archive2018-09-13
1988,355,0.064851003,World,Original latent human rights protection score,OWID variable358; upload2016-06-21; archive2018-09-13
1988,102,2.59474,Norway,Original latent human rights protection score,OWID variable358; upload2016-06-21; archive2018-09-13
1988,171,-0.971854,China,Original latent human rights protection score,OWID variable358; upload2016-06-21; archive2018-09-13
1988,128,-1.46071,North Korea,Original latent human rights protection score,OWID variable358; upload2016-06-21; archive2018-09-13
1988,127,-0.27593,South Korea,Original latent human rights protection score,OWID variable358; upload2016-06-21; archive2018-09-13
1989,171,-1.37306,China,Original latent human rights protection score,OWID variable358; upload2016-06-21; archive2018-09-13
