year,rate_per_1000,rate_per_100000,series
1993,12.1,1210.0,Violent victimization at school
1994,11.8,1180.0,Violent victimization at school
1995,9.7,969.9999999999999,Violent victimization at school
1996,9.8,980.0000000000001,Violent victimization at school
1997,8.0,800.0,Violent victimization at school
1998,7.6,760.0,Violent victimization at school
1999,7.8,780.0,Violent victimization at school
2000,4.6,459.99999999999994,Violent victimization at school
2001,5.3,530.0,Violent victimization at school
2002,4.8,480.0,Violent victimization at school
2003,4.9,490.00000000000006,Violent victimization at school
2004,3.5,350.0,Violent victimization at school
2005,3.5,350.0,Violent victimization at school
2006,4.3,430.0,Violent victimization at school
2007,4.0,400.0,Violent victimization at school
2008,3.2,320.0,Violent victimization at school
2009,3.1,310.0,Violent victimization at school
2010,1.8,180.0,Violent victimization at school
2011,3.4,340.0,Violent victimization at school
2012,3.0,300.0,Violent victimization at school
