year,series,rate,source_period
1903,Drowning,11.4,NSC historical rate table 1903-1998
1904,Drowning,11.3,NSC historical rate table 1903-1998
1905,Drowning,11.1,NSC historical rate table 1903-1998
1906,Drowning,11.0,NSC historical rate table 1903-1998
1907,Drowning,10.4,NSC historical rate table 1903-1998
1908,Drowning,10.5,NSC historical rate table 1903-1998
1909,Drowning,9.4,NSC historical rate table 1903-1998
1910,Drowning,9.4,NSC historical rate table 1903-1998
1911,Drowning,9.6,NSC historical rate table 1903-1998
1912,Drowning,9.0,NSC historical rate table 1903-1998
1913,Drowning,10.6,NSC historical rate table 1903-1998
1914,Drowning,8.8,NSC historical rate table 1903-1998
1915,Drowning,8.6,NSC historical rate table 1903-1998
1916,Drowning,8.7,NSC historical rate table 1903-1998
1917,Drowning,7.4,NSC historical rate table 1903-1998
1918,Drowning,6.8,NSC historical rate table 1903-1998
1919,Drowning,6.9,NSC historical rate table 1903-1998
1920,Drowning,5.7,NSC historical rate table 1903-1998
1921,Drowning,7.2,NSC historical rate table 1903-1998
1922,Drowning,6.4,NSC historical rate table 1903-1998
1923,Drowning,6.1,NSC historical rate table 1903-1998
1924,Drowning,6.5,NSC historical rate table 1903-1998
1925,Drowning,6.3,NSC historical rate table 1903-1998
1926,Drowning,6.4,NSC historical rate table 1903-1998
1927,Drowning,6.8,NSC historical rate table 1903-1998
1928,Drowning,7.1,NSC historical rate table 1903-1998
1929,Drowning,6.2,NSC historical rate table 1903-1998
1930,Drowning,6.1,NSC historical rate table 1903-1998
1931,Drowning,6.1,NSC historical rate table 1903-1998
1932,Drowning,6.0,NSC historical rate table 1903-1998
1933,Drowning,5.7,NSC historical rate table 1903-1998
1934,Drowning,5.6,NSC historical rate table 1903-1998
1935,Drowning,5.3,NSC historical rate table 1903-1998
1936,Drowning,5.2,NSC historical rate table 1903-1998
1937,Drowning,5.5,NSC historical rate table 1903-1998
1938,Drowning,5.3,NSC historical rate table 1903-1998
1939,Drowning,4.9,NSC historical rate table 1903-1998
1940,Drowning,4.7,NSC historical rate table 1903-1998
1941,Drowning,4.8,NSC historical rate table 1903-1998
1942,Drowning,5.0,NSC historical rate table 1903-1998
1943,Drowning,5.3,NSC historical rate table 1903-1998
1944,Drowning,4.9,NSC historical rate table 1903-1998
1945,Drowning,5.0,NSC historical rate table 1903-1998
1946,Drowning,4.6,NSC historical rate table 1903-1998
1947,Drowning,4.8,NSC historical rate table 1903-1998
1948,Drowning,4.5,NSC historical rate table 1903-1998
1949,Drowning,4.5,NSC historical rate table 1903-1998
1950,Drowning,4.1,NSC historical rate table 1903-1998
1951,Drowning,4.2,NSC historical rate table 1903-1998
1952,Drowning,4.2,NSC historical rate table 1903-1998
1953,Drowning,4.3,NSC historical rate table 1903-1998
1954,Drowning,3.9,NSC historical rate table 1903-1998
1955,Drowning,3.9,NSC historical rate table 1903-1998
1956,Drowning,3.7,NSC historical rate table 1903-1998
1957,Drowning,3.9,NSC historical rate table 1903-1998
1959,Drowning,3.7,NSC historical rate table 1903-1998
1960,Drowning,3.6,NSC historical rate table 1903-1998
1961,Drowning,3.6,NSC historical rate table 1903-1998
1962,Drowning,3.5,NSC historical rate table 1903-1998
1963,Drowning,3.4,NSC historical rate table 1903-1998
1964,Drowning,3.5,NSC historical rate table 1903-1998
1965,Drowning,3.5,NSC historical rate table 1903-1998
1966,Drowning,3.6,NSC historical rate table 1903-1998
1967,Drowning,3.6,NSC historical rate table 1903-1998
1969,Drowning,3.8,NSC historical rate table 1903-1998
1970,Drowning,3.9,NSC historical rate table 1903-1998
1971,Drowning,3.6,NSC historical rate table 1903-1998
1972,Drowning,3.6,NSC historical rate table 1903-1998
1973,Drowning,4.1,NSC historical rate table 1903-1998
1974,Drowning,3.7,NSC historical rate table 1903-1998
1975,Drowning,3.7,NSC historical rate table 1903-1998
1976,Drowning,3.1,NSC historical rate table 1903-1998
1977,Drowning,3.2,NSC historical rate table 1903-1998
1978,Drowning,3.2,NSC historical rate table 1903-1998
1979,Drowning,3.1,NSC historical rate table 1903-1998
1980,Drowning,3.2,NSC historical rate table 1903-1998
1981,Drowning,2.7,NSC historical rate table 1903-1998
1982,Drowning,2.7,NSC historical rate table 1903-1998
1983,Drowning,2.7,NSC historical rate table 1903-1998
1984,Drowning,2.3,NSC historical rate table 1903-1998
1985,Drowning,2.2,NSC historical rate table 1903-1998
1986,Drowning,2.4,NSC historical rate table 1903-1998
1987,Drowning,2.1,NSC historical rate table 1903-1998
1988,Drowning,2.0,NSC historical rate table 1903-1998
1989,Drowning,1.9,NSC historical rate table 1903-1998
1990,Drowning,1.9,NSC historical rate table 1903-1998
1991,Drowning,1.8,NSC historical rate table 1903-1998
1992,Drowning,1.4,NSC historical rate table 1903-1998
1993,Drowning,1.5,NSC historical rate table 1903-1998
1994,Drowning,1.5,NSC historical rate table 1903-1998
1995,Drowning,1.7,NSC historical rate table 1903-1998
1996,Drowning,1.5,NSC historical rate table 1903-1998
1997,Drowning,1.5,NSC historical rate table 1903-1998
1998,Drowning,1.6,NSC historical rate table 1903-1998
1999,Drowning,1.3,NSC current rate table 1999-2024
2000,Drowning,1.3,NSC current rate table 1999-2024
2001,Drowning,1.2,NSC current rate table 1999-2024
2002,Drowning,1.2,NSC current rate table 1999-2024
2003,Drowning,1.1,NSC current rate table 1999-2024
