year,percentage_years_at_war,source
2016,0.0,No great-power war reported since 1953; successor interval derived from documented source review
2017,0.0,No great-power war reported since 1953; successor interval derived from documented source review
2018,0.0,No great-power war reported since 1953; successor interval derived from documented source review
2019,0.0,No great-power war reported since 1953; successor interval derived from documented source review
2020,0.0,No great-power war reported since 1953; successor interval derived from documented source review
2021,0.0,No great-power war reported since 1953; successor interval derived from documented source review
2022,0.0,No great-power war reported since 1953; successor interval derived from documented source review
2023,0.0,No great-power war reported since 1953; successor interval derived from documented source review
2024,0.0,No great-power war reported since 1953; successor interval derived from documented source review
2025,0.0,No great-power war reported since 1953; successor interval derived from documented source review
