period_midpoint,percentage_years_at_war,source_file
1513,72.0,figures/11-1/data/raw/humanprogress_20201024.csv
1538,92.0,figures/11-1/data/raw/humanprogress_20201024.csv
1563,100.0,figures/11-1/data/raw/humanprogress_20201024.csv
1588,96.0,figures/11-1/data/raw/humanprogress_20201024.csv
1613,76.0,figures/11-1/data/raw/humanprogress_20201024.csv
1638,100.0,figures/11-1/data/raw/humanprogress_20201024.csv
1663,88.0,figures/11-1/data/raw/humanprogress_20201024.csv
1688,88.0,figures/11-1/data/raw/humanprogress_20201024.csv
1713,88.0,figures/11-1/data/raw/humanprogress_20201024.csv
1738,80.0,figures/11-1/data/raw/humanprogress_20201024.csv
1763,36.0,figures/11-1/data/raw/humanprogress_20201024.csv
1788,60.0,figures/11-1/data/raw/humanprogress_20201024.csv
1813,64.0,figures/11-1/data/raw/humanprogress_20201024.csv
1838,48.0,figures/11-1/data/raw/humanprogress_20201024.csv
1863,32.0,figures/11-1/data/raw/humanprogress_20201024.csv
1888,32.0,figures/11-1/data/raw/humanprogress_20201024.csv
1913,32.0,figures/11-1/data/raw/humanprogress_20201024.csv
1938,28.0,figures/11-1/data/raw/humanprogress_20201024.csv
1963,16.0,figures/11-1/data/raw/humanprogress_20201024.csv
1988,0.0,derived from source-chain no-war interval; archived 1988 cell blank
2008,0.0,derived from source-chain no-war interval
