Entity,Year,billion_tonnes_co2
Africa,1960,0.1565708
Africa,1961,0.16199434
Africa,1962,0.16633496
Africa,1963,0.17633493
Africa,1964,0.19363934
Africa,1965,0.2136344
Africa,1966,0.22108216
Africa,1967,0.2370452
Africa,1968,0.25727149
Africa,1969,0.27771658
Africa,1970,0.30240957
Africa,1971,0.33158237
Africa,1972,0.35161507
Africa,1973,0.3777039
Africa,1974,0.38804627
Africa,1975,0.38683258
Africa,1976,0.4196848
Africa,1977,0.43265232
Africa,1978,0.4620458
Africa,1979,0.4986714
Africa,1980,0.5357071
Africa,1981,0.5485107
Africa,1982,0.5714225
Africa,1983,0.5942891
Africa,1984,0.64884896
Africa,1985,0.66545965
Africa,1986,0.68913466
Africa,1987,0.689027
Africa,1988,0.7238932
Africa,1989,0.6966677
Africa,1990,0.6558094
Africa,1991,0.6842489
Africa,1992,0.6637128
Africa,1993,0.70458963
Africa,1994,0.7887618
Africa,1995,0.84229645
Africa,1996,0.8707846
Africa,1997,0.89264294
Africa,1998,0.91115885
Africa,1999,0.8975152
Africa,2000,0.9278598
Africa,2001,0.9173219
Africa,2002,0.8969563
Africa,2003,0.98811085
Africa,2004,1.0435043
Africa,2005,1.0557128
Africa,2006,1.0848529
Africa,2007,1.1138918
Africa,2008,1.1661994
Africa,2009,1.1608957
Africa,2010,1.216281
Africa,2011,1.2649062
Africa,2012,1.2635158
Africa,2013,1.280567
Africa,2014,1.360819
Africa,2015,1.3359457
Africa,2016,1.3672323
Africa,2017,1.3773176
Africa,2018,1.3911868
Africa,2019,1.4560832
Africa,2020,1.3692488
Africa,2021,1.4753494
Africa,2022,1.4591139
Africa,2023,1.4818144
Africa,2024,1.5020987
Americas (other),1960,0.49106716000000006
Americas (other),1961,0.49932825
Americas (other),1962,0.53121292
Americas (other),1963,0.53553364
Americas (other),1964,0.58742187
Americas (other),1965,0.61235325
Americas (other),1966,0.63699733
Americas (other),1967,0.6889162900000001
Americas (other),1968,0.73628614
Americas (other),1969,0.77769073
Americas (other),1970,0.86064226
Americas (other),1971,0.89700506
Americas (other),1972,0.95143894
Americas (other),1973,1.00434861
Americas (other),1974,1.04639714
Americas (other),1975,1.0613715
Americas (other),1976,1.10596776
Americas (other),1977,1.1361501299999999
Americas (other),1978,1.19773914
Americas (other),1979,1.27805964
Americas (other),1980,1.3198177800000002
Americas (other),1981,1.2975447
Americas (other),1982,1.30582838
Americas (other),1983,1.2584352
Americas (other),1984,1.28912016
Americas (other),1985,1.31258057
Americas (other),1986,1.31445811
Americas (other),1987,1.3856988000000001
Americas (other),1988,1.4333423
Americas (other),1989,1.46327897
Americas (other),1990,1.46587025
Americas (other),1991,1.47734476
Americas (other),1992,1.50450374
Americas (other),1993,1.54549037
Americas (other),1994,1.5801012
Americas (other),1995,1.61323988
Americas (other),1996,1.6761695
Americas (other),1997,1.76474434
Americas (other),1998,1.81560194
Americas (other),1999,1.86197596
Americas (other),2000,1.9004059
Americas (other),2001,1.8933213000000002
Americas (other),2002,1.9343690000000002
Americas (other),2003,1.9846965
Americas (other),2004,2.0153143
Americas (other),2005,2.0680359999999998
Americas (other),2006,2.113772
Americas (other),2007,2.17608664
Americas (other),2008,2.2026431
Americas (other),2009,2.1284365
Americas (other),2010,2.25472395
Americas (other),2011,2.3065189999999998
Americas (other),2012,2.3763319999999997
Americas (other),2013,2.4410413999999996
Americas (other),2014,2.4443721
Americas (other),2015,2.4112377
Americas (other),2016,2.350648
Americas (other),2017,2.3274131000000002
Americas (other),2018,2.2970879
Americas (other),2019,2.3222856
Americas (other),2020,2.09236554
Americas (other),2021,2.2672754
Americas (other),2022,2.2806488
Americas (other),2023,2.2936622
Americas (other),2024,2.2899977
Asia and Pacific (other),1960,0.72828729
Asia and Pacific (other),1961,0.80211043
Asia and Pacific (other),1962,0.85312873
Asia and Pacific (other),1963,0.9328531999999999
Asia and Pacific (other),1964,1.02536228
Asia and Pacific (other),1965,1.1246697399999999
Asia and Pacific (other),1966,1.21977704
Asia and Pacific (other),1967,1.34316452
Asia and Pacific (other),1968,1.4910714999999999
Asia and Pacific (other),1969,1.6572200300000002
Asia and Pacific (other),1970,1.8734342199999998
Asia and Pacific (other),1971,2.02197067
Asia and Pacific (other),1972,2.13054741
Asia and Pacific (other),1973,2.32685746
Asia and Pacific (other),1974,2.35702423
Asia and Pacific (other),1975,2.3563393500000003
Asia and Pacific (other),1976,2.52606996
Asia and Pacific (other),1977,2.6554226400000003
Asia and Pacific (other),1978,2.68803882
Asia and Pacific (other),1979,2.8163820999999998
Asia and Pacific (other),1980,2.8399957000000002
Asia and Pacific (other),1981,2.8167750000000003
Asia and Pacific (other),1982,2.82599348
Asia and Pacific (other),1983,2.88206394
Asia and Pacific (other),1984,3.0071832300000003
Asia and Pacific (other),1985,3.1177917199999996
Asia and Pacific (other),1986,3.2088859000000003
Asia and Pacific (other),1987,3.2745410699999997
Asia and Pacific (other),1988,3.5376514400000003
Asia and Pacific (other),1989,3.6821093
Asia and Pacific (other),1990,3.83040686
Asia and Pacific (other),1991,4.45053904
Asia and Pacific (other),1992,4.13859625
Asia and Pacific (other),1993,4.2648344
Asia and Pacific (other),1994,4.4052247300000005
Asia and Pacific (other),1995,4.48389366
Asia and Pacific (other),1996,4.6219826600000005
Asia and Pacific (other),1997,4.7095582
Asia and Pacific (other),1998,4.614592
Asia and Pacific (other),1999,4.836749500000001
Asia and Pacific (other),2000,5.0901472000000005
Asia and Pacific (other),2001,5.19304414
Asia and Pacific (other),2002,5.3089602000000005
Asia and Pacific (other),2003,5.54946346
Asia and Pacific (other),2004,5.77123802
Asia and Pacific (other),2005,5.9037311
Asia and Pacific (other),2006,6.05086614
Asia and Pacific (other),2007,6.19809037
Asia and Pacific (other),2008,6.31341312
Asia and Pacific (other),2009,6.33558276
Asia and Pacific (other),2010,6.69944974
Asia and Pacific (other),2011,6.93334667
Asia and Pacific (other),2012,7.19643168
Asia and Pacific (other),2013,7.192772349999999
Asia and Pacific (other),2014,7.2800513
Asia and Pacific (other),2015,7.4319250299999995
Asia and Pacific (other),2016,7.56174734
Asia and Pacific (other),2017,7.815190449999999
Asia and Pacific (other),2018,7.89225175
Asia and Pacific (other),2019,8.07082147
Asia and Pacific (other),2020,7.8221833
Asia and Pacific (other),2021,7.99941877
Asia and Pacific (other),2022,8.1283628
Asia and Pacific (other),2023,8.19550472
Asia and Pacific (other),2024,8.34686964
China,1960,0.79881094
China,1961,0.57064115
China,1962,0.4596254
China,1963,0.45678678
China,1964,0.4606444
China,1965,0.5002937
China,1966,0.5494667
China,1967,0.4602332
China,1968,0.4955139
China,1969,0.60769434
China,1970,0.80796365
China,1971,0.90920986
China,1972,0.9686358
China,1973,1.0082686
China,1974,1.0280635
China,1975,1.1831535
China,1976,1.2263395
China,1977,1.3407153
China,1978,1.4925175
China,1979,1.5254173
China,1980,1.4942979
China,1981,1.47628
China,1982,1.6062391
China,1983,1.6937467
China,1984,1.8442127
China,1985,1.9971933
China,1986,2.1034299
China,1987,2.2566295
China,1988,2.4244442
China,1989,2.46215
China,1990,2.4835343
China,1991,2.6191434
China,1992,2.7312904
China,1993,2.9142845
China,1994,3.0938908
China,1995,3.3511972
China,1996,3.4993106
China,1997,3.51235
China,1998,3.355336
China,1999,3.549949
China,2000,3.6438095
China,2001,3.7241142
China,2002,4.0981806
China,2003,4.8352517
China,2004,5.2109614
China,2005,5.8819907
China,2006,6.4861844
China,2007,6.974663
China,2008,7.492404
China,2009,7.881491
China,2010,8.610048
China,2011,9.520154
China,2012,9.76731
China,2013,9.942371
China,2014,9.976027
China,2015,9.85804
China,2016,9.748175
China,2017,10.000013
China,2018,10.34679
China,2019,10.713515
China,2020,10.89652
China,2021,11.284401
China,2022,11.711807
China,2023,12.172008
China,2024,12.289037
EU-27,1960,2.1015826
EU-27,1961,2.2014408
EU-27,1962,2.3565586
EU-27,1963,2.5147013
EU-27,1964,2.6460083
EU-27,1965,2.6786962
