year,tanker_trade_million_tons,main_bulk_million_tons,other_dry_cargo_million_tons,total_all_cargo_million_tons,source,note
1970,1440,448,717,2605,"UNCTAD Review of Maritime Transport 2020, Table 1.1","Tanker trade includes crude oil, refined petroleum products, gas and chemicals; selected years only."
1980,1871,608,1225,3704,"UNCTAD Review of Maritime Transport 2020, Table 1.1","Tanker trade includes crude oil, refined petroleum products, gas and chemicals; selected years only."
1990,1755,988,1265,4008,"UNCTAD Review of Maritime Transport 2020, Table 1.1","Tanker trade includes crude oil, refined petroleum products, gas and chemicals; selected years only."
2000,2163,1186,2635,5984,"UNCTAD Review of Maritime Transport 2020, Table 1.1","Tanker trade includes crude oil, refined petroleum products, gas and chemicals; selected years only."
2005,2422,1579,3108,7109,"UNCTAD Review of Maritime Transport 2020, Table 1.1","Tanker trade includes crude oil, refined petroleum products, gas and chemicals; selected years only."
2006,2698,1676,3328,7702,"UNCTAD Review of Maritime Transport 2020, Table 1.1","Tanker trade includes crude oil, refined petroleum products, gas and chemicals; selected years only."
2007,2747,1811,3478,8036,"UNCTAD Review of Maritime Transport 2020, Table 1.1","Tanker trade includes crude oil, refined petroleum products, gas and chemicals; selected years only."
2008,2742,1911,3578,8231,"UNCTAD Review of Maritime Transport 2020, Table 1.1","Tanker trade includes crude oil, refined petroleum products, gas and chemicals; selected years only."
2009,2641,1998,3218,7857,"UNCTAD Review of Maritime Transport 2020, Table 1.1","Tanker trade includes crude oil, refined petroleum products, gas and chemicals; selected years only."
2010,2752,2232,3423,8408,"UNCTAD Review of Maritime Transport 2020, Table 1.1","Tanker trade includes crude oil, refined petroleum products, gas and chemicals; selected years only."
2011,2785,2364,3626,8775,"UNCTAD Review of Maritime Transport 2020, Table 1.1","Tanker trade includes crude oil, refined petroleum products, gas and chemicals; selected years only."
2012,2840,2564,3791,9195,"UNCTAD Review of Maritime Transport 2020, Table 1.1","Tanker trade includes crude oil, refined petroleum products, gas and chemicals; selected years only."
2013,2828,2734,3951,9513,"UNCTAD Review of Maritime Transport 2020, Table 1.1","Tanker trade includes crude oil, refined petroleum products, gas and chemicals; selected years only."
2014,2825,2964,4054,9842,"UNCTAD Review of Maritime Transport 2020, Table 1.1","Tanker trade includes crude oil, refined petroleum products, gas and chemicals; selected years only."
2015,2932,2930,4161,10023,"UNCTAD Review of Maritime Transport 2020, Table 1.1","Tanker trade includes crude oil, refined petroleum products, gas and chemicals; selected years only."
2016,3058,3009,4228,10295,"UNCTAD Review of Maritime Transport 2020, Table 1.1","Tanker trade includes crude oil, refined petroleum products, gas and chemicals; selected years only."
2017,3146,3151,4419,10716,"UNCTAD Review of Maritime Transport 2020, Table 1.1","Tanker trade includes crude oil, refined petroleum products, gas and chemicals; selected years only."
2018,3201,3215,4603,11019,"UNCTAD Review of Maritime Transport 2020, Table 1.1","Tanker trade includes crude oil, refined petroleum products, gas and chemicals; selected years only."
2019,3169,3225,4682,11076,"UNCTAD Review of Maritime Transport 2020, Table 1.1","Tanker trade includes crude oil, refined petroleum products, gas and chemicals; selected years only."
