year,cargo_type,metric_tons
2000,11,1812767795.2968218
2000,12,1171171875.891357
2001,11,1819231730.0721648
2001,12,1162475683.0953662
2002,11,1788715299.823021
2002,12,1196825579.722026
2003,11,1892011077.6177893
2003,12,1245992995.1001058
2004,11,2014748092.8858469
2004,12,1355939070.490974
2005,11,2076127248.1750429
2005,12,1516411693.8542829
2006,11,2097135281.658146
2006,12,1645068967.0852149
2007,11,2041757038.262106
2007,12,1573949666.478857
2008,11,2063189354.156935
2008,12,1755768970.7638822
2009,11,1926172490.3881018
2009,12,1532212084.9295847
2010,11,2017411260.83402
2010,12,1691194282.991121
2011,11,2031849840.573304
2011,12,1833083385.185968
2012,11,2068762307.494164
2012,12,1812083633.2304053
2013,11,1999613684.713754
2013,12,1872303426.337382
2014,11,1886101473.236775
2014,12,1823201039.315626
2015,11,1911536668.6005158
2015,12,1922498648.369109
2016,11,2056375316.406374
2016,12,2029126653.7117252
