year,value,generated
1975,-1.8677333871913948,True
1976,-2.1160649497412716,True
1977,-2.155200319914555,True
1978,-1.6867422341699037,True
1979,-1.2688649445322058,True
1980,-1.491832725317043,True
1981,-1.5176174075103306,True
1982,-1.4307260333655907,True
1983,-1.2170740958405684,True
1984,-1.2780700456394902,True
1985,-1.0221645869877076,True
1986,-0.9000619452373334,True
1987,-0.8342973316559734,True
1988,-0.5713496194830642,True
1989,-0.1302328932256479,True
1990,0.7274151181790546,True
1991,1.4213644392110685,True
1992,2.043513808139535,True
1993,2.308888571836211,True
1994,2.5750642031673565,True
1995,2.5501363766867646,True
1996,2.4414118575940282,True
1997,2.419107091587712,True
1998,2.575814671260408,True
1999,2.794250645994832,True
2000,2.957131065173701,True
2001,3.104138468479554,True
2002,3.2189302529400976,True
2003,3.213419698565757,True
2004,3.3494879871971475,True
2005,3.5587270075358557,True
2006,3.6277056277056277,True
2007,3.606707317073171,True
2008,3.72987012987013,True
2009,3.7294372294372296,True
2010,3.801731601731602,True
2011,4.013339070567986,True
2012,4.012987012987013,True
2013,4.185281385281385,True
2014,4.121951219512195,False
2015,4.233128834355829,False
