year,value,generated
1800,-6.944444444444445,False
1801,-6.944444444444445,True
1802,-6.944444444444445,False
1803,-6.944444444444445,False
1804,-6.944444444444445,False
1805,-6.944444444444445,True
1806,-6.944444444444445,False
1807,-6.916666666666667,True
1808,-6.880952380952381,True
1809,-6.511904761904763,True
1810,-6.476190476190476,True
1811,-6.575187969924813,True
1812,-6.488721804511278,True
1813,-6.454887218045113,True
1814,-6.25,True
1815,-6.340909090909091,True
1816,-6.318181818181818,True
1817,-6.295454545454546,True
1818,-6.217391304347826,True
1819,-6.195652173913044,True
1820,-5.833333333333333,False
1821,-5.72,False
1822,-5.615384615384615,False
1823,-5.6923076923076925,False
1824,-5.62962962962963,False
1825,-5.448275862068965,False
1826,-5.379310344827586,False
1827,-5.3,False
1828,-5.233333333333333,False
1829,-5.233333333333333,False
1830,-4.942857142857143,False
1831,-4.942857142857143,False
1832,-4.75,False
1833,-4.75,False
1834,-4.75,False
1835,-5.0,False
1836,-4.777777777777778,False
1837,-4.583333333333333,False
1838,-4.315789473684211,False
1839,-4.2,False
1840,-4.225,False
1841,-4.048780487804878,True
1842,-4.146341463414634,False
1843,-4.146341463414634,False
1844,-4.142857142857143,False
1845,-4.142857142857143,False
1846,-4.071428571428571,True
1847,-3.883720930232558,True
1848,-3.1818181818181817,False
1849,-2.909090909090909,False
1850,-2.8863636363636362,False
1851,-2.9318181818181817,False
1852,-3.1363636363636362,True
1853,-2.840909090909091,True
1854,-2.909090909090909,False
1855,-2.7555555555555555,True
1856,-2.7555555555555555,True
1857,-2.4782608695652173,True
1858,-2.6956521739130435,False
1859,-2.6382978723404253,False
1860,-2.574468085106383,True
1861,-2.4791666666666665,True
1862,-2.3541666666666665,False
1863,-2.2708333333333335,True
1864,-2.3541666666666665,False
1865,-2.3958333333333335,False
1866,-2.5416666666666665,False
1867,-2.176470588235294,False
1868,-2.25,False
1869,-2.1153846153846154,False
1870,-2.0,False
1871,-1.7058823529411764,False
1872,-1.6274509803921569,False
1873,-1.6274509803921569,False
1874,-1.5294117647058822,False
1875,-1.4313725490196079,False
1876,-1.5686274509803921,False
1877,-1.607843137254902,False
1878,-1.6274509803921569,False
1879,-1.5,False
1880,-1.0192307692307692,False
1881,-1.0384615384615385,True
1882,-1.0384615384615385,True
1883,-0.9230769230769231,False
1884,-1.0192307692307692,False
1885,-1.0192307692307692,False
1886,-1.2115384615384615,False
1887,-1.2115384615384615,False
1888,-1.0769230769230769,False
1889,-1.0,False
1890,-0.7307692307692307,False
1891,-0.7692307692307693,False
1892,-0.75,False
1893,-0.7307692307692307,False
1894,-0.6538461538461539,False
1895,-0.6730769230769231,False
1896,-0.7692307692307693,False
1897,-0.7692307692307693,False
1898,-0.4230769230769231,False
1899,-0.4230769230769231,False
1900,-0.4423076923076923,False
1901,-0.24528301886792453,False
1902,-0.16666666666666666,False
1903,-0.12727272727272726,False
1904,-0.21818181818181817,False
1905,-0.2,False
1906,0.03636363636363636,False
1907,-0.22321428571428573,True
1908,0.16071428571428573,False
1909,0.21428571428571427,False
1910,0.43859649122807015,False
1911,0.7349953831948292,True
1912,0.8734995383194829,True
1913,0.854507680684966,True
1914,0.7866276192047518,True
1915,0.7377907935984162,True
1916,0.7751608645438047,True
1917,1.2354465709728866,True
1918,1.6853912640839637,True
1919,1.7195439110973916,True
1920,1.9004632794106477,True
1921,2.1696606035106263,True
1922,2.169036471484452,True
1923,1.8140994256661331,True
1924,1.460381413285193,True
1925,1.2503678613718987,True
1926,1.039760863731272,True
1927,0.9504828052284673,True
1928,0.7435576879021333,True
1929,0.6395737470463873,True
1930,0.4620603944259355,True
1931,0.29925292415842497,True
1932,0.3276219244791496,True
1933,-0.026362016376596253,True
1934,-0.5421106631146951,True
1935,-0.5497743923186954,True
1936,-1.1594976963504449,True
1937,-0.8271920148749481,True
1938,-0.7267703913704658,True
1939,-0.713305289605114,True
1940,-1.1636083037817913,True
1941,-0.9299812241818268,True
1942,-0.9721205139449793,True
1943,-0.7595516547007188,True
1944,-0.1987208193243545,True
1945,-0.10136420576294713,True
1946,0.1622800668913952,True
1947,0.14077076919758963,True
1948,0.22853011399076942,True
1949,-0.07165918962236531,True
1950,0.19815623935482823,True
1951,0.11563054662888125,True
1952,0.15900801735175926,True
1953,-0.11868018860919971,True
1954,-0.22100241370362955,True
1955,-0.11993524348009793,True
1956,0.1718327371393451,True
1957,0.4682329150062452,True
1958,0.20832146082972894,True
1959,0.37114037626047797,True
1960,-0.23937646904621862,True
1961,-0.37600730451500697,True
1962,-0.4901822864812166,True
1963,-0.7607274793975561,True
1964,-0.8204980439805734,True
1965,-0.9022784948155197,True
1966,-0.9748583050572074,True
1967,-1.2184963983702763,True
1968,-1.109861448230567,True
1969,-1.3476986345599917,True
1970,-1.310761823688019,True
1971,-1.7385114420578165,True
1972,-2.1190339726294045,True
1973,-2.040504822206482,True
1974,-1.9096299900408251,True
