year,polity_valid_mean,polity2_mean,n_valid,n_polity2,n_rows
1776,,0.0,0,1,1
1777,,0.0,0,1,1
1778,,0.0,0,1,1
1779,,0.0,0,1,1
1780,,0.0,0,1,1
1781,,0.0,0,1,1
1782,,0.0,0,1,1
1783,,0.0,0,1,1
1784,,0.0,0,1,1
1785,,0.0,0,1,1
1786,,0.0,0,1,1
1787,,0.0,0,1,1
1788,,0.0,0,1,1
1789,0.0,0.0,1,1,1
1790,0.0,0.0,1,1,1
1791,0.0,0.0,1,1,1
1792,0.0,0.0,1,1,1
1793,0.0,0.0,1,1,1
1794,0.0,0.0,1,1,1
1795,0.0,0.0,1,1,1
1796,0.0,0.0,1,1,1
1797,5.0,5.0,1,1,1
1798,5.0,5.0,1,1,1
1799,5.0,5.0,1,1,1
1800,-7.318181818181818,-7.318181818181818,22,22,22
1801,-7.142857142857143,-7.142857142857143,21,21,22
1802,-7.2727272727272725,-7.2727272727272725,22,22,22
1803,-7.2727272727272725,-7.2727272727272725,22,22,22
1804,-7.2727272727272725,-7.2727272727272725,22,22,22
1805,-7.142857142857143,-7.142857142857143,21,21,22
1806,-7.2727272727272725,-7.2727272727272725,22,22,23
1807,-7.142857142857143,-7.142857142857143,21,21,23
1808,-7.0,-7.0,20,20,23
1809,-6.842105263157895,-6.95,19,20,23
1810,-6.842105263157895,-6.95,19,20,23
1811,-6.95,-7.0476190476190474,20,21,24
1812,-7.0,-7.0,21,21,24
1813,-7.0,-7.0,21,21,24
1814,-6.913043478260869,-6.913043478260869,23,23,25
1815,-7.466666666666667,-7.466666666666667,30,30,31
1816,-7.548387096774194,-7.548387096774194,31,31,32
1817,-7.548387096774194,-7.548387096774194,31,31,32
1818,-7.4375,-7.4375,32,32,33
1819,-7.333333333333333,-7.333333333333333,33,33,34
1820,-6.9411764705882355,-6.828571428571428,34,35,35
1821,-6.777777777777778,-6.675675675675675,36,37,37
1822,-6.675675675675675,-6.578947368421052,37,38,38
1823,-6.631578947368421,-6.631578947368421,38,38,38
1824,-6.435897435897436,-6.35,39,40,40
1825,-6.2926829268292686,-6.166666666666667,41,42,42
1826,-6.2926829268292686,-6.119047619047619,41,42,42
1827,-6.261904761904762,-6.046511627906977,42,43,43
1828,-6.093023255813954,-6.093023255813954,43,43,43
1829,-6.0476190476190474,-6.023255813953488,42,43,43
1830,-5.782608695652174,-5.75,46,48,48
1831,-5.695652173913044,-5.666666666666667,46,48,48
1832,-5.531914893617022,-5.510204081632653,47,49,49
1833,-5.565217391304348,-5.520833333333333,46,48,48
1834,-5.608695652173913,-5.520833333333333,46,48,48
1835,-5.708333333333333,-5.708333333333333,48,48,48
1836,-5.595744680851064,-5.541666666666667,47,48,48
1837,-5.395833333333333,-5.395833333333333,48,48,48
1838,-5.18,-5.18,50,50,50
1839,-5.196078431372549,-5.196078431372549,51,51,51
1840,-5.196078431372549,-5.196078431372549,51,51,51
1841,-5.098039215686274,-5.098039215686274,51,51,52
1842,-5.134615384615385,-5.134615384615385,52,52,52
1843,-5.134615384615385,-5.134615384615385,52,52,52
1844,-5.113207547169812,-5.113207547169812,53,53,53
1845,-5.150943396226415,-5.150943396226415,53,53,53
1846,-5.134615384615385,-5.134615384615385,52,52,53
1847,-4.811320754716981,-4.811320754716981,53,53,54
1848,-3.9245283018867925,-4.018518518518518,53,54,55
1849,-3.814814814814815,-3.909090909090909,54,55,55
1850,-3.890909090909091,-3.890909090909091,55,55,55
1851,-3.9814814814814814,-3.9272727272727272,54,55,55
1852,-4.169811320754717,-4.166666666666667,53,54,55
1853,-4.148148148148148,-4.148148148148148,54,54,55
1854,-4.0,-4.0,56,56,56
1855,-3.9107142857142856,-3.9107142857142856,56,56,57
1856,-3.9107142857142856,-3.9107142857142856,56,56,57
1857,-3.6666666666666665,-3.6666666666666665,57,57,58
1858,-3.6842105263157894,-3.7758620689655173,57,58,58
1859,-3.6206896551724137,-3.694915254237288,58,59,59
1860,-3.7358490566037736,-3.7413793103448274,53,58,59
1861,-3.176470588235294,-3.1818181818181817,51,55,56
1862,-3.14,-3.0545454545454547,50,55,55
1863,-3.2,-2.9814814814814814,50,54,55
1864,-3.173076923076923,-3.0545454545454547,52,55,55
1865,-2.9814814814814814,-2.963636363636364,54,55,55
1866,-3.1296296296296298,-3.090909090909091,54,55,55
1867,-2.75,-2.7586206896551726,56,58,58
1868,-2.672727272727273,-2.7586206896551726,55,58,58
1869,-2.5454545454545454,-2.6379310344827585,55,58,58
1870,-2.5272727272727273,-2.5344827586206895,55,58,58
1871,-2.3636363636363638,-2.3333333333333335,55,57,57
1872,-1.94,-1.9056603773584906,50,53,53
1873,-1.9230769230769231,-1.849056603773585,52,53,53
1874,-1.803921568627451,-1.7547169811320755,51,53,53
1875,-1.803921568627451,-1.679245283018868,51,53,53
1876,-1.9607843137254901,-1.8867924528301887,51,53,53
1877,-1.8076923076923077,-1.9056603773584906,52,53,53
1878,-1.8076923076923077,-1.9245283018867925,52,53,53
1879,-1.6603773584905661,-1.7962962962962963,53,54,54
1880,-1.3518518518518519,-1.3518518518518519,54,54,54
1881,-1.3396226415094339,-1.3396226415094339,53,53,54
1882,-1.3396226415094339,-1.3396226415094339,53,53,54
1883,-1.2777777777777777,-1.2777777777777777,54,54,54
1884,-1.3703703703703705,-1.3703703703703705,54,54,54
1885,-1.2777777777777777,-1.2777777777777777,54,54,54
1886,-1.462962962962963,-1.462962962962963,54,54,54
1887,-1.462962962962963,-1.462962962962963,54,54,54
1888,-1.3333333333333333,-1.3333333333333333,54,54,54
1889,-1.2592592592592593,-1.2592592592592593,54,54,54
1890,-0.9814814814814815,-0.9814814814814815,54,54,54
1891,-1.0185185185185186,-1.0185185185185186,54,54,54
1892,-1.0,-1.0,54,54,54
1893,-0.9814814814814815,-0.9814814814814815,54,54,54
1894,-0.8518518518518519,-0.8518518518518519,54,54,54
1895,-0.8703703703703703,-0.8703703703703703,54,54,54
1896,-0.9629629629629629,-0.9629629629629629,54,54,54
1897,-0.9629629629629629,-0.9629629629629629,54,54,54
1898,-0.6296296296296297,-0.6296296296296297,54,54,54
1899,-0.6296296296296297,-0.6296296296296297,54,54,54
1900,-0.6481481481481481,-0.6481481481481481,54,54,54
1901,-0.42592592592592593,-0.45454545454545453,54,55,55
1902,-0.36363636363636365,-0.375,55,56,56
1903,-0.41818181818181815,-0.4107142857142857,55,56,56
1904,-0.5272727272727272,-0.5,55,56,56
1905,-0.35185185185185186,-0.44642857142857145,54,56,56
1906,-0.24074074074074073,-0.17857142857142858,54,56,56
1907,-0.5094339622641509,-0.48214285714285715,53,56,57
1908,-0.05555555555555555,-0.017543859649122806,54,57,57
1909,-0.037037037037037035,0.03508771929824561,54,57,57
1910,0.07407407407407407,0.25862068965517243,54,58,58
1911,0.4807692307692308,0.543859649122807,52,57,57
1912,0.4423076923076923,0.6071428571428571,52,56,57
1913,0.82,0.9454545454545454,50,55,56
1914,0.43137254901960786,0.6727272727272727,51,55,57
1915,0.6,0.7037037037037037,50,54,57
1916,0.6875,0.8076923076923077,48,52,57
1917,1.1320754716981132,1.1428571428571428,53,56,59
1918,1.5192307692307692,1.4137931034482758,52,58,63
1919,1.509433962264151,1.4827586206896552,53,58,63
1920,1.8275862068965518,1.8524590163934427,58,61,64
1921,2.1,2.0161290322580645,60,62,65
1922,2.0833333333333335,1.8461538461538463,60,65,67
1923,1.7833333333333334,1.53125,60,64,66
1924,1.360655737704918,1.123076923076923,61,65,68
1925,1.0151515151515151,0.9104477611940298,66,67,68
1926,0.84375,0.7611940298507462,64,67,69
1927,0.859375,0.6567164179104478,64,67,69
1928,0.4393939393939394,0.39705882352941174,66,68,69
1929,0.2878787878787879,0.14705882352941177,66,68,69
1930,0.06349206349206349,-0.04411764705882353,63,68,69
1931,0.015384615384615385,-0.20588235294117646,65,68,69
1932,0.03076923076923077,-0.17647058823529413,65,68,69
1933,-0.46875,-0.5441176470588235,64,68,69
1934,-0.8769230769230769,-0.9855072463768116,65,69,69
1935,-0.8823529411764706,-0.9857142857142858,68,70,70
1936,-1.5217391304347827,-1.5217391304347827,69,69,70
1937,-1.0149253731343284,-1.0735294117647058,67,68,70
1938,-1.0461538461538462,-1.0294117647058822,65,68,70
1939,-1.015625,-0.9701492537313433,64,67,70
1940,-2.210526315789474,-2.180327868852459,57,61,70
1941,-1.9019607843137254,-1.7321428571428572,51,56,67
1942,-1.9811320754716981,-1.8103448275862069,53,58,67
1943,-1.8846153846153846,-1.6610169491525424,52,59,68
1944,-0.8518518518518519,-0.8064516129032258,54,62,69
1945,-0.08771929824561403,-0.04477611940298507,57,67,72
1946,0.3709677419354839,0.16176470588235295,62,68,71
1947,0.27692307692307694,0.057971014492753624,65,69,73
1948,0.0684931506849315,-0.02702702702702703,73,74,78
1949,-0.02666666666666667,-0.1038961038961039,75,77,79
1950,-0.2236842105263158,-0.2597402597402597,76,77,79
1951,-0.21794871794871795,-0.3037974683544304,78,79,81
1952,0.05063291139240506,-0.037037037037037035,79,81,81
1953,-0.12345679012345678,-0.12048192771084337,81,83,83
1954,-0.2926829268292683,-0.39285714285714285,82,84,84
1955,-0.2976190476190476,-0.36470588235294116,84,85,85
1956,0.058823529411764705,0.034482758620689655,85,87,88
1957,0.04597701149425287,0.02247191011235955,87,89,89
1958,-0.4431818181818182,-0.449438202247191,88,89,90
1959,-0.30337078651685395,-0.3,89,90,91
1960,-0.3867924528301887,-0.3486238532110092,106,109,110
1961,-0.5185185185185185,-0.5663716814159292,108,113,113
1962,-0.6756756756756757,-0.7606837606837606,111,117,117
1963,-0.7982456140350878,-0.7983193277310925,114,119,119
1964,-1.0175438596491229,-1.0578512396694215,114,121,121
1965,-1.1260504201680672,-1.098360655737705,119,122,123
1966,-1.4049586776859504,-1.376,121,125,126
1967,-1.6666666666666667,-1.6111111111111112,123,126,127
1968,-1.5634920634920635,-1.5546875,126,128,130
1969,-1.921259842519685,-1.8837209302325582,127,129,130
1970,-1.811023622047244,-1.8307692307692307,127,130,131
1971,-2.2635658914728682,-2.218045112781955,129,133,134
1972,-2.6564885496183206,-2.58955223880597,131,134,135
1973,-2.507575757575758,-2.466666666666667,132,135,135
1974,-2.546153846153846,-2.411764705882353,130,136,136
1975,-2.510948905109489,-2.4225352112676055,137,142,142
1976,-2.6714285714285713,-2.6267605633802815,140,142,142
1977,-2.739130434782609,-2.640845070422535,138,142,142
1978,-2.2318840579710146,-2.195804195804196,138,143,143
1979,-1.8235294117647058,-1.75,136,140,143
1980,-1.9855072463768115,-1.9225352112676057,138,142,144
1981,-1.9130434782608696,-1.8309859154929577,138,142,144
1982,-1.8848920863309353,-1.8450704225352113,139,142,144
1983,-1.683453237410072,-1.647887323943662,139,142,144
1984,-1.7285714285714286,-1.704225352112676,140,142,144
1985,-1.525179856115108,-1.5,139,142,144
1986,-1.3741007194244603,-1.3380281690140845,139,142,144
1987,-1.2733812949640289,-1.2394366197183098,139,142,144
1988,-0.9571428571428572,-0.9436619718309859,140,142,144
1989,-0.427536231884058,-0.4405594405594406,138,143,144
1990,0.7028985507246377,0.5902777777777778,138,144,147
1991,1.4899328859060403,1.35,149,160,161
1992,2.068027210884354,1.93125,147,160,161
1993,2.2582781456953644,2.1226993865030677,151,163,164
1994,2.5657894736842106,2.4012345679012346,152,162,163
1995,2.5163398692810457,2.3664596273291925,153,161,163
1996,2.3630573248407645,2.279503105590062,157,161,163
1997,2.348101265822785,2.3043478260869565,158,161,163
1998,2.628205128205128,2.540372670807453,156,161,163
1999,2.8,2.739130434782609,155,161,163
