year,value_2017_capture,generated,value_2016_capture,capture_difference
1800,-6.944444444444445,False,-6.944444444444445,0.0
1801,-6.944444444444445,True,-6.944444444444445,0.0
1802,-6.944444444444445,False,-6.944444444444445,0.0
1803,-6.944444444444445,False,-6.944444444444445,0.0
1804,-6.944444444444445,False,-6.944444444444445,0.0
1805,-6.944444444444445,True,-6.944444444444445,0.0
1806,-6.944444444444445,False,-6.944444444444445,0.0
1807,-6.916666666666667,True,-6.916666666666667,0.0
1808,-6.880952380952381,True,-6.880952380952381,0.0
1809,-6.511904761904763,True,-6.511904761904763,0.0
1810,-6.476190476190476,True,-6.476190476190476,0.0
1811,-6.575187969924813,True,-6.575187969924813,0.0
1812,-6.488721804511278,True,-6.488721804511278,0.0
1813,-6.454887218045113,True,-6.454887218045113,0.0
1814,-6.25,True,-6.25,0.0
1815,-6.340909090909091,True,-6.340909090909091,0.0
1816,-6.318181818181818,True,-6.318181818181818,0.0
1817,-6.295454545454546,True,-6.295454545454546,0.0
1818,-6.217391304347826,True,-6.217391304347826,0.0
1819,-6.195652173913044,True,-6.195652173913044,0.0
1820,-5.833333333333333,False,-5.833333333333333,0.0
1821,-5.72,False,-5.72,0.0
1822,-5.615384615384615,False,-5.615384615384615,0.0
1823,-5.6923076923076925,False,-5.6923076923076925,0.0
1824,-5.62962962962963,False,-5.62962962962963,0.0
1825,-5.448275862068965,False,-5.448275862068965,0.0
1826,-5.379310344827586,False,-5.379310344827586,0.0
1827,-5.3,False,-5.3,0.0
1828,-5.233333333333333,False,-5.233333333333333,0.0
1829,-5.233333333333333,False,-5.233333333333333,0.0
1830,-4.942857142857143,False,-4.942857142857143,0.0
1831,-4.942857142857143,False,-4.942857142857143,0.0
1832,-4.75,False,-4.75,0.0
1833,-4.75,False,-4.75,0.0
1834,-4.75,False,-4.75,0.0
1835,-5.0,False,-5.0,0.0
1836,-4.777777777777778,False,-4.777777777777778,0.0
1837,-4.583333333333333,False,-4.583333333333333,0.0
1838,-4.315789473684211,False,-4.315789473684211,0.0
1839,-4.2,False,-4.2,0.0
1840,-4.225,False,-4.225,0.0
1841,-4.048780487804878,True,-4.048780487804878,0.0
1842,-4.146341463414634,False,-4.146341463414634,0.0
