Year,deaths_per_million_per_year
1900,4.83
1901,6.32
1902,5.27
1903,4.4
1904,3.8
1905,3.69
1906,5.02
1907,3.87
1908,4.2
1909,3.42
1910,3.18
1911,4.2
1912,4.27
1913,5.16
1914,4.46
1915,3.45
1916,5.11
1917,5.13
1918,5.09
1919,4.95
1920,4.77
1921,5.28
1922,4.62
1923,4.69
1924,3.4
1925,4.38
1926,3.55
1927,3.29
1928,3.77
1929,3.32
1930,3.06
1931,3.73
1932,2.99
1933,3.11
1934,3.68
1935,2.85
1936,3.19
1937,3.57
1938,3.05
1939,2.98
1940,2.58
1941,2.91
1942,2.75
1943,3.15
1944,3.01
1945,1.9
1946,1.62
1947,2.33
1948,1.74
1949,1.67
1950,1.45
1951,1.62
1952,1.36
1953,0.91
1954,1.36
1955,1.1
1956,0.89
1957,1.06
1958,0.6
1959,1.04
1960,0.72
1961,0.82
1962,0.84
1963,0.89
1964,0.69
1965,0.78
1966,0.57
1967,0.45
1968,0.65
1969,0.66
1970,0.6
1971,0.6
1972,0.45
1973,0.59
1974,0.53
1975,0.58
1976,0.38
1977,0.53
1978,0.44
1979,0.39
1980,0.42
1981,0.38
1982,0.44
1983,0.4
1984,0.39
1985,0.36
1986,0.33
1987,0.41
1988,0.34
1989,0.31
1990,0.36
1991,0.3
1992,0.159835331
1993,0.165436155
1994,0.262231782
1995,0.319215256
1996,0.193025828
1997,0.154039691
1998,0.159504666
1999,0.164850917
2000,0.180746967
2001,0.154402784
2002,0.177314092
2003,0.148220697
2004,0.10928764
2005,0.128588378
2006,0.160868738
2007,0.149386913
2008,0.088788345
2009,0.110831667
2010,0.0937459
2011,0.083408493
2012,0.08914284
2013,0.0726865
2014,0.081528368
2015,0.084002548
