Entity,Year,prevalence_percent,source_entity,source_value,is_censored_threshold,source_note
East Asia,1992,23.7,Eastern Asia,23.7,false,"FAO Food Security Indicators archived workbook 2016-03-17, sheet V_2.6"
East Asia,1993,22.8,Eastern Asia,22.8,false,"FAO Food Security Indicators archived workbook 2016-03-17, sheet V_2.6"
East Asia,1994,21.4,Eastern Asia,21.4,false,"FAO Food Security Indicators archived workbook 2016-03-17, sheet V_2.6"
East Asia,1995,19.7,Eastern Asia,19.7,false,"FAO Food Security Indicators archived workbook 2016-03-17, sheet V_2.6"
East Asia,1996,18.3,Eastern Asia,18.3,false,"FAO Food Security Indicators archived workbook 2016-03-17, sheet V_2.6"
East Asia,1997,17.4,Eastern Asia,17.399999999999999,false,"FAO Food Security Indicators archived workbook 2016-03-17, sheet V_2.6"
East Asia,1998,16.8,Eastern Asia,16.8,false,"FAO Food Security Indicators archived workbook 2016-03-17, sheet V_2.6"
East Asia,1999,16.4,Eastern Asia,16.399999999999999,false,"FAO Food Security Indicators archived workbook 2016-03-17, sheet V_2.6"
East Asia,2000,16.2,Eastern Asia,16.2,false,"FAO Food Security Indicators archived workbook 2016-03-17, sheet V_2.6"
East Asia,2001,16.0,Eastern Asia,16,false,"FAO Food Security Indicators archived workbook 2016-03-17, sheet V_2.6"
East Asia,2002,15.9,Eastern Asia,15.9,false,"FAO Food Security Indicators archived workbook 2016-03-17, sheet V_2.6"
East Asia,2003,15.8,Eastern Asia,15.8,false,"FAO Food Security Indicators archived workbook 2016-03-17, sheet V_2.6"
East Asia,2004,15.7,Eastern Asia,15.7,false,"FAO Food Security Indicators archived workbook 2016-03-17, sheet V_2.6"
East Asia,2005,15.5,Eastern Asia,15.5,false,"FAO Food Security Indicators archived workbook 2016-03-17, sheet V_2.6"
East Asia,2006,15.2,Eastern Asia,15.2,false,"FAO Food Security Indicators archived workbook 2016-03-17, sheet V_2.6"
East Asia,2007,14.8,Eastern Asia,14.8,false,"FAO Food Security Indicators archived workbook 2016-03-17, sheet V_2.6"
East Asia,2008,14.2,Eastern Asia,14.2,false,"FAO Food Security Indicators archived workbook 2016-03-17, sheet V_2.6"
East Asia,2009,13.4,Eastern Asia,13.4,false,"FAO Food Security Indicators archived workbook 2016-03-17, sheet V_2.6"
East Asia,2010,12.6,Eastern Asia,12.6,false,"FAO Food Security Indicators archived workbook 2016-03-17, sheet V_2.6"
East Asia,2011,11.8,Eastern Asia,11.8,false,"FAO Food Security Indicators archived workbook 2016-03-17, sheet V_2.6"
East Asia,2012,11.2,Eastern Asia,11.2,false,"FAO Food Security Indicators archived workbook 2016-03-17, sheet V_2.6"
East Asia,2013,10.6,Eastern Asia,10.6,false,"FAO Food Security Indicators archived workbook 2016-03-17, sheet V_2.6"
East Asia,2014,10.1,Eastern Asia,10.1,false,"FAO Food Security Indicators archived workbook 2016-03-17, sheet V_2.6"
East Asia,2015,9.6,Eastern Asia,9.6,false,"FAO Food Security Indicators archived workbook 2016-03-17, sheet V_2.6"
Latin America,1991,13.9,Latin America,13.9,false,"FAO Food Security Indicators archived workbook 2016-03-17, sheet V_2.6"
Latin America,1992,13.2,Latin America,13.2,false,"FAO Food Security Indicators archived workbook 2016-03-17, sheet V_2.6"
Latin America,1993,13.0,Latin America,13,false,"FAO Food Security Indicators archived workbook 2016-03-17, sheet V_2.6"
Latin America,1994,12.6,Latin America,12.6,false,"FAO Food Security Indicators archived workbook 2016-03-17, sheet V_2.6"
Latin America,1995,12.3,Latin America,12.3,false,"FAO Food Security Indicators archived workbook 2016-03-17, sheet V_2.6"
Latin America,1996,12.1,Latin America,12.1,false,"FAO Food Security Indicators archived workbook 2016-03-17, sheet V_2.6"
Latin America,1997,11.9,Latin America,11.9,false,"FAO Food Security Indicators archived workbook 2016-03-17, sheet V_2.6"
Latin America,1998,11.9,Latin America,11.9,false,"FAO Food Security Indicators archived workbook 2016-03-17, sheet V_2.6"
Latin America,1999,11.7,Latin America,11.7,false,"FAO Food Security Indicators archived workbook 2016-03-17, sheet V_2.6"
