year,gainful_percent,current_definition_percent
1850,76.6,
1860,76.0,
1880,78.0,
1890,73.8,
1900,65.4,
1910,58.1,
1920,60.1,
1930,58.0,
1940,43.5,41.8
1950,47.0,41.4
1960,40.8,30.5
1970,35.2,24.8
1980,24.7,19.9
1990,18.4,16.3
