year,series,deaths,population,rate
1970,United States,33,207796338,0.015880934340623463
1971,United States,20,210426423,0.009504509801984326
1972,United States,10,212842571,0.004698308215793917
1973,United States,45,215006548,0.020929595130284126
1974,United States,16,217076475,0.0073706743211119485
1975,United States,24,219129299,0.010952437720343365
1976,United States,4,221168755,0.001808573729141804
1977,United States,5,223259417,0.002239547190074406
1978,United States,8,225396097,0.003549307244659166
1979,United States,18,227575082,0.007909477541130798
1980,United States,15,229858656,0.006525749458832649
1981,United States,8,232201613,0.0034452818379000667
1982,United States,10,234583155,0.004262880682971461
1983,United States,8,236986362,0.003375721679714211
1984,United States,3,239353967,0.0012533738369166032
1985,United States,3,241690438,0.0012412572151489088
1986,United States,1,243953807,0.0004099136686151407
1987,United States,1,246161292,0.00040623771181701467
1988,United States,1,248393236,0.000402587452099541
1989,United States,3,250675047,0.0011967685000573672
1990,United States,5,253373387,0.0019733722073976144
1991,United States,26,256471424,0.010137581643403672
1992,United States,2,259606021,0.0007703981565204144
1994,United States,10,265474811,0.003766835716854508
1995,United States,178,268205796,0.06636694756589077
1996,United States,2,270860695,0.0007383869409328659
1997,United States,2,273468014,0.0007313469574544099
1998,United States,4,276119323,0.0014486490682870464
1999,United States,20,278785482,0.007173974719386572
2000,United States,8,281484126,0.0028420785618298063
2001,United States,3014,284279634,1.0602236810252823
2002,United States,4,287084335,0.001393318796025565
2003,United States,0,289908091,0.0
2004,United States,0,292786248,0.0
2005,United States,0,295716666,0.0
2006,United States,1,298730208,0.0003347502104641523
2007,United States,0,301844223,0.0
2008,United States,2,304970325,0.0006558015111798172
2009,United States,22,308023452,0.0071423133067153605
2010,United States,4,311062785,0.0012859140317926492
2011,United States,0,314105075,0.0
2012,United States,7,317115349,0.0022073986712008694
2013,United States,23,320110752,0.007185013266908322
2014,United States,26,323115377,0.008046661301421133
2015,United States,54,326126496,0.016557992270582026
1970,Western Europe,71,351627479,0.020191823517865623
1971,Western Europe,112,353618545,0.03167254703793886
1972,Western Europe,382,355991719,0.10730586685360509
1973,Western Europe,294,358085998,0.08210318237575992
1974,Western Europe,407,359774867,0.11312630128774392
1975,Western Europe,298,360958458,0.08255797679632153
1976,Western Europe,319,361960709,0.08813111259542815
1977,Western Europe,189,363090415,0.052053150452897524
1978,Western Europe,231,364288094,0.06341135046812703
1979,Western Europe,301,365587775,0.08233316882655609
1980,Western Europe,364,367174698,0.09913537125044494
1981,Western Europe,175,368588561,0.04747841320013184
1982,Western Europe,173,369497375,0.04682035968455797
1983,Western Europe,161,370208130,0.0434890503350102
1984,Western Europe,175,370888958,0.04718393368831433
1985,Western Europe,252,371685184,0.06779931265702535
1986,Western Europe,156,372616475,0.04186610374648625
1987,Western Europe,192,373615085,0.05138978796854522
1988,Western Europe,434,374837978,0.11578335853684495
1989,Western Europe,114,376407972,0.030286287347814193
1990,Western Europe,119,378132408,0.03147045782968171
1991,Western Europe,171,379870827,0.045015302004225766
1992,Western Europe,182,381763938,0.04767343949600603
1994,Western Europe,105,385036631,0.027270132643561384
1995,Western Europe,68,386215045,0.01760677137784728
1996,Western Europe,43,387096700,0.011108335462430964
1997,Western Europe,40,388131434,0.010305787291631731
1998,Western Europe,54,388752375,0.01389059037902984
1999,Western Europe,13,389589419,0.003336846270971235
2000,Western Europe,42,391042370,0.010740524102285898
2001,Western Europe,40,392620581,0.010187952933623722
2002,Western Europe,9,394580187,0.002280905199124963
2003,Western Europe,5,396854571,0.0012599073729706392
2004,Western Europe,196,399240990,0.04909315548987092
2005,Western Europe,60,401617452,0.014939589826390315
2006,Western Europe,6,403639969,0.0014864732089997757
2007,Western Europe,17,405863253,0.004188602903648436
2008,Western Europe,3,408322617,0.0007347131594231529
2009,Western Europe,15,410319662,0.0036556863804396485
2010,Western Europe,5,412075066,0.0012133711579627583
2011,Western Europe,83,413782310,0.020058856551890776
2012,Western Europe,12,415192502,0.0028902256043149836
2013,Western Europe,8,416404209,0.0019212101672103894
2014,Western Europe,6,417821216,0.0014360209032563823
2015,Western Europe,171,419665185,0.04074676816472159
1970,World,174,3694683794,0.004709469326781582
1971,World,173,3769847867,0.004589044600828185
1972,World,484,3844917684,0.01258804582511837
1973,World,370,3920805041,0.009436837489518011
1974,World,539,3996416100,0.01348708409016769
1975,World,617,4070735279,0.015156966928873097
1976,World,672,4144246382,0.016215252136522227
1977,World,456,4217863796,0.010811159915416103
1978,World,1380,4292097499,0.03215211211584828
1979,World,1977,4368539520,0.04525539922321682
1980,World,4336,4447606240,0.09749064476535134
1981,World,4845,4528777306,0.10698251807570774
1982,World,5110,4612673415,0.11078174282581417
1983,World,9435,4697327573,0.2008588895147935
1984,World,10443,4782175518,0.2183734152101441
1985,World,7094,4868943457,0.1456989604141135
1986,World,4972,4958072839,0.10028089867680945
1987,World,6479,5049746390,0.12830347307798165
1988,World,7167,5141992540,0.13938176580862952
1989,World,8073,5234431736,0.15422877605753535
1990,World,6962,5327803106,0.13067299713383965
1991,World,8401,5418735886,0.1550361592951054
1992,World,9632,5505989815,0.17493675658025168
1994,World,7542,5675551258,0.13288577015966754
1995,World,6015,5758878977,0.10444741110245423
1996,World,6723,5842055730,0.11507935409578847
1997,World,10882,5924787819,0.18366902465440002
1998,World,4674,6007066691,0.07780835872860796
1999,World,3286,6089006328,0.053966112416232656
2000,World,4370,6171702992,0.07080703665851326
2001,World,7591,6254936464,0.12136014560163245
2002,World,4522,6337730343,0.07135046389271725
2003,World,3077,6420361633,0.04792564929963657
2004,World,3237,6503377774,0.049774134495788866
2005,World,2416,6586970132,0.03667847206810441
2006,World,3632,6671452019,0.05444092215092344
2007,World,3434,6757308776,0.050819048142310315
2008,World,4075,6844457659,0.05953722271393775
2009,World,4133,6932766416,0.05961545149511352
2010,World,2780,7021732143,0.0395913706672989
2011,World,2713,7110923773,0.038152567607336665
2012,World,4114,7201202478,0.05712934766892691
2013,World,5053,7291793585,0.0692970795332792
2014,World,11574,7381616239,0.15679492979938428
2015,World,11987,7470491876,0.16045797517710866
