year,series,percent_change,source_vintage,period
2007,CO2 Emissions,41.4,EPA Our Nation's Air 2016 embedded Highcharts manual data,book_period
2008,CO2 Emissions,36.9,EPA Our Nation's Air 2016 embedded Highcharts manual data,book_period
2009,CO2 Emissions,26.8,EPA Our Nation's Air 2016 embedded Highcharts manual data,book_period
2010,CO2 Emissions,31.4,EPA Our Nation's Air 2016 embedded Highcharts manual data,book_period
2011,CO2 Emissions,28.5,EPA Our Nation's Air 2016 embedded Highcharts manual data,book_period
2012,CO2 Emissions,23.6,EPA Our Nation's Air 2016 embedded Highcharts manual data,book_period
2013,CO2 Emissions,27.1,EPA Our Nation's Air 2016 embedded Highcharts manual data,book_period
2014,CO2 Emissions,27.8,EPA Our Nation's Air 2016 embedded Highcharts manual data,book_period
2015,CO2 Emissions,28.4,EPA Our Nation's Air 2016 embedded Highcharts manual data,book_period
1970,Aggregate Emissions (Six Common Pollutants),0.0,EPA Our Nation's Air 2016 embedded Highcharts manual data,book_period
1980,Aggregate Emissions (Six Common Pollutants),-17.3,EPA Our Nation's Air 2016 embedded Highcharts manual data,book_period
1990,Aggregate Emissions (Six Common Pollutants),-33.0,EPA Our Nation's Air 2016 embedded Highcharts manual data,book_period
1995,Aggregate Emissions (Six Common Pollutants),-39.7,EPA Our Nation's Air 2016 embedded Highcharts manual data,book_period
1996,Aggregate Emissions (Six Common Pollutants),-42.9,EPA Our Nation's Air 2016 embedded Highcharts manual data,book_period
1997,Aggregate Emissions (Six Common Pollutants),-42.9,EPA Our Nation's Air 2016 embedded Highcharts manual data,book_period
1998,Aggregate Emissions (Six Common Pollutants),-43.9,EPA Our Nation's Air 2016 embedded Highcharts manual data,book_period
1999,Aggregate Emissions (Six Common Pollutants),-45.8,EPA Our Nation's Air 2016 embedded Highcharts manual data,book_period
2000,Aggregate Emissions (Six Common Pollutants),-47.5,EPA Our Nation's Air 2016 embedded Highcharts manual data,book_period
