Year,decade_label,allocated_famine_deaths,world_population_denominator,deaths_per_100k_per_decade
1860,1860s,4091043.0,1298027373,315.173862
1870,1870s,20427012.667,1340168478,1524.212291
1880,1880s,2350333.333,1414583216,166.150235
1890,1890s,10272717.0,1520891633,675.440431
1900,1900s,5309409.0,1627273655,326.276345
1910,1910s,2678200.0,1767417985,151.531784
1920,1920s,16024500.0,1895426673,845.429698
1930,1930s,12200000.0,2071786711,588.863706
1940,1940s,18603700.0,2291979566,811.686992
1950,1950s,8881800.0,2493092852,356.256286
1960,1960s,16628616.667,3015470889,551.443449
1970,1970s,3397083.333,3694683794,91.945171
1980,1980s,1348000.0,4447606240,30.308438
1990,1990s,1491300.0,5327803106,27.990899
2000,2000s,2806850.0,6171702992,45.479343
2010,2010-2016,255000.0,7021732143,3.631583
