year,series,incidents,source_file,source_kind
2007,Anti-Islamic,115,adl_fbi_hate_crime_comparison_2000_2020.pdf,ADL compilation of FBI data
2008,Anti-black,2876,adl_fbi_hate_crime_comparison_2000_2020.pdf,ADL compilation of FBI data
2008,Anti-white,716,adl_fbi_hate_crime_comparison_2000_2020.pdf,ADL compilation of FBI data
2008,Anti-Asian,137,adl_fbi_hate_crime_comparison_2000_2020.pdf,ADL compilation of FBI data
2008,Anti-Jewish,1013,adl_fbi_hate_crime_comparison_2000_2020.pdf,ADL compilation of FBI data
2008,Anti-Islamic,105,adl_fbi_hate_crime_comparison_2000_2020.pdf,ADL compilation of FBI data
2009,Anti-black,2284,adl_fbi_hate_crime_comparison_2000_2020.pdf,ADL compilation of FBI data
2009,Anti-white,545,adl_fbi_hate_crime_comparison_2000_2020.pdf,ADL compilation of FBI data
2009,Anti-Asian,126,adl_fbi_hate_crime_comparison_2000_2020.pdf,ADL compilation of FBI data
2009,Anti-Jewish,931,adl_fbi_hate_crime_comparison_2000_2020.pdf,ADL compilation of FBI data
2009,Anti-Islamic,107,adl_fbi_hate_crime_comparison_2000_2020.pdf,ADL compilation of FBI data
2010,Anti-black,2201,adl_fbi_hate_crime_comparison_2000_2020.pdf,ADL compilation of FBI data
2010,Anti-white,575,adl_fbi_hate_crime_comparison_2000_2020.pdf,ADL compilation of FBI data
2010,Anti-Asian,150,adl_fbi_hate_crime_comparison_2000_2020.pdf,ADL compilation of FBI data
2010,Anti-Jewish,887,adl_fbi_hate_crime_comparison_2000_2020.pdf,ADL compilation of FBI data
2010,Anti-Islamic,160,adl_fbi_hate_crime_comparison_2000_2020.pdf,ADL compilation of FBI data
2011,Anti-black,2076,adl_fbi_hate_crime_comparison_2000_2020.pdf,ADL compilation of FBI data
2011,Anti-white,504,adl_fbi_hate_crime_comparison_2000_2020.pdf,ADL compilation of FBI data
2011,Anti-Asian,138,adl_fbi_hate_crime_comparison_2000_2020.pdf,ADL compilation of FBI data
2011,Anti-Jewish,771,adl_fbi_hate_crime_comparison_2000_2020.pdf,ADL compilation of FBI data
2011,Anti-Islamic,157,adl_fbi_hate_crime_comparison_2000_2020.pdf,ADL compilation of FBI data
2012,Anti-black,1805,fbi_hate_crime_table_1_2012.xls,official FBI table 1
2012,Anti-white,657,fbi_hate_crime_table_1_2012.xls,official FBI table 1
2012,Anti-Asian,121,fbi_hate_crime_table_1_2012.xls,official FBI table 1
2012,Anti-Jewish,674,fbi_hate_crime_table_1_2012.xls,official FBI table 1
2012,Anti-Islamic,130,fbi_hate_crime_table_1_2012.xls,official FBI table 1
2013,Anti-black,1856,fbi_hate_crime_table_1_2013.xls,official FBI table 1
2013,Anti-white,653,fbi_hate_crime_table_1_2013.xls,official FBI table 1
2013,Anti-Asian,135,fbi_hate_crime_table_1_2013.xls,official FBI table 1
2013,Anti-Jewish,625,fbi_hate_crime_table_1_2013.xls,official FBI table 1
2013,Anti-Islamic,135,fbi_hate_crime_table_1_2013.xls,official FBI table 1
2014,Anti-black,1621,fbi_hate_crime_table_1_2014.xls,official FBI table 1
2014,Anti-white,593,fbi_hate_crime_table_1_2014.xls,official FBI table 1
2014,Anti-Asian,140,fbi_hate_crime_table_1_2014.xls,official FBI table 1
2014,Anti-Jewish,609,fbi_hate_crime_table_1_2014.xls,official FBI table 1
2014,Anti-Islamic,154,fbi_hate_crime_table_1_2014.xls,official FBI table 1
2015,Anti-black,1745,fbi_hate_crime_table_1_2015.xls,official FBI table 1
2015,Anti-white,613,fbi_hate_crime_table_1_2015.xls,official FBI table 1
2015,Anti-Asian,111,fbi_hate_crime_table_1_2015.xls,official FBI table 1
2015,Anti-Jewish,664,fbi_hate_crime_table_1_2015.xls,official FBI table 1
2015,Anti-Islamic,257,fbi_hate_crime_table_1_2015.xls,official FBI table 1
2016,Anti-black,1739,fbi_hate_crime_table_1_2016.xls,official FBI table 1 successor
2016,Anti-white,720,fbi_hate_crime_table_1_2016.xls,official FBI table 1 successor
2016,Anti-Asian,113,fbi_hate_crime_table_1_2016.xls,official FBI table 1 successor
2016,Anti-Jewish,684,fbi_hate_crime_table_1_2016.xls,official FBI table 1 successor
2016,Anti-Islamic,307,fbi_hate_crime_table_1_2016.xls,official FBI table 1 successor
2017,Anti-black,2013,fbi_hate_crime_table_1_2017.xls,official FBI table 1 successor
2017,Anti-white,741,fbi_hate_crime_table_1_2017.xls,official FBI table 1 successor
2017,Anti-Asian,131,fbi_hate_crime_table_1_2017.xls,official FBI table 1 successor
2017,Anti-Jewish,938,fbi_hate_crime_table_1_2017.xls,official FBI table 1 successor
2017,Anti-Islamic,273,fbi_hate_crime_table_1_2017.xls,official FBI table 1 successor
