year,deaths,active_pitf_rows,deathmag_sum,source_series,population,rate_per_100k,active_ucdp_rows
1976,360150,10.0,22.5,"PITF 2018 workbook, decoded lower-bound estimate",4144246382,8.69036169191738,
1977,261650,9.0,18.5,"PITF 2018 workbook, decoded lower-bound estimate",4217863796,6.20337717515049,
1978,209150,11.0,25.0,"PITF 2018 workbook, decoded lower-bound estimate",4292097499,4.872908876108455,
1979,115300,10.0,18.5,"PITF 2018 workbook, decoded lower-bound estimate",4368539520,2.6393260143838644,
1980,115500,7.0,17.0,"PITF 2018 workbook, decoded lower-bound estimate",4447606240,2.596902553136089,
1981,123000,8.0,19.5,"PITF 2018 workbook, decoded lower-bound estimate",4528777306,2.715964855172766,
1982,246650,8.0,21.5,"PITF 2018 workbook, decoded lower-bound estimate",4612673415,5.3472244360052965,
1983,207650,8.0,19.5,"PITF 2018 workbook, decoded lower-bound estimate",4697327573,4.420598665367978,
1984,320150,8.0,19.0,"PITF 2018 workbook, decoded lower-bound estimate",4782175518,6.694651812652268,
1985,293150,8.0,17.5,"PITF 2018 workbook, decoded lower-bound estimate",4868943457,6.020813397997938,
1986,195450,8.0,16.0,"PITF 2018 workbook, decoded lower-bound estimate",4958072839,3.9420558419916345,
1987,340300,7.0,14.5,"PITF 2018 workbook, decoded lower-bound estimate",5049746390,6.738952290235708,
1988,488300,10.0,24.0,"PITF 2018 workbook, decoded lower-bound estimate",5141992540,9.496318716946252,
1989,17189,,,UCDP v17.1 high fatality estimate,5234431736,0.3283833062867552,27.0
1990,15174,,,UCDP v17.1 high fatality estimate,5327803106,0.28480782225062956,37.0
1991,12054,,,UCDP v17.1 high fatality estimate,5418735886,0.22245040639723845,33.0
1992,14574,,,UCDP v17.1 high fatality estimate,5505989815,0.2646935517442471,34.0
1993,13637,,,UCDP v17.1 high fatality estimate,5591544802,0.2438860902111037,44.0
1994,813590,,,UCDP v17.1 high fatality estimate,5675551258,14.334995192814096,32.0
1995,28926,,,UCDP v17.1 high fatality estimate,5758878977,0.5022852557854681,37.0
1996,60260,,,UCDP v17.1 high fatality estimate,5842055730,1.031486223086749,36.0
1997,52749,,,UCDP v17.1 high fatality estimate,5924787819,0.8903103640410721,30.0
1998,29115,,,UCDP v17.1 high fatality estimate,6007066691,0.4846791536977794,40.0
1999,21424,,,UCDP v17.1 high fatality estimate,6089006328,0.35184722836438476,37.0
2000,8389,,,UCDP v17.1 high fatality estimate,6171702992,0.13592682620784158,36.0
2001,10309,,,UCDP v17.1 high fatality estimate,6254936464,0.16481382439826492,30.0
2002,16161,,,UCDP v17.1 high fatality estimate,6337730343,0.2549966490425041,45.0
2003,35294,,,UCDP v17.1 high fatality estimate,6420361633,0.5497198135786069,45.0
2004,37310,,,UCDP v17.1 high fatality estimate,6503377774,0.5737018714976467,44.0
2005,5598,,,UCDP v17.1 high fatality estimate,6586970132,0.08498596301210616,35.0
2006,5341,,,UCDP v17.1 high fatality estimate,6671452019,0.08005753447359089,28.0
2007,5411,,,UCDP v17.1 high fatality estimate,6757308776,0.08007625786198053,28.0
2008,4968,,,UCDP v17.1 high fatality estimate,6844457659,0.07258427544609637,30.0
2009,6135,,,UCDP v17.1 high fatality estimate,6932766416,0.08849281270808648,21.0
2010,3642,,,UCDP v17.1 high fatality estimate,7021732143,0.05186754387420956,21.0
2011,6787,,,UCDP v17.1 high fatality estimate,7110923773,0.09544470193549354,23.0
2012,4212,,,UCDP v17.1 high fatality estimate,7201202478,0.058490231497695715,25.0
2013,10126,,,UCDP v17.1 high fatality estimate,7291793585,0.1388684400067257,29.0
2014,15794,,,UCDP v17.1 high fatality estimate,7381616239,0.21396398144560871,26.0
2015,11746,,,UCDP v17.1 high fatality estimate,7470491876,0.15723194931428366,26.0
2016,6691,,,UCDP v17.1 high fatality estimate,7558554527,0.08852221646478836,21.0
