year,deaths,population_thousands,rate,country,definition,source_url
1888,609.0,2922.897,20.835493005740535,Switzerland,crude; annual deaths / year-end permanent residents,https://hsso.ch/get/D.50a.xlsx; https://hsso.ch/get/B.42.xlsx
1889,663.0,2949.577,22.477799359026736,Switzerland,crude; annual deaths / year-end permanent residents,https://hsso.ch/get/D.50a.xlsx; https://hsso.ch/get/B.42.xlsx
1890,633.0,2972.024,21.29861670026891,Switzerland,crude; annual deaths / year-end permanent residents,https://hsso.ch/get/D.50a.xlsx; https://hsso.ch/get/B.42.xlsx
1891,652.0,3000.632,21.728755808776285,Switzerland,crude; annual deaths / year-end permanent residents,https://hsso.ch/get/D.50a.xlsx; https://hsso.ch/get/B.42.xlsx
1892,611.0,3032.945,20.145436201447765,Switzerland,crude; annual deaths / year-end permanent residents,https://hsso.ch/get/D.50a.xlsx; https://hsso.ch/get/B.42.xlsx
1893,710.0,3063.218,23.17823935482228,Switzerland,crude; annual deaths / year-end permanent residents,https://hsso.ch/get/D.50a.xlsx; https://hsso.ch/get/B.42.xlsx
1894,708.0,3091.585,22.900874470538575,Switzerland,crude; annual deaths / year-end permanent residents,https://hsso.ch/get/D.50a.xlsx; https://hsso.ch/get/B.42.xlsx
1895,650.0,3122.589,20.816060006616304,Switzerland,crude; annual deaths / year-end permanent residents,https://hsso.ch/get/D.50a.xlsx; https://hsso.ch/get/B.42.xlsx
1896,690.0,3161.271,21.826664022160706,Switzerland,crude; annual deaths / year-end permanent residents,https://hsso.ch/get/D.50a.xlsx; https://hsso.ch/get/B.42.xlsx
1897,687.0,3201.298,21.46004526913771,Switzerland,crude; annual deaths / year-end permanent residents,https://hsso.ch/get/D.50a.xlsx; https://hsso.ch/get/B.42.xlsx
1898,690.0,3240.943,21.29009982588401,Switzerland,crude; annual deaths / year-end permanent residents,https://hsso.ch/get/D.50a.xlsx; https://hsso.ch/get/B.42.xlsx
1899,724.0,3282.407,22.05698440199524,Switzerland,crude; annual deaths / year-end permanent residents,https://hsso.ch/get/D.50a.xlsx; https://hsso.ch/get/B.42.xlsx
1900,764.0,3318.985,23.0190856541985,Switzerland,crude; annual deaths / year-end permanent residents,https://hsso.ch/get/D.50a.xlsx; https://hsso.ch/get/B.42.xlsx
1901,747.0,3364.073,22.205225629764872,Switzerland,crude; annual deaths / year-end permanent residents,https://hsso.ch/get/D.50a.xlsx; https://hsso.ch/get/B.42.xlsx
1902,769.0,3411.135,22.543816061223023,Switzerland,crude; annual deaths / year-end permanent residents,https://hsso.ch/get/D.50a.xlsx; https://hsso.ch/get/B.42.xlsx
1903,779.0,3453.716,22.555415674016043,Switzerland,crude; annual deaths / year-end permanent residents,https://hsso.ch/get/D.50a.xlsx; https://hsso.ch/get/B.42.xlsx
1904,850.0,3496.188,24.312193737865353,Switzerland,crude; annual deaths / year-end permanent residents,https://hsso.ch/get/D.50a.xlsx; https://hsso.ch/get/B.42.xlsx
1905,791.0,3536.835,22.36462826227404,Switzerland,crude; annual deaths / year-end permanent residents,https://hsso.ch/get/D.50a.xlsx; https://hsso.ch/get/B.42.xlsx
1906,734.0,3582.151,20.490481836192835,Switzerland,crude; annual deaths / year-end permanent residents,https://hsso.ch/get/D.50a.xlsx; https://hsso.ch/get/B.42.xlsx
1907,829.0,3625.456,22.866089120927132,Switzerland,crude; annual deaths / year-end permanent residents,https://hsso.ch/get/D.50a.xlsx; https://hsso.ch/get/B.42.xlsx
1908,822.0,3671.165,22.390712485001355,Switzerland,crude; annual deaths / year-end permanent residents,https://hsso.ch/get/D.50a.xlsx; https://hsso.ch/get/B.42.xlsx
1909,835.0,3711.868,22.49541201357376,Switzerland,crude; annual deaths / year-end permanent residents,https://hsso.ch/get/D.50a.xlsx; https://hsso.ch/get/B.42.xlsx
1910,847.0,3756.842,22.54553159275796,Switzerland,crude; annual deaths / year-end permanent residents,https://hsso.ch/get/D.50a.xlsx; https://hsso.ch/get/B.42.xlsx
1911,894.0,3778.312,23.66135988769588,Switzerland,crude; annual deaths / year-end permanent residents,https://hsso.ch/get/D.50a.xlsx; https://hsso.ch/get/B.42.xlsx
1912,891.0,3805.595,23.412896012318704,Switzerland,crude; annual deaths / year-end permanent residents,https://hsso.ch/get/D.50a.xlsx; https://hsso.ch/get/B.42.xlsx
1913,956.0,3828.431,24.971065170039633,Switzerland,crude; annual deaths / year-end permanent residents,https://hsso.ch/get/D.50a.xlsx; https://hsso.ch/get/B.42.xlsx
1914,946.0,3849.766,24.572922094485744,Switzerland,crude; annual deaths / year-end permanent residents,https://hsso.ch/get/D.50a.xlsx; https://hsso.ch/get/B.42.xlsx
1915,835.0,3860.635,21.628566285080044,Switzerland,crude; annual deaths / year-end permanent residents,https://hsso.ch/get/D.50a.xlsx; https://hsso.ch/get/B.42.xlsx
1916,793.0,3871.76,20.48164142405521,Switzerland,crude; annual deaths / year-end permanent residents,https://hsso.ch/get/D.50a.xlsx; https://hsso.ch/get/B.42.xlsx
1917,701.0,3878.896,18.072152488749378,Switzerland,crude; annual deaths / year-end permanent residents,https://hsso.ch/get/D.50a.xlsx; https://hsso.ch/get/B.42.xlsx
1918,764.0,3864.844,19.76793888705469,Switzerland,crude; annual deaths / year-end permanent residents,https://hsso.ch/get/D.50a.xlsx; https://hsso.ch/get/B.42.xlsx
1919,794.0,3869.481,20.519547711954136,Switzerland,crude; annual deaths / year-end permanent residents,https://hsso.ch/get/D.50a.xlsx; https://hsso.ch/get/B.42.xlsx
1920,876.0,3883.36,22.55778501091838,Switzerland,crude; annual deaths / year-end permanent residents,https://hsso.ch/get/D.50a.xlsx; https://hsso.ch/get/B.42.xlsx
1921,883.0,3908.521,22.591665747734243,Switzerland,crude; annual deaths / year-end permanent residents,https://hsso.ch/get/D.50a.xlsx; https://hsso.ch/get/B.42.xlsx
1922,926.0,3928.566,23.570941661664843,Switzerland,crude; annual deaths / year-end permanent residents,https://hsso.ch/get/D.50a.xlsx; https://hsso.ch/get/B.42.xlsx
1923,914.0,3952.134,23.126746208504066,Switzerland,crude; annual deaths / year-end permanent residents,https://hsso.ch/get/D.50a.xlsx; https://hsso.ch/get/B.42.xlsx
1924,921.0,3970.682,23.1950078097415,Switzerland,crude; annual deaths / year-end permanent residents,https://hsso.ch/get/D.50a.xlsx; https://hsso.ch/get/B.42.xlsx
1925,855.0,3989.227,21.4327236830594,Switzerland,crude; annual deaths / year-end permanent residents,https://hsso.ch/get/D.50a.xlsx; https://hsso.ch/get/B.42.xlsx
1926,1027.0,4009.537,25.61392998742748,Switzerland,crude; annual deaths / year-end permanent residents,https://hsso.ch/get/D.50a.xlsx; https://hsso.ch/get/B.42.xlsx
1927,972.0,4024.345,24.15299881098663,Switzerland,crude; annual deaths / year-end permanent residents,https://hsso.ch/get/D.50a.xlsx; https://hsso.ch/get/B.42.xlsx
1928,1023.0,4040.177,25.320672831908105,Switzerland,crude; annual deaths / year-end permanent residents,https://hsso.ch/get/D.50a.xlsx; https://hsso.ch/get/B.42.xlsx
1929,982.0,4052.557,24.2316147558196,Switzerland,crude; annual deaths / year-end permanent residents,https://hsso.ch/get/D.50a.xlsx; https://hsso.ch/get/B.42.xlsx
1930,1057.0,4070.042,25.970247972871043,Switzerland,crude; annual deaths / year-end permanent residents,https://hsso.ch/get/D.50a.xlsx; https://hsso.ch/get/B.42.xlsx
1931,1010.0,4091.602,24.684707847928514,Switzerland,crude; annual deaths / year-end permanent residents,https://hsso.ch/get/D.50a.xlsx; https://hsso.ch/get/B.42.xlsx
1932,1218.0,4110.388,29.6322390976229,Switzerland,crude; annual deaths / year-end permanent residents,https://hsso.ch/get/D.50a.xlsx; https://hsso.ch/get/B.42.xlsx
1933,1126.0,4136.343,27.222113833403082,Switzerland,crude; annual deaths / year-end permanent residents,https://hsso.ch/get/D.50a.xlsx; https://hsso.ch/get/B.42.xlsx
1934,1097.0,4159.698,26.37210682121635,Switzerland,crude; annual deaths / year-end permanent residents,https://hsso.ch/get/D.50a.xlsx; https://hsso.ch/get/B.42.xlsx
1935,1095.0,4178.64,26.20469817931193,Switzerland,crude; annual deaths / year-end permanent residents,https://hsso.ch/get/D.50a.xlsx; https://hsso.ch/get/B.42.xlsx
1936,1158.0,4198.782,27.579426605144064,Switzerland,crude; annual deaths / year-end permanent residents,https://hsso.ch/get/D.50a.xlsx; https://hsso.ch/get/B.42.xlsx
1937,1000.0,4217.126,23.712831914436514,Switzerland,crude; annual deaths / year-end permanent residents,https://hsso.ch/get/D.50a.xlsx; https://hsso.ch/get/B.42.xlsx
1938,1028.0,4235.43,24.2714435134095,Switzerland,crude; annual deaths / year-end permanent residents,https://hsso.ch/get/D.50a.xlsx; https://hsso.ch/get/B.42.xlsx
1939,1001.0,4252.902,23.536869648066194,Switzerland,crude; annual deaths / year-end permanent residents,https://hsso.ch/get/D.50a.xlsx; https://hsso.ch/get/B.42.xlsx
1940,996.0,4268.964,23.331187613669265,Switzerland,crude; annual deaths / year-end permanent residents,https://hsso.ch/get/D.50a.xlsx; https://hsso.ch/get/B.42.xlsx
1941,1038.0,4296.693,24.158114158958995,Switzerland,crude; annual deaths / year-end permanent residents,https://hsso.ch/get/D.50a.xlsx; https://hsso.ch/get/B.42.xlsx
1942,995.0,4326.774,22.9963478563937,Switzerland,crude; annual deaths / year-end permanent residents,https://hsso.ch/get/D.50a.xlsx; https://hsso.ch/get/B.42.xlsx
1943,1029.0,4360.681,23.59723171678919,Switzerland,crude; annual deaths / year-end permanent residents,https://hsso.ch/get/D.50a.xlsx; https://hsso.ch/get/B.42.xlsx
1944,1116.0,4392.319,25.40799063091729,Switzerland,crude; annual deaths / year-end permanent residents,https://hsso.ch/get/D.50a.xlsx; https://hsso.ch/get/B.42.xlsx
1945,1227.0,4428.117,27.70929494410378,Switzerland,crude; annual deaths / year-end permanent residents,https://hsso.ch/get/D.50a.xlsx; https://hsso.ch/get/B.42.xlsx
1946,1162.0,4490.0,25.879732739420934,Switzerland,crude; annual deaths / year-end permanent residents,https://hsso.ch/get/D.50a.xlsx; https://hsso.ch/get/B.42.xlsx
1947,1142.0,4549.1,25.103866698907478,Switzerland,crude; annual deaths / year-end permanent residents,https://hsso.ch/get/D.50a.xlsx; https://hsso.ch/get/B.42.xlsx
1948,1036.0,4611.2,22.467036780013878,Switzerland,crude; annual deaths / year-end permanent residents,https://hsso.ch/get/D.50a.xlsx; https://hsso.ch/get/B.42.xlsx
1949,1102.0,4668.0,23.607540702656383,Switzerland,crude; annual deaths / year-end permanent residents,https://hsso.ch/get/D.50a.xlsx; https://hsso.ch/get/B.42.xlsx
1950,1101.0,4717.2,23.34011701857034,Switzerland,crude; annual deaths / year-end permanent residents,https://hsso.ch/get/D.50a.xlsx; https://hsso.ch/get/B.42.xlsx
1951,1004.0,4778.9,21.009018811860468,Switzerland,crude; annual deaths / year-end permanent residents,https://hsso.ch/get/D.50a.xlsx; https://hsso.ch/get/B.42.xlsx
1952,1032.0,4844.1,21.304267046510187,Switzerland,crude; annual deaths / year-end permanent residents,https://hsso.ch/get/D.50a.xlsx; https://hsso.ch/get/B.42.xlsx
1953,1061.0,4907.0,21.622172406765845,Switzerland,crude; annual deaths / year-end permanent residents,https://hsso.ch/get/D.50a.xlsx; https://hsso.ch/get/B.42.xlsx
