year,deaths,rate,country,definition,source_file,source_url
1999,29199,10.5,United States,age-adjusted; US2000 standard population,cdc_db241_table_2016.pdf,https://www.cdc.gov/nchs/products/databriefs/db241.htm
2000,29350,10.4,United States,age-adjusted; US2000 standard population,cdc_db241_table_2016.pdf,https://www.cdc.gov/nchs/products/databriefs/db241.htm
2001,30622,10.7,United States,age-adjusted; US2000 standard population,cdc_db241_table_2016.pdf,https://www.cdc.gov/nchs/products/databriefs/db241.htm
2002,31655,10.9,United States,age-adjusted; US2000 standard population,cdc_db241_table_2016.pdf,https://www.cdc.gov/nchs/products/databriefs/db241.htm
2003,31484,10.8,United States,age-adjusted; US2000 standard population,cdc_db241_table_2016.pdf,https://www.cdc.gov/nchs/products/databriefs/db241.htm
2004,32439,11.0,United States,age-adjusted; US2000 standard population,cdc_db241_table_2016.pdf,https://www.cdc.gov/nchs/products/databriefs/db241.htm
2005,32637,10.9,United States,age-adjusted; US2000 standard population,cdc_db241_table_2016.pdf,https://www.cdc.gov/nchs/products/databriefs/db241.htm
2006,33300,11.0,United States,age-adjusted; US2000 standard population,cdc_db241_table_2016.pdf,https://www.cdc.gov/nchs/products/databriefs/db241.htm
2007,34598,11.3,United States,age-adjusted; US2000 standard population,cdc_db241_table_2016.pdf,https://www.cdc.gov/nchs/products/databriefs/db241.htm
2008,36035,11.6,United States,age-adjusted; US2000 standard population,cdc_db241_table_2016.pdf,https://www.cdc.gov/nchs/products/databriefs/db241.htm
2009,36909,11.8,United States,age-adjusted; US2000 standard population,cdc_db241_table_2016.pdf,https://www.cdc.gov/nchs/products/databriefs/db241.htm
2010,38364,12.1,United States,age-adjusted; US2000 standard population,cdc_db241_table_2016.pdf,https://www.cdc.gov/nchs/products/databriefs/db241.htm
2011,39518,12.3,United States,age-adjusted; US2000 standard population,cdc_db241_table_2016.pdf,https://www.cdc.gov/nchs/products/databriefs/db241.htm
2012,40600,12.6,United States,age-adjusted; US2000 standard population,cdc_db241_table_2016.pdf,https://www.cdc.gov/nchs/products/databriefs/db241.htm
2013,41149,12.6,United States,age-adjusted; US2000 standard population,cdc_db241_table_2016.pdf,https://www.cdc.gov/nchs/products/databriefs/db241.htm
2014,42773,13.0,United States,age-adjusted; US2000 standard population,cdc_db241_table_2016.pdf,https://www.cdc.gov/nchs/products/databriefs/db241.htm
