citation_key,bibliography_record_id,authors,year,title,url,resolution_status
Roser 2016p,Roser_2016p,"Roser, Max; Ritchie, Hannah",2013,Maternal Mortality,https://ourworldindata.org/maternal-mortality,resolved
Hanson 2010,Hanson_2010,"Hanson, Claudia",2010,"Data on Maternal Mortality: Historical information compiled for 14 countries (up to 200 years)",https://www.gapminder.org/data/documentation/gd010/,resolved
Roser 2016r,Roser_2016r,"Roser, Max",2016,Oil spills / Global number of oil spills from tankers,https://ourworldindata.org/grapher/number-oil-spills,candidate
World Bank 2016h,World_Bank_2016h,World Bank,2016,World Development Indicators: protected areas indicators,http://data.worldbank.org/indicator/ER.PTD.TOTL.ZS,candidate
World Bank 2017,World_Bank_2017,World Bank,2017,World Development Indicators,https://databank.worldbank.org/source/world-development-indicators,candidate
