year,series,term,percentage_of_peak,value
2004,Homophobic jokes,fag jokes,0.0,0.0
2005,Homophobic jokes,fag jokes,10.416666666666666,0.0
2006,Homophobic jokes,fag jokes,18.222222222222225,31.25
2007,Homophobic jokes,fag jokes,32.75,23.416666666666668
2008,Homophobic jokes,fag jokes,40.05555555555555,43.583333333333336
2009,Homophobic jokes,fag jokes,49.61111111111111,53.166666666666664
2010,Homophobic jokes,fag jokes,47.388888888888886,52.083333333333336
2011,Homophobic jokes,fag jokes,35.333333333333336,36.916666666666664
2012,Homophobic jokes,fag jokes,23.916666666666668,17.0
2013,Homophobic jokes,fag jokes,15.694444444444443,17.833333333333332
2014,Homophobic jokes,fag jokes,13.444444444444443,12.25
2015,Homophobic jokes,fag jokes,11.055555555555555,10.25
2016,Homophobic jokes,fag jokes,8.666666666666666,10.666666666666666
2017,Homophobic jokes,fag jokes,7.361111111111111,5.083333333333333
2004,Racist jokes,nigger jokes,85.25,84.83333333333333
2005,Racist jokes,nigger jokes,78.33333333333333,85.66666666666667
2006,Racist jokes,nigger jokes,65.83333333333334,64.5
2007,Racist jokes,nigger jokes,52.5,47.333333333333336
2008,Racist jokes,nigger jokes,40.72222222222222,45.666666666666664
2009,Racist jokes,nigger jokes,34.0,29.166666666666668
2010,Racist jokes,nigger jokes,28.75,27.166666666666668
2011,Racist jokes,nigger jokes,27.416666666666668,29.916666666666668
2012,Racist jokes,nigger jokes,24.666666666666668,25.166666666666668
2013,Racist jokes,nigger jokes,19.583333333333332,18.916666666666668
2014,Racist jokes,nigger jokes,15.111111111111112,14.666666666666666
2015,Racist jokes,nigger jokes,11.944444444444443,11.75
2016,Racist jokes,nigger jokes,9.916666666666666,9.416666666666666
2017,Racist jokes,nigger jokes,8.13888888888889,8.583333333333334
2004,Sexist jokes,bitch jokes,14.625,0.0
2005,Sexist jokes,bitch jokes,23.027777777777782,29.25
2006,Sexist jokes,bitch jokes,33.47222222222222,39.833333333333336
2007,Sexist jokes,bitch jokes,34.52777777777778,31.333333333333332
2008,Sexist jokes,bitch jokes,32.5,32.416666666666664
2009,Sexist jokes,bitch jokes,33.69444444444444,33.75
2010,Sexist jokes,bitch jokes,38.52777777777777,34.916666666666664
2011,Sexist jokes,bitch jokes,43.75,46.916666666666664
2012,Sexist jokes,bitch jokes,48.5,49.416666666666664
2013,Sexist jokes,bitch jokes,49.25,49.166666666666664
2014,Sexist jokes,bitch jokes,47.833333333333336,49.166666666666664
2015,Sexist jokes,bitch jokes,42.916666666666664,45.166666666666664
2016,Sexist jokes,bitch jokes,35.19444444444444,34.416666666666664
2017,Sexist jokes,bitch jokes,26.91666666666666,26.0
