date,value,term,geo,source_query
2004-01-01,96,nigger jokes,US,Google Trends exact search term
2004-02-01,98,nigger jokes,US,Google Trends exact search term
2004-03-01,90,nigger jokes,US,Google Trends exact search term
2004-04-01,86,nigger jokes,US,Google Trends exact search term
2004-05-01,90,nigger jokes,US,Google Trends exact search term
2004-06-01,78,nigger jokes,US,Google Trends exact search term
2004-07-01,73,nigger jokes,US,Google Trends exact search term
2004-08-01,72,nigger jokes,US,Google Trends exact search term
2004-09-01,75,nigger jokes,US,Google Trends exact search term
2004-10-01,82,nigger jokes,US,Google Trends exact search term
2004-11-01,83,nigger jokes,US,Google Trends exact search term
2004-12-01,95,nigger jokes,US,Google Trends exact search term
2005-01-01,86,nigger jokes,US,Google Trends exact search term
2005-02-01,91,nigger jokes,US,Google Trends exact search term
2005-03-01,90,nigger jokes,US,Google Trends exact search term
2005-04-01,100,nigger jokes,US,Google Trends exact search term
2005-05-01,89,nigger jokes,US,Google Trends exact search term
2005-06-01,87,nigger jokes,US,Google Trends exact search term
2005-07-01,76,nigger jokes,US,Google Trends exact search term
2005-08-01,70,nigger jokes,US,Google Trends exact search term
2005-09-01,77,nigger jokes,US,Google Trends exact search term
2005-10-01,84,nigger jokes,US,Google Trends exact search term
2005-11-01,90,nigger jokes,US,Google Trends exact search term
2005-12-01,88,nigger jokes,US,Google Trends exact search term
2006-01-01,82,nigger jokes,US,Google Trends exact search term
2006-02-01,86,nigger jokes,US,Google Trends exact search term
2006-03-01,83,nigger jokes,US,Google Trends exact search term
2006-04-01,84,nigger jokes,US,Google Trends exact search term
2006-05-01,65,nigger jokes,US,Google Trends exact search term
2006-06-01,54,nigger jokes,US,Google Trends exact search term
2006-07-01,58,nigger jokes,US,Google Trends exact search term
2006-08-01,49,nigger jokes,US,Google Trends exact search term
2006-09-01,49,nigger jokes,US,Google Trends exact search term
2006-10-01,57,nigger jokes,US,Google Trends exact search term
2006-11-01,55,nigger jokes,US,Google Trends exact search term
2006-12-01,52,nigger jokes,US,Google Trends exact search term
2007-01-01,53,nigger jokes,US,Google Trends exact search term
2007-02-01,53,nigger jokes,US,Google Trends exact search term
2007-03-01,50,nigger jokes,US,Google Trends exact search term
2007-04-01,51,nigger jokes,US,Google Trends exact search term
2007-05-01,47,nigger jokes,US,Google Trends exact search term
2007-06-01,47,nigger jokes,US,Google Trends exact search term
2007-07-01,46,nigger jokes,US,Google Trends exact search term
2007-08-01,40,nigger jokes,US,Google Trends exact search term
2007-09-01,39,nigger jokes,US,Google Trends exact search term
2007-10-01,43,nigger jokes,US,Google Trends exact search term
2007-11-01,46,nigger jokes,US,Google Trends exact search term
2007-12-01,53,nigger jokes,US,Google Trends exact search term
2008-01-01,47,nigger jokes,US,Google Trends exact search term
2008-02-01,52,nigger jokes,US,Google Trends exact search term
2008-03-01,51,nigger jokes,US,Google Trends exact search term
2008-04-01,46,nigger jokes,US,Google Trends exact search term
2008-05-01,49,nigger jokes,US,Google Trends exact search term
2008-06-01,45,nigger jokes,US,Google Trends exact search term
2008-07-01,40,nigger jokes,US,Google Trends exact search term
2008-08-01,41,nigger jokes,US,Google Trends exact search term
2008-09-01,38,nigger jokes,US,Google Trends exact search term
2008-10-01,47,nigger jokes,US,Google Trends exact search term
2008-11-01,56,nigger jokes,US,Google Trends exact search term
2008-12-01,36,nigger jokes,US,Google Trends exact search term
2009-01-01,35,nigger jokes,US,Google Trends exact search term
2009-02-01,33,nigger jokes,US,Google Trends exact search term
2009-03-01,31,nigger jokes,US,Google Trends exact search term
2009-04-01,32,nigger jokes,US,Google Trends exact search term
2009-05-01,29,nigger jokes,US,Google Trends exact search term
2009-06-01,29,nigger jokes,US,Google Trends exact search term
2009-07-01,26,nigger jokes,US,Google Trends exact search term
2009-08-01,27,nigger jokes,US,Google Trends exact search term
2009-09-01,23,nigger jokes,US,Google Trends exact search term
2009-10-01,25,nigger jokes,US,Google Trends exact search term
2009-11-01,30,nigger jokes,US,Google Trends exact search term
2009-12-01,30,nigger jokes,US,Google Trends exact search term
2010-01-01,29,nigger jokes,US,Google Trends exact search term
2010-02-01,26,nigger jokes,US,Google Trends exact search term
2010-03-01,27,nigger jokes,US,Google Trends exact search term
2010-04-01,25,nigger jokes,US,Google Trends exact search term
2010-05-01,23,nigger jokes,US,Google Trends exact search term
2010-06-01,23,nigger jokes,US,Google Trends exact search term
2010-07-01,31,nigger jokes,US,Google Trends exact search term
2010-08-01,29,nigger jokes,US,Google Trends exact search term
2010-09-01,24,nigger jokes,US,Google Trends exact search term
2010-10-01,27,nigger jokes,US,Google Trends exact search term
2010-11-01,30,nigger jokes,US,Google Trends exact search term
2010-12-01,32,nigger jokes,US,Google Trends exact search term
2011-01-01,32,nigger jokes,US,Google Trends exact search term
2011-02-01,33,nigger jokes,US,Google Trends exact search term
2011-03-01,31,nigger jokes,US,Google Trends exact search term
2011-04-01,28,nigger jokes,US,Google Trends exact search term
2011-05-01,28,nigger jokes,US,Google Trends exact search term
2011-06-01,28,nigger jokes,US,Google Trends exact search term
2011-07-01,31,nigger jokes,US,Google Trends exact search term
2011-08-01,29,nigger jokes,US,Google Trends exact search term
2011-09-01,28,nigger jokes,US,Google Trends exact search term
2011-10-01,30,nigger jokes,US,Google Trends exact search term
2011-11-01,30,nigger jokes,US,Google Trends exact search term
2011-12-01,31,nigger jokes,US,Google Trends exact search term
2012-01-01,30,nigger jokes,US,Google Trends exact search term
2012-02-01,29,nigger jokes,US,Google Trends exact search term
2012-03-01,26,nigger jokes,US,Google Trends exact search term
2012-04-01,27,nigger jokes,US,Google Trends exact search term
2012-05-01,26,nigger jokes,US,Google Trends exact search term
2012-06-01,27,nigger jokes,US,Google Trends exact search term
2012-07-01,24,nigger jokes,US,Google Trends exact search term
2012-08-01,23,nigger jokes,US,Google Trends exact search term
2012-09-01,21,nigger jokes,US,Google Trends exact search term
2012-10-01,22,nigger jokes,US,Google Trends exact search term
2012-11-01,23,nigger jokes,US,Google Trends exact search term
2012-12-01,24,nigger jokes,US,Google Trends exact search term
2013-01-01,24,nigger jokes,US,Google Trends exact search term
2013-02-01,22,nigger jokes,US,Google Trends exact search term
2013-03-01,21,nigger jokes,US,Google Trends exact search term
2013-04-01,21,nigger jokes,US,Google Trends exact search term
2013-05-01,20,nigger jokes,US,Google Trends exact search term
2013-06-01,20,nigger jokes,US,Google Trends exact search term
2013-07-01,20,nigger jokes,US,Google Trends exact search term
2013-08-01,17,nigger jokes,US,Google Trends exact search term
2013-09-01,15,nigger jokes,US,Google Trends exact search term
2013-10-01,15,nigger jokes,US,Google Trends exact search term
2013-11-01,17,nigger jokes,US,Google Trends exact search term
2013-12-01,15,nigger jokes,US,Google Trends exact search term
2014-01-01,15,nigger jokes,US,Google Trends exact search term
2014-02-01,15,nigger jokes,US,Google Trends exact search term
2014-03-01,15,nigger jokes,US,Google Trends exact search term
2014-04-01,16,nigger jokes,US,Google Trends exact search term
2014-05-01,15,nigger jokes,US,Google Trends exact search term
2014-06-01,16,nigger jokes,US,Google Trends exact search term
