year,food,vehicles,furnishings,clothing,housing,energy,income,basics_percent,necessities_percent,source_version,excluded_from_book
1929,16.252,3.331,3.776,9.03,12.876,3.407,83.56,54.17065581617998,58.24796553374819,2026,False
1930,14.83,2.233,3.004,7.754,12.499,3.276,74.962,53.78725220778527,58.15746644966782,2026,False
1931,11.911,1.625,2.6,6.69,11.782,2.846,64.665,53.51890512642078,57.92004948581149,2026,False
1932,9.034,0.975,1.853,4.887,10.498,2.603,49.566,54.97114957833998,60.22273332526328,2026,False
1933,9.488,1.089,1.744,4.483,9.357,2.607,46.422,56.354745594761106,61.970617379690665,2026,False
1934,11.706,1.42,2.047,5.489,9.106,2.891,53.19,55.965407031396886,61.40063921789811,2026,False
1935,13.28,1.938,2.335,5.828,9.248,3.012,59.776,54.585452355460376,59.62426391862954,2026,False
1936,15.124,2.404,2.903,6.344,9.604,3.343,67.926,53.55681182463268,58.4783440803227,2026,False
1937,16.017,2.504,3.204,6.607,10.172,3.547,72.788,52.89882947738639,57.77188547562786,2026,False
1938,15.12,1.684,2.845,6.536,10.614,3.444,67.226,54.739237794900774,59.862255674887685,2026,False
1939,15.163,2.242,3.161,6.894,10.888,3.566,72.145,53.15406473075057,58.09688821124125,2026,False
1940,15.892,2.83,3.498,7.197,11.306,3.807,77.722,52.395718072103136,57.29394508633334,2026,False
1941,18.159,3.496,4.36,8.498,12.082,4.307,95.568,48.7558597019923,53.262598359283444,2026,True
1942,21.616,0.718,4.179,10.615,12.99,3.923,121.836,41.13562493844184,44.35552710200598,2026,True
1943,24.251,0.776,3.778,12.914,13.535,3.315,139.45,39.62280387235569,42.00000000000001,2026,True
1944,25.977,0.771,3.845,14.115,14.19,3.408,152.054,38.7349231194181,40.97623212805976,2026,True
1945,28.216,0.97,4.525,15.856,14.713,3.977,156.344,41.114465537532624,43.65821521772502,2026,True
1946,34.897,4.092,7.68,17.51,16.312,5.826,165.324,48.68682103021945,52.21081028767753,2026,True
1947,40.192,6.519,9.557,18.037,18.276,6.937,174.691,52.997006142274074,56.968017814312134,2026,False
1948,41.838,7.935,10.539,19.334,20.535,8.202,194.291,51.562347200848215,55.78384999819858,2026,False
1949,40.354,10.528,10.062,18.613,22.591,8.343,194.338,52.562031100453844,56.85506694521915,2026,False
1950,41.41,13.651,11.8,18.93,25.088,8.864,214.823,51.6141195309627,55.740307136572895,2026,False
1951,46.016,12.108,12.366,20.478,28.102,9.595,237.177,50.203012939703264,54.248514822263544,2026,False
1952,48.419,11.351,12.192,21.182,31.175,10.184,250.455,49.63726018646064,53.70345970333992,2026,False
1953,49.286,13.847,12.584,21.321,34.469,10.843,265.985,49.441509859578545,53.518055529447146,2026,False
1954,50.573,12.748,12.525,21.394,37.367,11.328,272.061,49.47677175339355,53.640543848622194,2026,False
1955,52.047,17.657,14.01,22.375,40.032,12.359,291.3,50.16168898043254,54.404394095434256,2026,False
1956,54.166,15.711,14.814,23.398,42.898,13.29,311.312,48.50021843038495,52.76924757156807,2026,False
1957,57.135,17.482,14.776,23.579,45.934,14.245,329.097,48.28545990999614,52.61397095689113,2026,False
1958,59.768,15.022,14.562,23.919,49.186,14.718,340.404,47.72476234121808,52.04844831435588,2026,False
1959,61.597,18.789,15.518,25.366,52.848,15.289,360.576,48.288848952786644,52.52900914093006,2026,False
1960,62.556,19.582,15.424,25.94,56.72,15.809,376.07,47.92246124391736,52.12619990959131,2026,False
1961,63.747,17.722,15.572,26.571,60.302,15.723,393.326,46.75866838195287,50.75611579198933,2026,False
1962,64.656,21.386,16.424,27.858,64.476,16.316,417.282,46.68305845926736,50.593124074366976,2026,False
1963,65.87,24.246,17.51,28.618,68.207,16.922,438.222,46.65466361798358,50.516176732341144,2026,False
1964,69.49,25.802,19.517,31.085,72.149,17.659,476.124,45.79542304105653,49.50433080458032,2026,False
1965,74.442,29.645,20.661,32.659,76.618,19.132,512.995,45.61935301513659,49.348824062612685,2026,False
1966,80.61,29.927,22.643,35.812,81.226,20.656,553.961,45.16888373008209,48.89766608118622,2026,False
1967,82.559,29.601,23.68,37.547,86.344,21.876,592.762,43.81708004224293,47.507600014845764,2026,False
