year,food_2016,vehicles_2016,furnishings_2016,clothing_2016,housing_2016,energy_2016,income_2016,motor_fuels_2016,basics_percent_2016,necessities_percent_2016,narrow_fuel_percent_2016,source_version_2016,excluded_from_book_2016,humanprogress_basics_percent,food_2026,vehicles_2026,furnishings_2026,clothing_2026,housing_2026,energy_2026,income_2026,motor_fuels_2026,basics_percent_2026,necessities_percent_2026,narrow_fuel_percent_2026,source_version_2026,excluded_from_book_2026,revised_minus_original_pp
1929,16.3,3.3,3.8,9.0,12.9,3.4,83.5,1.8,54.25149700598802,58.32335329341317,56.40718562874251,2016,False,54.25149701,16.252,3.331,3.776,9.03,12.876,3.407,83.56,1.814,54.17065581617998,58.24796553374819,56.34155098133077,2026,False,-0.07538775966497724
1930,14.8,2.2,3.0,7.8,12.5,3.3,74.9,1.7,53.805073431241645,58.210947930574086,56.07476635514018,2016,False,53.80507343,14.83,2.233,3.004,7.754,12.499,3.276,74.962,1.749,53.78725220778527,58.15746644966782,56.12043435340572,2026,False,-0.05348148090626381
1931,11.9,1.6,2.6,6.7,11.8,2.8,64.6,1.5,53.56037151702787,57.89473684210527,55.88235294117648,2016,False,53.56037152,11.911,1.625,2.6,6.69,11.782,2.846,64.665,1.54,53.51890512642078,57.92004948581149,55.9004098043764,2026,False,0.025312643706222104
1932,9.0,1.0,1.9,4.9,10.5,2.6,49.5,1.5,55.15151515151515,60.4040404040404,58.18181818181818,2016,False,55.15151515,9.034,0.975,1.853,4.887,10.498,2.603,49.566,1.476,54.97114957833998,60.22273332526328,57.9489972965339,2026,False,-0.18130707877712382
1933,9.5,1.1,1.7,4.5,9.4,2.6,46.4,1.5,56.4655172413793,62.068965517241374,59.69827586206896,2016,False,56.46551724,9.488,1.089,1.744,4.483,9.357,2.607,46.422,1.466,56.354745594761106,61.970617379690665,59.51273103270002,2026,False,-0.09834813755070826
1934,11.7,1.4,2.0,5.5,9.1,2.9,53.2,1.6,55.82706766917294,61.27819548872181,58.83458646616542,2016,False,55.82706767,11.706,1.42,2.047,5.489,9.106,2.891,53.19,1.64,55.965407031396886,61.40063921789811,59.04869336341418,2026,False,0.12244372917629676
1935,13.3,1.9,2.3,5.8,9.2,3.0,59.8,1.7,54.34782608695652,59.36454849498328,57.19063545150502,2016,False,54.34782609,13.28,1.938,2.335,5.828,9.248,3.012,59.776,1.743,54.585452355460376,59.62426391862954,57.501338329764444,2026,False,0.25971542364625577
1936,15.1,2.4,2.9,6.3,9.6,3.3,67.9,1.9,53.460972017673036,58.32106038291604,56.259204712812945,2016,False,53.46097202,15.124,2.404,2.903,6.344,9.604,3.343,67.926,1.945,53.55681182463268,58.4783440803227,56.42022200630097,2026,False,0.15728369740666182
1937,16.0,2.5,3.2,6.6,10.2,3.5,72.8,2.1,52.88461538461539,57.69230769230769,55.769230769230774,2016,False,52.88461538,16.017,2.504,3.204,6.607,10.172,3.547,72.788,2.143,52.89882947738639,57.77188547562786,55.84299609825796,2026,False,0.0795777833201683
1938,15.1,1.7,2.8,6.5,10.6,3.4,67.2,2.1,54.61309523809524,59.67261904761905,57.73809523809524,2016,False,54.61309524,15.12,1.684,2.845,6.536,10.614,3.444,67.226,2.145,54.739237794900774,59.862255674887685,57.929967572070325,2026,False,0.18963662726863362
