year,food,vehicles,furnishings,clothing,housing,energy,income,basics_percent,necessities_percent,source_version,excluded_from_book,humanprogress_basics_percent
1929,16.3,3.3,3.8,9.0,12.9,3.4,83.5,54.25149700598802,58.32335329341317,2016,False,54.25149701
1930,14.8,2.2,3.0,7.8,12.5,3.3,74.9,53.805073431241645,58.210947930574086,2016,False,53.80507343
1931,11.9,1.6,2.6,6.7,11.8,2.8,64.6,53.56037151702787,57.89473684210527,2016,False,53.56037152
1932,9.0,1.0,1.9,4.9,10.5,2.6,49.5,55.15151515151515,60.4040404040404,2016,False,55.15151515
1933,9.5,1.1,1.7,4.5,9.4,2.6,46.4,56.4655172413793,62.068965517241374,2016,False,56.46551724
1934,11.7,1.4,2.0,5.5,9.1,2.9,53.2,55.82706766917294,61.27819548872181,2016,False,55.82706767
1935,13.3,1.9,2.3,5.8,9.2,3.0,59.8,54.34782608695652,59.36454849498328,2016,False,54.34782609
1936,15.1,2.4,2.9,6.3,9.6,3.3,67.9,53.460972017673036,58.32106038291604,2016,False,53.46097202
1937,16.0,2.5,3.2,6.6,10.2,3.5,72.8,52.88461538461539,57.69230769230769,2016,False,52.88461538
1938,15.1,1.7,2.8,6.5,10.6,3.4,67.2,54.61309523809524,59.67261904761905,2016,False,54.61309524
1939,15.2,2.2,3.2,6.9,10.9,3.6,72.1,53.25936199722608,58.25242718446602,2016,False,53.259362
1940,15.9,2.8,3.5,7.2,11.3,3.8,77.7,52.38095238095239,57.27155727155728,2016,False,52.38095238
1941,18.2,3.5,4.4,8.5,12.1,4.3,95.6,48.84937238493724,53.34728033472803,2016,True,48.84937238
1942,21.6,0.7,4.2,10.6,13.0,3.9,121.8,41.13300492610838,44.33497536945813,2016,True,41.13300493
1943,24.3,0.8,3.8,12.9,13.5,3.3,139.4,39.6700143472023,42.03730272596844,2016,True,39.67001435
1944,26.0,0.8,3.8,14.1,14.2,3.4,152.0,38.75000000000001,40.986842105263165,2016,True,38.75
1945,28.2,1.0,4.5,15.9,14.7,4.0,156.3,41.13883557261676,43.698016634676904,2016,True,41.13883557
1946,34.9,4.1,7.7,17.5,16.3,5.8,165.5,48.6404833836858,52.14501510574018,2016,True,48.64048338
1947,40.2,6.5,9.6,18.0,18.3,6.9,174.8,52.97482837528604,56.92219679633867,2016,False,52.97482838
1948,41.8,7.9,10.5,19.3,20.5,8.2,194.5,51.41388174807198,55.62982005141388,2016,False,51.41388175
1949,40.4,10.5,10.1,18.6,22.6,8.3,194.5,52.54498714652955,56.812339331619526,2016,False,52.54498715
1950,41.4,13.7,11.8,18.9,25.1,8.9,215.0,51.5813953488372,55.72093023255813,2016,False,51.58139535
1951,46.0,12.1,12.4,20.5,28.1,9.6,237.4,50.16849199663016,54.212299915754,2016,False,50.168492
1952,48.4,11.4,12.2,21.2,31.2,10.2,250.7,49.62106102911847,53.68966892700439,2016,False,49.62106103
1953,49.3,13.8,12.6,21.3,34.5,10.8,266.3,49.380398047315055,53.43597446488922,2016,False,49.38039805
1954,50.6,12.7,12.5,21.4,37.4,11.3,272.4,49.41262848751836,53.56093979441998,2016,False,49.41262849
1955,52.0,17.7,14.0,22.4,40.0,12.4,291.7,50.085704490915326,54.33664724031539,2016,False,50.08570449
