year,very_happy_pct,very_happy_pct_n,exciting_pct,exciting_pct_n
1972,30.26151930261519,1606,,0
1973,35.86666666666667,1500,45.485175202156334,1484
1974,37.9054054054054,1480,43.48127600554785,1442
1975,32.861952861952865,1485,,0
1976,34.08939292861908,1499,44.74576271186441,1475
1977,34.83955468238376,1527,44.38502673796791,1496
1978,34.344100197758735,1517,,0
1980,33.926128590971274,1462,45.96443228454172,1462
1982,30.566037735849054,1855,43.13619099294628,1843
1983,31.150667514303876,1573,,0
1984,34.740484429065745,1445,46.81724845995893,1461
1985,28.627450980392155,1530,47.92353328938695,1517
1986,32.298136645962735,1449,,0
1987,29.10112359550562,1780,43.954802259887,1770
1988,33.969986357435204,1466,45.05263157894737,950
1989,32.634338138925294,1526,44.54277286135693,1017
1990,33.4313005143277,1361,44.98346196251378,907
1991,31.050531914893615,1504,44.285714285714285,980
1993,31.605246720799503,1601,46.485473289597,1067
1994,28.787369835404768,2977,47.4216380182002,1978
1996,30.398613518197575,2885,49.94747899159664,1904
1998,31.753385602280826,2806,45.053763440860216,1860
2000,31.724882967230823,2777,46.40914036996735,1838
2002,30.314097881665447,1369,52.11581291759465,898
2004,31.338818249813016,1337,50.56053811659192,892
2006,30.810448760884125,2986,49.848024316109424,1974
2008,29.727047146401986,2015,48.39192221391174,1337
2010,26.385483079941146,2039,50.4739336492891,1266
2012,30.193482688391036,1964,51.85185185185185,1296
2014,31.067193675889328,2530,50.294117647058826,1700
2016,28.191675410982864,2859,50.45381740523225,1873
2018,29.906143344709896,2344,49.260450160771704,1555
2021,19.506726457399104,4014,36.04346197077557,2669
2022,22.13068181818182,3520,42.58147512864494,2332
2024,20.8473026516306,3281,38.06306306306306,2220
