"idper","yearq","year","ager","sex","hispanic","race","race_ethnicity","hincome1","hincome2","marital","popsize","region","msa","locality","educatn1","educatn2","veteran","citizen","newcrime","newoff","seriousviolent","notify","vicservices","locationr","direl","weapon","weapcat","injury","serious","treatment","offenderage","offendersex","offtracenew","wgtviccy","series","newwgt"
"151779032517999999999941502","1993.1","1993","4","2","2","1","1","3","-1","4","-1","-1","3","-1","5","-1","-2","-1","1","3","1","1","2","3","1","1","1","0","1","0","4","1","-1","3175.11028","1","3175.11028"
"151779032517999999999941502","1993.1","1993","4","2","2","1","1","3","-1","4","-1","-1","3","-1","5","-1","-2","-1","1","3","1","2","2","2","3","1","2","1","2","2","3","1","-1","3175.11028","1","3175.11028"
"151779032517999999999941502","1993.1","1993","4","2","2","1","1","3","-1","4","-1","-1","3","-1","5","-1","-2","-1","1","1","1","2","2","1","4","1","1","1","2","2","3","1","-1","3175.11028","1","3175.11028"
"151779032517999999999941502","1993.1","1993","4","2","2","1","1","3","-1","4","-1","-1","3","-1","5","-1","-2","-1","1","1","1","2","2","3","4","1","2","1","2","2","3","1","-1","3175.11028","1","3175.11028"
"151840152242999999999912602","1993.1","1993","4","2","2","1","1","2","-1","2","-1","-1","1","-1","5","-1","-2","-1","1","4","2","2","2","3","4","2","0","0","1","0","5","1","-1","3043.36609","1","3043.36609"
"151840152242999999999912603","1993.1","1993","2","2","2","1","1","2","-1","1","-1","-1","1","-1","4","-1","-2","-1","2","5","3","2","2","4","6","2","0","0","1","0","98","4","-1","3232.41673","1","3232.41673"
"151840152242999999999912603","1993.1","1993","2","2","2","1","1","2","-1","1","-1","-1","1","-1","4","-1","-2","-1","1","4","2","1","2","4","4","2","0","1","3","2","2","1","-1","3232.41673","1","3232.41673"
"151840788245999999999912503","1993.1","1993","1","1","2","1","1","7","-1","1","-1","-1","2","-1","4","-1","-2","-1","1","4","2","2","2","4","3","3","5","0","1","0","2","1","-1","4211.91249","1","4211.91249"
"152008656842999999999921501","1993.1","1993","3","2","2","1","1","5","-1","4","-1","-1","1","-1","5","-1","-2","-1","1","3","1","2","2","3","4","1","3","0","1","0","3","1","-1","4549.04301","1","4549.04301"
"152056858284999999999911602","1993.1","1993","6","1","2","2","2","2","-1","2","-1","-1","1","-1","3","-1","-2","-1","1","2","1","1","2","1","3","1","2","0","1","0","3","1","-1","6092.28027","1","6092.28027"
"152060804148999999999921601","1993.1","1993","3","1","2","1","1","4","-1","5","-1","-1","2","-1","4","-1","-2","-1","1","4","2","1","2","1","3","2","0","0","1","0","4","1","-1","3730.57665","1","3730.57665"
"152078161171999999999913604","1993.1","1993","3","1","2","2","2","2","-1","3","-1","-1","1","-1","4","-1","-2","-1","1","3","1","98","98","3","6","1","1","1","2","2","98","98","-1","5586.94143","1","5586.94143"
"152084469443999999999921501","1993.1","1993","3","1","2","1","1","2","-1","2","-1","-1","2","-1","4","-1","-2","-1","1","4","2","1","2","3","4","2","0","1","3","1","4","1","-1","4852.55789","1","4852.55789"
"152098459086999999999923506","1993.1","1993","1","1","2","2","2","2","-1","1","-1","-1","1","-1","3","-1","-2","-1","1","2","1","2","2","3","3","2","0","1","3","1","2","1","-1","5926.91971","1","5926.91971"
