Year,annual_growth_rate_percent
1800,0.3947999
1900,0.73847544
1905,0.84539366
1910,0.77751917
1915,0.6702305
1920,0.78398466
1925,0.89016664
1930,0.9535324
1935,1.0262102
1940,0.93386525
1945,0.747245
1950,1.738
1955,2.011
1960,1.584
1965,2.088
1970,2.056
1975,1.803
1980,1.801
1985,1.799
1990,1.758
1995,1.449
2000,1.353
2005,1.272
2010,1.269
2015,1.178
2020,0.902
2025,0.841
2030,0.764
2035,0.686
2040,0.607
2045,0.519
2050,0.421
2055,0.327
2060,0.253
2065,0.197
2070,0.147
2075,0.092
2080,0.035
2085,-0.013
2090,-0.052
2095,-0.09
2100,-0.127
