year,income_2011_int_dollars_per_day,share,population,people_millions
1800,55.7,0.0,946955801.0,0.0
1800,64.0,0.0,946955801.0,0.0
1800,73.5,0.0,946955801.0,0.0
1800,84.4,0.0,946955801.0,0.0
1800,97.0,0.0,946955801.0,0.0
1800,111.4,0.0,946955801.0,0.0
1800,128.0,0.0,946955801.0,0.0
1800,147.0,0.0,946955801.0,0.0
1800,168.9,0.0,946955801.0,0.0
1800,194.0,0.0,946955801.0,0.0
1800,222.9,0.0,946955801.0,0.0
1800,256.0,0.0,946955801.0,0.0
1975,0.1895,0.0051,4060347114.0,20.707770281400002
1975,0.2176,0.0072,4060347114.0,29.234499220799997
1975,0.25,0.0098,4060347114.0,39.791401717199996
1975,0.2872,0.0128,4060347114.0,51.9724430592
1975,0.3299,0.0163,4060347114.0,66.18365795819999
1975,0.3789,0.0201,4060347114.0,81.6129769914
1975,0.4353,0.0241,4060347114.0,97.8543654474
1975,0.5,0.0281,4060347114.0,114.09575390340001
1975,0.5743,0.0319,4060347114.0,129.5250729366
1975,0.6598,0.0352,4060347114.0,142.9242184128
1975,0.7579,0.0377,4060347114.0,153.07508619779998
1975,0.8706,0.0393,4060347114.0,159.5716415802
1975,1.0,0.0397,4060347114.0,161.1957804258
1975,1.1487,0.039,4060347114.0,158.35353744600002
1975,1.3195,0.0375,4060347114.0,152.263016775
1975,1.5157,0.0356,4060347114.0,144.5483572584
1975,1.7411,0.0338,4060347114.0,137.2397324532
1975,2.0,0.0323,4060347114.0,131.1492117822
1975,2.2974,0.0311,4060347114.0,126.2767952454
1975,2.639,0.0301,4060347114.0,122.21644813139999
1975,3.0314,0.0291,4060347114.0,118.15610101739999
1975,3.4822,0.0277,4060347114.0,112.4716150578
1975,4.0,0.0258,4060347114.0,104.7569555412
1975,4.5948,0.0233,4060347114.0,94.6060877562
1975,5.278,0.0207,4060347114.0,84.0491852598
1975,6.0629,0.0184,4060347114.0,74.71038689759999
1975,6.9644,0.0166,4060347114.0,67.4017620924
1975,8.0,0.0157,4060347114.0,63.74744968979999
1975,9.1896,0.0156,4060347114.0,63.341414978399996
1975,10.5561,0.0164,4060347114.0,66.5896926696
1975,12.1257,0.018,4060347114.0,73.086248052
1975,13.9288,0.02,4060347114.0,81.20694228
1975,16.0,0.0217,4060347114.0,88.10953237380001
1975,18.3792,0.0228,4060347114.0,92.5759141992
1975,21.1121,0.023,4060347114.0,93.387983622
1975,24.2515,0.0225,4060347114.0,91.357810065
1975,27.8576,0.0212,4060347114.0,86.0793588168
1975,32.0,0.0192,4060347114.0,77.9586645888
1975,36.8,0.0166,4060347114.0,67.4017620924
1975,42.2,0.0136,4060347114.0,55.2207207504
1975,48.5,0.0107,4060347114.0,43.4457141198
1975,55.7,0.008,4060347114.0,32.482776912
1975,64.0,0.0057,4060347114.0,23.1439785498
1975,73.5,0.0039,4060347114.0,15.835353744599999
1975,84.4,0.0026,4060347114.0,10.5569024964
1975,97.0,0.0017,4060347114.0,6.9025900938
1975,111.4,0.001,4060347114.0,4.060347114
1975,128.0,0.0006,4060347114.0,2.4362082684
1975,147.0,0.0004,4060347114.0,1.6241388456
1975,168.9,0.0002,4060347114.0,0.8120694228
1975,194.0,0.0001,4060347114.0,0.4060347114
1975,222.9,0.0001,4060347114.0,0.4060347114
1975,256.0,0.0,4060347114.0,0.0
2015,0.1895,0.0002,7354815273.0,1.4709630546
2015,0.2176,0.0003,7354815273.0,2.2064445818999996
2015,0.25,0.0004,7354815273.0,2.9419261092
2015,0.2872,0.0006,7354815273.0,4.412889163799999
2015,0.3299,0.0008,7354815273.0,5.8838522184
2015,0.3789,0.001,7354815273.0,7.354815273
2015,0.4353,0.0013,7354815273.0,9.5612598549
2015,0.5,0.0018,7354815273.0,13.2386674914
2015,0.5743,0.0023,7354815273.0,16.9160751279
2015,0.6598,0.0031,7354815273.0,22.7999273463
2015,0.7579,0.004,7354815273.0,29.419261092
2015,0.8706,0.0053,7354815273.0,38.9805209469
2015,1.0,0.0071,7354815273.0,52.21918843830001
2015,1.1487,0.0094,7354815273.0,69.13526356620001
2015,1.3195,0.0123,7354815273.0,90.46422785790001
2015,1.5157,0.0161,7354815273.0,118.4125258953
2015,1.7411,0.0206,7354815273.0,151.5091946238
2015,2.0,0.0259,7354815273.0,190.48971557069999
2015,2.2974,0.0316,7354815273.0,232.41216262680004
2015,2.639,0.0374,7354815273.0,275.0700912102
2015,3.0314,0.0429,7354815273.0,315.5215752117
2015,3.4822,0.0476,7354815273.0,350.0892069948
2015,4.0,0.051,7354815273.0,375.095578923
2015,4.5948,0.0528,7354815273.0,388.33424641439996
2015,5.278,0.0532,7354815273.0,391.2761725236
2015,6.0629,0.0521,7354815273.0,383.1858757233
2015,6.9644,0.0499,7354815273.0,367.00528212269995
2015,8.0,0.047,7354815273.0,345.676317831
2015,9.1896,0.0436,7354815273.0,320.6699459028
2015,10.5561,0.04,7354815273.0,294.19261092
2015,12.1257,0.0364,7354815273.0,267.71527593720003
2015,13.9288,0.0329,7354815273.0,241.9734224817
2015,16.0,0.0297,7354815273.0,218.4380136081
2015,18.3792,0.0269,7354815273.0,197.8445308437
2015,21.1121,0.0246,7354815273.0,180.92845571580003
2015,24.2515,0.0227,7354815273.0,166.9543066971
2015,27.8576,0.0213,7354815273.0,156.6575653149
2015,32.0,0.0201,7354815273.0,147.8317869873
2015,36.8,0.0191,7354815273.0,140.47697171430002
2015,42.2,0.0181,7354815273.0,133.1221564413
2015,48.5,0.0168,7354815273.0,123.56089658639999
2015,55.7,0.0152,7354815273.0,111.7931921496
2015,64.0,0.0132,7354815273.0,97.08356160359999
2015,73.5,0.011,7354815273.0,80.902968003
2015,84.4,0.0087,7354815273.0,63.9868928751
2015,97.0,0.0066,7354815273.0,48.541780801799995
2015,111.4,0.0048,7354815273.0,35.30311331039999
2015,128.0,0.0034,7354815273.0,25.0063719282
2015,147.0,0.0023,7354815273.0,16.9160751279
2015,168.9,0.0015,7354815273.0,11.032222909500002
2015,194.0,0.001,7354815273.0,7.354815273
2015,222.9,0.0006,7354815273.0,4.412889163799999
2015,256.0,0.0004,7354815273.0,2.9419261092
