year,income_2011_int_dollars_per_day,share,population,people_millions
1800,0.1895,0.0105,946955801.0,9.9430359105
1800,0.2176,0.0129,946955801.0,12.215729832900001
1800,0.25,0.0158,946955801.0,14.961901655800002
1800,0.2872,0.0193,946955801.0,18.2762469593
1800,0.3299,0.0234,946955801.0,22.1587657434
1800,0.3789,0.0281,946955801.0,26.6094580081
1800,0.4353,0.0334,946955801.0,31.628323753399997
1800,0.5,0.0391,946955801.0,37.0259718191
1800,0.5743,0.0451,946955801.0,42.7077066251
1800,0.6598,0.051,946955801.0,48.294745850999995
1800,0.7579,0.0565,946955801.0,53.503002756499995
1800,0.8706,0.0611,946955801.0,57.8589994411
1800,1.0,0.0646,946955801.0,61.17334474460001
1800,1.1487,0.0665,946955801.0,62.9725607665
1800,1.3195,0.0665,946955801.0,62.9725607665
1800,1.5157,0.0643,946955801.0,60.8892580043
1800,1.7411,0.0599,946955801.0,56.722652479900006
1800,2.0,0.0535,946955801.0,50.6621353535
1800,2.2974,0.0456,946955801.0,43.1811845256
1800,2.639,0.037,946955801.0,35.037364637
1800,3.0314,0.0288,946955801.0,27.2723270688
1800,3.4822,0.0215,946955801.0,20.3595497215
1800,4.0,0.0157,946955801.0,14.867206075699999
1800,4.5948,0.0112,946955801.0,10.605904971200001
1800,5.278,0.0079,946955801.0,7.480950827900001
1800,6.0629,0.0056,946955801.0,5.3029524856000005
1800,6.9644,0.004,946955801.0,3.787823204
1800,8.0,0.0029,946955801.0,2.7461718229
1800,9.1896,0.0021,946955801.0,1.9886071820999998
1800,10.5561,0.0016,946955801.0,1.5151292816000002
1800,12.1257,0.0011,946955801.0,1.0416513811
1800,13.9288,0.0008,946955801.0,0.7575646408000001
1800,16.0,0.0006,946955801.0,0.5681734806
1800,18.3792,0.0005,946955801.0,0.4734779005
1800,21.1121,0.0003,946955801.0,0.2840867403
1800,24.2515,0.0002,946955801.0,0.18939116020000002
1800,27.8576,0.0002,946955801.0,0.18939116020000002
1800,32.0,0.0001,946955801.0,0.09469558010000001
1800,36.8,0.0001,946955801.0,0.09469558010000001
1800,42.2,0.0001,946955801.0,0.09469558010000001
1800,48.5,0.0,946955801.0,0.0
