year,series,percentage,visual_label,source_question,source_type
1990,Disagree: I think it's all right for blacks and whites to date each other,44,Disagree: I think it's all right for blacks and whites to date each other,Q40k I think it's all right for blacks and whites to date each other (disagree),official Pew topline table transcription
1991,Disagree: I think it's all right for blacks and whites to date each other,30,Disagree: I think it's all right for blacks and whites to date each other,Q40k I think it's all right for blacks and whites to date each other (disagree),official Pew topline table transcription
1992,Disagree: I think it's all right for blacks and whites to date each other,32,Disagree: I think it's all right for blacks and whites to date each other,Q40k I think it's all right for blacks and whites to date each other (disagree),official Pew topline table transcription
1994,Disagree: I think it's all right for blacks and whites to date each other,29,Disagree: I think it's all right for blacks and whites to date each other,Q40k I think it's all right for blacks and whites to date each other (disagree),official Pew topline table transcription
1997,Disagree: I think it's all right for blacks and whites to date each other,26,Disagree: I think it's all right for blacks and whites to date each other,Q40k I think it's all right for blacks and whites to date each other (disagree),official Pew topline table transcription
1999,Disagree: I think it's all right for blacks and whites to date each other,23,Disagree: I think it's all right for blacks and whites to date each other,Q40k I think it's all right for blacks and whites to date each other (disagree),official Pew topline table transcription
2002,Disagree: I think it's all right for blacks and whites to date each other,21,Disagree: I think it's all right for blacks and whites to date each other,Q40k I think it's all right for blacks and whites to date each other (disagree),official Pew topline table transcription
2003,Disagree: I think it's all right for blacks and whites to date each other,20,Disagree: I think it's all right for blacks and whites to date each other,Q40k I think it's all right for blacks and whites to date each other (disagree),official Pew topline table transcription
2007,Disagree: I think it's all right for blacks and whites to date each other,13,Disagree: I think it's all right for blacks and whites to date each other,Q40k I think it's all right for blacks and whites to date each other (disagree),official Pew topline table transcription
2009,Disagree: I think it's all right for blacks and whites to date each other,13,Disagree: I think it's all right for blacks and whites to date each other,Q40k I think it's all right for blacks and whites to date each other (disagree),official Pew topline table transcription
2012,Disagree: I think it's all right for blacks and whites to date each other,10,Disagree: I think it's all right for blacks and whites to date each other,Q40k I think it's all right for blacks and whites to date each other (disagree),official Pew topline table transcription
