series,year,value,unit
Cambodia,1870,0.01,"mean years of schooling, both sexes age15-64"
Cambodia,1875,0.01,"mean years of schooling, both sexes age15-64"
Cambodia,1880,0.01,"mean years of schooling, both sexes age15-64"
Cambodia,1885,0.01,"mean years of schooling, both sexes age15-64"
Cambodia,1890,0.01,"mean years of schooling, both sexes age15-64"
Cambodia,1895,0.01,"mean years of schooling, both sexes age15-64"
Cambodia,1900,0.01,"mean years of schooling, both sexes age15-64"
Cambodia,1905,0.01,"mean years of schooling, both sexes age15-64"
Cambodia,1910,0.01,"mean years of schooling, both sexes age15-64"
Cambodia,1915,0.01,"mean years of schooling, both sexes age15-64"
Cambodia,1920,0.02,"mean years of schooling, both sexes age15-64"
Cambodia,1925,0.02,"mean years of schooling, both sexes age15-64"
Cambodia,1930,0.03,"mean years of schooling, both sexes age15-64"
Cambodia,1935,0.04,"mean years of schooling, both sexes age15-64"
Cambodia,1940,0.07,"mean years of schooling, both sexes age15-64"
Cambodia,1945,0.29,"mean years of schooling, both sexes age15-64"
Cambodia,1950,0.44,"mean years of schooling, both sexes age15-64"
Cambodia,1955,0.67,"mean years of schooling, both sexes age15-64"
Cambodia,1960,1.23,"mean years of schooling, both sexes age15-64"
Cambodia,1965,1.53,"mean years of schooling, both sexes age15-64"
Cambodia,1970,1.91,"mean years of schooling, both sexes age15-64"
Cambodia,1975,2.31,"mean years of schooling, both sexes age15-64"
Cambodia,1980,2.66,"mean years of schooling, both sexes age15-64"
Cambodia,1985,2.89,"mean years of schooling, both sexes age15-64"
Cambodia,1990,3.2,"mean years of schooling, both sexes age15-64"
Cambodia,1995,3.41,"mean years of schooling, both sexes age15-64"
Cambodia,2000,3.64,"mean years of schooling, both sexes age15-64"
Cambodia,2005,4.26,"mean years of schooling, both sexes age15-64"
Cambodia,2010,4.94,"mean years of schooling, both sexes age15-64"
Chile,1870,0.43,"mean years of schooling, both sexes age15-64"
Chile,1875,0.51,"mean years of schooling, both sexes age15-64"
Chile,1880,0.58,"mean years of schooling, both sexes age15-64"
Chile,1885,0.64,"mean years of schooling, both sexes age15-64"
Chile,1890,0.69,"mean years of schooling, both sexes age15-64"
Chile,1895,0.75,"mean years of schooling, both sexes age15-64"
Chile,1900,1.58,"mean years of schooling, both sexes age15-64"
Chile,1905,1.85,"mean years of schooling, both sexes age15-64"
Chile,1910,2.39,"mean years of schooling, both sexes age15-64"
Chile,1915,2.92,"mean years of schooling, both sexes age15-64"
Chile,1920,3.43,"mean years of schooling, both sexes age15-64"
Chile,1925,3.86,"mean years of schooling, both sexes age15-64"
Chile,1930,4.08,"mean years of schooling, both sexes age15-64"
Chile,1935,4.31,"mean years of schooling, both sexes age15-64"
Chile,1940,4.59,"mean years of schooling, both sexes age15-64"
Chile,1945,4.76,"mean years of schooling, both sexes age15-64"
Chile,1950,4.91,"mean years of schooling, both sexes age15-64"
Chile,1955,5.04,"mean years of schooling, both sexes age15-64"
Chile,1960,5.23,"mean years of schooling, both sexes age15-64"
Chile,1965,5.71,"mean years of schooling, both sexes age15-64"
Chile,1970,6.18,"mean years of schooling, both sexes age15-64"
Chile,1975,6.7,"mean years of schooling, both sexes age15-64"
Chile,1980,7.13,"mean years of schooling, both sexes age15-64"
Chile,1985,7.85,"mean years of schooling, both sexes age15-64"
Chile,1990,8.58,"mean years of schooling, both sexes age15-64"
Chile,1995,8.92,"mean years of schooling, both sexes age15-64"
Chile,2000,9.41,"mean years of schooling, both sexes age15-64"
Chile,2005,9.96,"mean years of schooling, both sexes age15-64"
Chile,2010,10.35,"mean years of schooling, both sexes age15-64"
China,1870,0.01,"mean years of schooling, both sexes age15-64"
China,1875,0.01,"mean years of schooling, both sexes age15-64"
China,1880,0.01,"mean years of schooling, both sexes age15-64"
China,1885,0.01,"mean years of schooling, both sexes age15-64"
China,1890,0.01,"mean years of schooling, both sexes age15-64"
China,1895,0.01,"mean years of schooling, both sexes age15-64"
China,1900,0.02,"mean years of schooling, both sexes age15-64"
China,1905,0.02,"mean years of schooling, both sexes age15-64"
China,1910,0.04,"mean years of schooling, both sexes age15-64"
China,1915,0.06,"mean years of schooling, both sexes age15-64"
China,1920,0.08,"mean years of schooling, both sexes age15-64"
China,1925,0.16,"mean years of schooling, both sexes age15-64"
China,1930,0.26,"mean years of schooling, both sexes age15-64"
China,1935,0.36,"mean years of schooling, both sexes age15-64"
China,1940,1.39,"mean years of schooling, both sexes age15-64"
China,1945,1.53,"mean years of schooling, both sexes age15-64"
China,1950,1.79,"mean years of schooling, both sexes age15-64"
China,1955,2.18,"mean years of schooling, both sexes age15-64"
China,1960,2.8,"mean years of schooling, both sexes age15-64"
China,1965,3.4,"mean years of schooling, both sexes age15-64"
China,1970,4.16,"mean years of schooling, both sexes age15-64"
China,1975,4.83,"mean years of schooling, both sexes age15-64"
China,1980,5.74,"mean years of schooling, both sexes age15-64"
China,1985,6.16,"mean years of schooling, both sexes age15-64"
China,1990,6.45,"mean years of schooling, both sexes age15-64"
China,1995,7.17,"mean years of schooling, both sexes age15-64"
China,2000,7.79,"mean years of schooling, both sexes age15-64"
China,2005,8.02,"mean years of schooling, both sexes age15-64"
China,2010,8.25,"mean years of schooling, both sexes age15-64"
India,1870,0.03,"mean years of schooling, both sexes age15-64"
India,1875,0.03,"mean years of schooling, both sexes age15-64"
India,1880,0.04,"mean years of schooling, both sexes age15-64"
India,1885,0.06,"mean years of schooling, both sexes age15-64"
India,1890,0.1,"mean years of schooling, both sexes age15-64"
India,1895,0.13,"mean years of schooling, both sexes age15-64"
India,1900,0.16,"mean years of schooling, both sexes age15-64"
India,1905,0.24,"mean years of schooling, both sexes age15-64"
India,1910,0.32,"mean years of schooling, both sexes age15-64"
India,1915,0.41,"mean years of schooling, both sexes age15-64"
India,1920,0.52,"mean years of schooling, both sexes age15-64"
India,1925,0.61,"mean years of schooling, both sexes age15-64"
India,1930,0.72,"mean years of schooling, both sexes age15-64"
India,1935,0.81,"mean years of schooling, both sexes age15-64"
India,1940,0.88,"mean years of schooling, both sexes age15-64"
India,1945,0.96,"mean years of schooling, both sexes age15-64"
India,1950,1.02,"mean years of schooling, both sexes age15-64"
India,1955,1.08,"mean years of schooling, both sexes age15-64"
India,1960,1.16,"mean years of schooling, both sexes age15-64"
India,1965,1.33,"mean years of schooling, both sexes age15-64"
India,1970,1.65,"mean years of schooling, both sexes age15-64"
India,1975,2.09,"mean years of schooling, both sexes age15-64"
India,1980,2.46,"mean years of schooling, both sexes age15-64"
India,1985,3.03,"mean years of schooling, both sexes age15-64"
India,1990,3.56,"mean years of schooling, both sexes age15-64"
India,1995,4.3,"mean years of schooling, both sexes age15-64"
India,2000,5.3,"mean years of schooling, both sexes age15-64"
India,2005,5.94,"mean years of schooling, both sexes age15-64"
India,2010,6.59,"mean years of schooling, both sexes age15-64"
Japan,1870,0.53,"mean years of schooling, both sexes age15-64"
Japan,1875,0.63,"mean years of schooling, both sexes age15-64"
Japan,1880,0.75,"mean years of schooling, both sexes age15-64"
Japan,1885,0.93,"mean years of schooling, both sexes age15-64"
Japan,1890,1.26,"mean years of schooling, both sexes age15-64"
Japan,1895,1.55,"mean years of schooling, both sexes age15-64"
Japan,1900,1.85,"mean years of schooling, both sexes age15-64"
Japan,1905,2.13,"mean years of schooling, both sexes age15-64"
Japan,1910,2.47,"mean years of schooling, both sexes age15-64"
Japan,1915,2.95,"mean years of schooling, both sexes age15-64"
Japan,1920,3.92,"mean years of schooling, both sexes age15-64"
Japan,1925,4.46,"mean years of schooling, both sexes age15-64"
Japan,1930,4.96,"mean years of schooling, both sexes age15-64"
Japan,1935,5.34,"mean years of schooling, both sexes age15-64"
Japan,1940,5.66,"mean years of schooling, both sexes age15-64"
Japan,1945,6.19,"mean years of schooling, both sexes age15-64"
Japan,1950,6.86,"mean years of schooling, both sexes age15-64"
Japan,1955,7.4,"mean years of schooling, both sexes age15-64"
Japan,1960,7.77,"mean years of schooling, both sexes age15-64"
Japan,1965,7.8,"mean years of schooling, both sexes age15-64"
Japan,1970,8.25,"mean years of schooling, both sexes age15-64"
Japan,1975,8.85,"mean years of schooling, both sexes age15-64"
Japan,1980,9.6,"mean years of schooling, both sexes age15-64"
Japan,1985,10.12,"mean years of schooling, both sexes age15-64"
Japan,1990,10.71,"mean years of schooling, both sexes age15-64"
Japan,1995,11.26,"mean years of schooling, both sexes age15-64"
Japan,2000,11.77,"mean years of schooling, both sexes age15-64"
Japan,2005,12.12,"mean years of schooling, both sexes age15-64"
Japan,2010,12.44,"mean years of schooling, both sexes age15-64"
Sierra Leone,1870,0.02,"mean years of schooling, both sexes age15-64"
Sierra Leone,1875,0.03,"mean years of schooling, both sexes age15-64"
Sierra Leone,1880,0.03,"mean years of schooling, both sexes age15-64"
