series,year,value_book,unit,value_successor,difference
Cambodia,1950,0.44,"mean years of schooling, both sexes age15-64",0.442,0.0020000000000000018
Cambodia,1955,0.67,"mean years of schooling, both sexes age15-64",0.667,-0.0030000000000000027
Cambodia,1960,1.23,"mean years of schooling, both sexes age15-64",1.234,0.0040000000000000036
Cambodia,1965,1.53,"mean years of schooling, both sexes age15-64",1.533,0.0029999999999998916
Cambodia,1970,1.91,"mean years of schooling, both sexes age15-64",1.908,-0.0020000000000000018
Cambodia,1975,2.31,"mean years of schooling, both sexes age15-64",2.306,-0.0040000000000000036
Cambodia,1980,2.66,"mean years of schooling, both sexes age15-64",2.663,0.0029999999999996696
Cambodia,1985,2.89,"mean years of schooling, both sexes age15-64",2.888,-0.002000000000000224
Cambodia,1990,3.2,"mean years of schooling, both sexes age15-64",3.2,0.0
Cambodia,1995,3.41,"mean years of schooling, both sexes age15-64",3.411,0.0009999999999998899
Cambodia,2000,3.64,"mean years of schooling, both sexes age15-64",3.64,0.0
Cambodia,2005,4.26,"mean years of schooling, both sexes age15-64",4.262,0.0019999999999997797
Cambodia,2010,4.94,"mean years of schooling, both sexes age15-64",4.943,0.0029999999999992255
Chile,1950,4.91,"mean years of schooling, both sexes age15-64",4.912,0.0019999999999997797
Chile,1955,5.04,"mean years of schooling, both sexes age15-64",5.036,-0.004000000000000448
Chile,1960,5.23,"mean years of schooling, both sexes age15-64",5.234,0.0039999999999995595
Chile,1965,5.71,"mean years of schooling, both sexes age15-64",5.714,0.004000000000000448
Chile,1970,6.18,"mean years of schooling, both sexes age15-64",6.18,0.0
Chile,1975,6.7,"mean years of schooling, both sexes age15-64",6.698,-0.0019999999999997797
Chile,1980,7.13,"mean years of schooling, both sexes age15-64",7.131,0.001000000000000334
Chile,1985,7.85,"mean years of schooling, both sexes age15-64",7.849,-0.0009999999999994458
Chile,1990,8.58,"mean years of schooling, both sexes age15-64",8.583,0.0030000000000001137
Chile,1995,8.92,"mean years of schooling, both sexes age15-64",8.916,-0.0039999999999995595
Chile,2000,9.41,"mean years of schooling, both sexes age15-64",9.405,-0.005000000000000782
Chile,2005,9.96,"mean years of schooling, both sexes age15-64",9.962,0.0019999999999988916
Chile,2010,10.35,"mean years of schooling, both sexes age15-64",10.348,-0.0019999999999988916
China,1950,1.79,"mean years of schooling, both sexes age15-64",1.788,-0.0020000000000000018
China,1955,2.18,"mean years of schooling, both sexes age15-64",2.182,0.0019999999999997797
China,1960,2.8,"mean years of schooling, both sexes age15-64",2.802,0.002000000000000224
China,1965,3.4,"mean years of schooling, both sexes age15-64",3.4,0.0
China,1970,4.16,"mean years of schooling, both sexes age15-64",4.162,0.0019999999999997797
China,1975,4.83,"mean years of schooling, both sexes age15-64",4.835,0.004999999999999893
China,1980,5.74,"mean years of schooling, both sexes age15-64",5.744,0.0039999999999995595
China,1985,6.16,"mean years of schooling, both sexes age15-64",6.161,0.0009999999999994458
China,1990,6.45,"mean years of schooling, both sexes age15-64",6.449,-0.001000000000000334
China,1995,7.17,"mean years of schooling, both sexes age15-64",7.168,-0.0019999999999997797
China,2000,7.79,"mean years of schooling, both sexes age15-64",7.787,-0.0030000000000001137
China,2005,8.02,"mean years of schooling, both sexes age15-64",8.022,0.002000000000000668
China,2010,8.25,"mean years of schooling, both sexes age15-64",8.25,0.0
India,1950,1.02,"mean years of schooling, both sexes age15-64",1.017,-0.0030000000000001137
India,1955,1.08,"mean years of schooling, both sexes age15-64",1.075,-0.0050000000000001155
India,1960,1.16,"mean years of schooling, both sexes age15-64",1.159,-0.0009999999999998899
India,1965,1.33,"mean years of schooling, both sexes age15-64",1.329,-0.001000000000000112
India,1970,1.65,"mean years of schooling, both sexes age15-64",1.649,-0.0009999999999998899
India,1975,2.09,"mean years of schooling, both sexes age15-64",2.088,-0.0019999999999997797
India,1980,2.46,"mean years of schooling, both sexes age15-64",2.463,0.0030000000000001137
India,1985,3.03,"mean years of schooling, both sexes age15-64",3.029,-0.0009999999999998899
India,1990,3.56,"mean years of schooling, both sexes age15-64",3.561,0.0009999999999998899
India,1995,4.3,"mean years of schooling, both sexes age15-64",4.303,0.0030000000000001137
India,2000,5.3,"mean years of schooling, both sexes age15-64",5.299,-0.0009999999999994458
India,2005,5.94,"mean years of schooling, both sexes age15-64",5.941,0.0009999999999994458
India,2010,6.59,"mean years of schooling, both sexes age15-64",6.586,-0.0039999999999995595
Japan,1950,6.86,"mean years of schooling, both sexes age15-64",6.862,0.0019999999999997797
Japan,1955,7.4,"mean years of schooling, both sexes age15-64",7.401,0.0009999999999994458
Japan,1960,7.77,"mean years of schooling, both sexes age15-64",7.771,0.001000000000000334
Japan,1965,7.8,"mean years of schooling, both sexes age15-64",7.796,-0.0039999999999995595
Japan,1970,8.25,"mean years of schooling, both sexes age15-64",8.249,-0.0009999999999994458
Japan,1975,8.85,"mean years of schooling, both sexes age15-64",8.849,-0.0009999999999994458
Japan,1980,9.6,"mean years of schooling, both sexes age15-64",9.595,-0.004999999999999005
Japan,1985,10.12,"mean years of schooling, both sexes age15-64",10.121,0.0010000000000012221
Japan,1990,10.71,"mean years of schooling, both sexes age15-64",10.709,-0.0010000000000012221
Japan,1995,11.26,"mean years of schooling, both sexes age15-64",11.26,0.0
Japan,2000,11.77,"mean years of schooling, both sexes age15-64",11.766,-0.0039999999999995595
Japan,2005,12.12,"mean years of schooling, both sexes age15-64",12.124,0.004000000000001336
Japan,2010,12.44,"mean years of schooling, both sexes age15-64",12.443,0.0030000000000001137
Sierra Leone,1950,0.41,"mean years of schooling, both sexes age15-64",0.413,0.0030000000000000027
Sierra Leone,1955,0.46,"mean years of schooling, both sexes age15-64",0.464,0.0040000000000000036
Sierra Leone,1960,0.51,"mean years of schooling, both sexes age15-64",0.509,-0.0010000000000000009
Sierra Leone,1965,0.68,"mean years of schooling, both sexes age15-64",0.679,-0.0010000000000000009
Sierra Leone,1970,0.87,"mean years of schooling, both sexes age15-64",0.866,-0.0040000000000000036
Sierra Leone,1975,1.14,"mean years of schooling, both sexes age15-64",1.136,-0.0040000000000000036
Sierra Leone,1980,1.44,"mean years of schooling, both sexes age15-64",1.441,0.001000000000000112
Sierra Leone,1985,1.81,"mean years of schooling, both sexes age15-64",1.809,-0.001000000000000112
Sierra Leone,1990,2.17,"mean years of schooling, both sexes age15-64",2.169,-0.0009999999999998899
Sierra Leone,1995,2.55,"mean years of schooling, both sexes age15-64",2.553,0.0030000000000001137
Sierra Leone,2000,2.9,"mean years of schooling, both sexes age15-64",2.899,-0.0009999999999998899
Sierra Leone,2005,3.36,"mean years of schooling, both sexes age15-64",3.361,0.001000000000000334
Sierra Leone,2010,4.28,"mean years of schooling, both sexes age15-64",4.284,0.0039999999999995595
United States,1950,8.74,"mean years of schooling, both sexes age15-64",8.744,0.0039999999999995595
