BLcode,series,year,sex,agefrom,ageto,lu,lp,lpc,ls,lsc,lh,lhc,value,yr_sch_pri,yr_sch_sec,yr_sch_ter,WBcode,region_code,pop,role
310,Cambodia,1950,MF,15,64,89.39,9.81,1.99,0.78,0.15,0.03,0.02,0.442,0.403,0.038,0.001,KHM,East Asia and the Pacific,2394.0,revised_overlap
310,Cambodia,1955,MF,15,64,84.55,14.11,3.33,1.3,0.23,0.04,0.02,0.667,0.604,0.062,0.001,KHM,East Asia and the Pacific,2666.0,revised_overlap
310,Cambodia,1960,MF,15,64,74.88,21.14,6.29,3.92,0.29,0.06,0.03,1.234,1.062,0.17,0.002,KHM,East Asia and the Pacific,2978.0,revised_overlap
310,Cambodia,1965,MF,15,64,69.25,25.63,7.88,5.01,0.36,0.1,0.05,1.533,1.312,0.218,0.003,KHM,East Asia and the Pacific,3342.0,revised_overlap
310,Cambodia,1970,MF,15,64,62.49,30.96,9.69,6.39,0.8,0.16,0.08,1.908,1.613,0.291,0.005,KHM,East Asia and the Pacific,3746.0,revised_overlap
310,Cambodia,1975,MF,15,64,55.17,36.74,11.57,7.87,1.16,0.22,0.11,2.306,1.935,0.365,0.007,KHM,East Asia and the Pacific,3899.0,revised_overlap
310,Cambodia,1980,MF,15,64,47.79,42.78,12.64,9.17,1.4,0.26,0.14,2.663,2.228,0.427,0.008,KHM,East Asia and the Pacific,3765.0,revised_overlap
310,Cambodia,1985,MF,15,64,43.08,46.75,13.51,9.89,1.55,0.28,0.16,2.888,2.418,0.462,0.009,KHM,East Asia and the Pacific,4336.0,revised_overlap
310,Cambodia,1990,MF,15,64,38.96,49.81,16.54,10.88,2.14,0.35,0.2,3.2,2.665,0.524,0.011,KHM,East Asia and the Pacific,5136.0,revised_overlap
310,Cambodia,1995,MF,15,64,34.85,53.73,18.39,10.98,2.6,0.44,0.26,3.411,2.849,0.548,0.014,KHM,East Asia and the Pacific,5760.0,revised_overlap
310,Cambodia,2000,MF,15,64,30.65,57.92,21.87,10.98,2.56,0.44,0.26,3.64,3.079,0.547,0.014,KHM,East Asia and the Pacific,7146.0,revised_overlap
310,Cambodia,2005,MF,15,64,25.26,58.78,23.25,14.4,3.74,1.56,0.76,4.262,3.418,0.797,0.046,KHM,East Asia and the Pacific,8372.0,revised_overlap
310,Cambodia,2010,MF,15,64,19.5,59.26,25.93,18.56,4.95,2.69,1.41,4.943,3.83,1.031,0.082,KHM,East Asia and the Pacific,9512.0,revised_overlap
310,Cambodia,2015,MF,15,64,18.66,59.78,18.96,16.11,5.08,5.45,2.98,4.873,3.656,1.049,0.169,KHM,East Asia and the Pacific,9977.0,updated_estimate
70,Chile,1950,MF,15,64,19.63,57.56,23.59,20.59,9.29,2.23,1.63,4.912,3.804,1.03,0.077,CHL,Latin America and the Caribbean,3591.0,revised_overlap
70,Chile,1955,MF,15,64,18.75,56.76,23.25,22.45,10.07,2.04,1.38,5.036,3.87,1.098,0.068,CHL,Latin America and the Caribbean,3878.0,revised_overlap
70,Chile,1960,MF,15,64,17.23,56.33,23.94,24.67,10.69,1.86,1.25,5.234,4.0,1.172,0.062,CHL,Latin America and the Caribbean,4259.0,revised_overlap
70,Chile,1965,MF,15,64,12.87,57.02,25.14,27.28,12.02,2.84,1.8,5.714,4.272,1.349,0.093,CHL,Latin America and the Caribbean,4716.0,revised_overlap
70,Chile,1970,MF,15,64,8.82,57.63,26.11,29.65,13.49,3.9,2.45,6.18,4.525,1.528,0.127,CHL,Latin America and the Caribbean,5289.0,revised_overlap
70,Chile,1975,MF,15,64,6.92,55.47,28.25,31.52,14.69,6.09,2.83,6.698,4.768,1.752,0.178,CHL,Latin America and the Caribbean,6010.0,revised_overlap
70,Chile,1980,MF,15,64,5.87,51.67,27.31,35.01,17.05,7.45,2.82,7.131,4.917,2.009,0.205,CHL,Latin America and the Caribbean,6865.0,revised_overlap
70,Chile,1985,MF,15,64,4.46,45.18,25.45,40.46,22.32,9.9,4.63,7.849,5.14,2.418,0.291,CHL,Latin America and the Caribbean,7662.0,revised_overlap
