BLcode,series,year,sex,agefrom,ageto,lu,lp,lpc,ls,lsc,lh,lhc,value,yr_sch_pri,yr_sch_sec,yr_sch_ter,WBcode,region_code,pop,role
70,Chile,1990,MF,15,64,3.66,39.24,23.3,44.79,29.55,12.32,6.43,8.583,5.302,2.906,0.375,CHL,Latin America and the Caribbean,8436.0,revised_overlap
70,Chile,1995,MF,15,64,3.76,34.18,16.91,44.62,28.49,17.43,7.83,8.916,5.256,3.154,0.505,CHL,Latin America and the Caribbean,9183.0,revised_overlap
70,Chile,2000,MF,15,64,3.39,28.97,13.15,46.15,30.13,21.49,8.63,9.405,5.322,3.481,0.602,CHL,Latin America and the Caribbean,10015.0,revised_overlap
70,Chile,2005,MF,15,64,2.56,19.96,9.51,57.21,35.68,20.27,8.17,9.962,5.533,3.861,0.569,CHL,Latin America and the Caribbean,10923.0,revised_overlap
70,Chile,2010,MF,15,64,1.45,12.16,6.14,70.18,42.19,16.21,7.02,10.348,5.732,4.151,0.464,CHL,Latin America and the Caribbean,11738.0,revised_overlap
70,Chile,2015,MF,15,64,5.88,6.91,3.89,66.1,43.62,21.11,12.66,10.639,5.557,4.406,0.676,CHL,Latin America and the Caribbean,12370.0,updated_estimate
83,China,1950,MF,15,64,68.59,22.27,7.2,8.75,1.93,0.39,0.19,1.788,1.433,0.344,0.012,CHN,East Asia and the Pacific,343863.0,revised_overlap
83,China,1955,MF,15,64,61.35,27.94,9.24,10.16,2.3,0.56,0.28,2.182,1.758,0.407,0.017,CHN,East Asia and the Pacific,354936.0,revised_overlap
83,China,1960,MF,15,64,53.36,32.46,13.81,13.41,3.06,0.76,0.4,2.802,2.239,0.54,0.023,CHN,East Asia and the Pacific,369925.0,revised_overlap
83,China,1965,MF,15,64,45.12,37.06,17.06,16.89,3.86,0.93,0.5,3.4,2.693,0.678,0.029,CHN,East Asia and the Pacific,404139.0,revised_overlap
83,China,1970,MF,15,64,35.63,41.58,21.62,21.86,5.26,0.93,0.52,4.162,3.264,0.869,0.029,CHN,East Asia and the Pacific,464831.0,revised_overlap
83,China,1975,MF,15,64,28.57,42.11,22.24,28.36,6.92,0.95,0.53,4.835,3.689,1.115,0.03,CHN,East Asia and the Pacific,520599.0,revised_overlap
83,China,1980,MF,15,64,19.74,43.14,24.02,36.15,11.0,0.97,0.54,5.744,4.242,1.473,0.03,CHN,East Asia and the Pacific,596819.0,revised_overlap
83,China,1985,MF,15,64,17.98,40.2,23.75,40.34,18.27,1.48,0.84,6.161,4.428,1.687,0.046,CHN,East Asia and the Pacific,690420.0,revised_overlap
83,China,1990,MF,15,64,17.81,35.81,21.8,44.33,25.49,2.05,1.19,6.449,4.511,1.873,0.065,CHN,East Asia and the Pacific,771073.0,revised_overlap
83,China,1995,MF,15,64,11.7,33.38,20.41,51.42,31.98,3.5,1.96,7.168,4.794,2.265,0.109,CHN,East Asia and the Pacific,822741.0,revised_overlap
83,China,2000,MF,15,64,6.49,30.1,18.61,58.48,33.95,4.93,2.85,7.787,5.046,2.585,0.156,CHN,East Asia and the Pacific,871078.0,revised_overlap
83,China,2005,MF,15,64,4.18,25.55,15.93,65.2,31.62,5.07,2.73,8.022,5.133,2.733,0.156,CHN,East Asia and the Pacific,934056.0,revised_overlap
83,China,2010,MF,15,64,2.63,20.84,13.07,71.76,24.7,4.77,2.62,8.25,5.298,2.804,0.148,CHN,East Asia and the Pacific,978480.0,revised_overlap
83,China,2015,MF,15,64,2.06,16.72,10.43,73.96,27.47,7.27,3.98,8.71,5.375,3.109,0.225,CHN,East Asia and the Pacific,1021572.0,updated_estimate
85,India,1950,MF,15,64,74.37,22.82,6.95,2.19,0.32,0.61,0.37,1.017,0.885,0.112,0.02,IND,South Asia,206434.0,revised_overlap
85,India,1955,MF,15,64,73.01,24.05,7.55,2.29,0.34,0.65,0.4,1.075,0.937,0.118,0.021,IND,South Asia,227645.0,revised_overlap
85,India,1960,MF,15,64,71.39,25.38,8.9,2.64,0.24,0.59,0.33,1.159,1.018,0.122,0.018,IND,South Asia,251241.0,revised_overlap
85,India,1965,MF,15,64,70.25,24.78,9.81,4.01,0.29,0.95,0.54,1.329,1.113,0.186,0.03,IND,South Asia,277538.0,revised_overlap
85,India,1970,MF,15,64,65.64,27.44,13.26,5.78,0.29,1.13,0.62,1.649,1.364,0.25,0.035,IND,South Asia,310274.0,revised_overlap
85,India,1975,MF,15,64,64.87,20.78,11.8,12.44,0.36,1.91,0.99,2.088,1.532,0.499,0.058,IND,South Asia,349890.0,revised_overlap
85,India,1980,MF,15,64,64.89,13.0,8.25,19.65,0.47,2.46,1.34,2.463,1.636,0.751,0.076,IND,South Asia,395409.0,revised_overlap
85,India,1985,MF,15,64,56.94,17.01,11.94,22.71,0.54,3.34,1.91,3.029,2.026,0.898,0.105,IND,South Asia,445980.0,revised_overlap
85,India,1990,MF,15,64,50.08,19.24,14.28,26.6,0.56,4.08,2.4,3.561,2.372,1.06,0.13,IND,South Asia,501996.0,revised_overlap
85,India,1995,MF,15,64,45.76,18.63,15.17,29.31,6.95,6.3,3.59,4.303,2.625,1.48,0.198,IND,South Asia,558027.0,revised_overlap
85,India,2000,MF,15,64,41.74,16.56,14.28,34.29,20.77,7.41,4.56,5.299,2.856,2.204,0.239,IND,South Asia,622630.0,revised_overlap
85,India,2005,MF,15,64,35.01,17.92,16.24,38.97,22.18,8.09,4.91,5.941,3.207,2.474,0.26,IND,South Asia,691452.0,revised_overlap
85,India,2010,MF,15,64,30.08,17.18,16.0,43.89,25.61,8.85,5.33,6.586,3.467,2.836,0.284,IND,South Asia,762026.0,revised_overlap
85,India,2015,MF,15,64,25.3,16.44,15.66,45.58,27.25,12.68,6.91,7.352,3.716,3.245,0.392,IND,South Asia,863971.0,updated_estimate
90,Japan,1950,MF,15,64,3.46,58.7,36.91,33.15,21.06,4.68,2.01,6.862,5.138,1.59,0.134,JPN,Advanced Economies,49847.0,revised_overlap
90,Japan,1955,MF,15,64,2.12,53.74,34.24,38.6,24.82,5.54,2.56,7.401,5.288,1.952,0.162,JPN,Advanced Economies,54908.0,revised_overlap
90,Japan,1960,MF,15,64,1.1,50.67,32.5,42.1,27.4,6.1,3.01,7.771,5.387,2.202,0.182,JPN,Advanced Economies,60273.0,revised_overlap
90,Japan,1965,MF,15,64,0.82,50.06,33.86,43.48,22.83,5.64,3.0,7.796,5.465,2.159,0.173,JPN,Advanced Economies,67056.0,revised_overlap
90,Japan,1970,MF,15,64,0.27,47.17,33.01,44.35,24.9,8.19,4.11,8.249,5.558,2.444,0.246,JPN,Advanced Economies,71888.0,revised_overlap
90,Japan,1975,MF,15,64,0.23,40.87,28.93,46.54,27.28,12.36,6.65,8.849,5.628,2.841,0.38,JPN,Advanced Economies,75625.0,revised_overlap
90,Japan,1980,MF,15,64,0.24,33.69,24.2,48.81,33.16,17.26,8.81,9.595,5.701,3.373,0.521,JPN,Advanced Economies,78735.0,revised_overlap
90,Japan,1985,MF,15,64,0.22,28.0,20.37,51.39,35.1,20.38,11.92,10.121,5.757,3.718,0.646,JPN,Advanced Economies,82390.0,revised_overlap
90,Japan,1990,MF,15,64,0.11,22.33,16.46,53.39,38.08,24.14,14.24,10.709,5.816,4.125,0.768,JPN,Advanced Economies,85998.0,revised_overlap
90,Japan,1995,MF,15,64,0.13,17.04,12.96,54.86,40.56,27.98,16.36,11.26,5.87,4.503,0.887,JPN,Advanced Economies,87189.0,revised_overlap
90,Japan,2000,MF,15,64,0.13,12.96,9.97,54.87,42.31,32.04,19.24,11.766,5.902,4.838,1.026,JPN,Advanced Economies,86574.0,revised_overlap
90,Japan,2005,MF,15,64,0.13,10.19,7.94,54.08,42.98,35.6,22.0,12.124,5.925,5.048,1.152,JPN,Advanced Economies,84888.0,revised_overlap
90,Japan,2010,MF,15,64,0.14,7.7,6.06,54.04,44.76,38.12,24.38,12.443,5.942,5.251,1.25,JPN,Advanced Economies,81957.0,revised_overlap
90,Japan,2015,MF,15,64,0.13,5.68,4.53,48.13,40.69,46.06,25.98,12.826,5.958,5.428,1.441,JPN,Advanced Economies,78059.0,updated_estimate
36,Sierra Leone,1950,MF,15,64,95.08,3.2,2.03,1.52,0.65,0.21,0.13,0.413,0.303,0.103,0.007,SLE,Sub-Saharan Africa,1120.0,revised_overlap
36,Sierra Leone,1955,MF,15,64,94.6,3.36,2.12,1.8,0.75,0.24,0.15,0.464,0.335,0.122,0.008,SLE,Sub-Saharan Africa,1204.0,revised_overlap
36,Sierra Leone,1960,MF,15,64,94.08,3.7,2.37,1.95,0.8,0.27,0.17,0.509,0.368,0.132,0.009,SLE,Sub-Saharan Africa,1300.0,revised_overlap
36,Sierra Leone,1965,MF,15,64,92.43,4.57,3.8,2.66,0.97,0.27,0.18,0.679,0.498,0.172,0.009,SLE,Sub-Saharan Africa,1403.0,revised_overlap
36,Sierra Leone,1970,MF,15,64,89.9,6.03,3.65,3.78,1.24,0.29,0.17,0.866,0.623,0.234,0.009,SLE,Sub-Saharan Africa,1519.0,revised_overlap
36,Sierra Leone,1975,MF,15,64,86.73,7.82,4.56,5.12,1.56,0.33,0.19,1.136,0.815,0.311,0.01,SLE,Sub-Saharan Africa,1652.0,revised_overlap
36,Sierra Leone,1980,MF,15,64,83.18,9.74,5.5,6.72,1.96,0.36,0.2,1.441,1.029,0.4,0.011,SLE,Sub-Saharan Africa,1815.0,revised_overlap
36,Sierra Leone,1985,MF,15,64,79.26,11.52,6.32,8.64,2.41,0.59,0.33,1.809,1.27,0.521,0.018,SLE,Sub-Saharan Africa,2009.0,revised_overlap
36,Sierra Leone,1990,MF,15,64,74.76,14.38,7.7,10.2,2.92,0.67,0.41,2.169,1.533,0.615,0.022,SLE,Sub-Saharan Africa,2249.0,revised_overlap
36,Sierra Leone,1995,MF,15,64,69.31,18.53,9.67,11.38,3.27,0.78,0.49,2.553,1.838,0.689,0.025,SLE,Sub-Saharan Africa,2255.0,revised_overlap
36,Sierra Leone,2000,MF,15,64,66.2,19.07,9.65,13.77,3.77,0.96,0.59,2.899,2.037,0.831,0.031,SLE,Sub-Saharan Africa,2433.0,revised_overlap
36,Sierra Leone,2005,MF,15,64,63.52,17.37,8.63,17.91,4.79,1.2,0.74,3.361,2.248,1.075,0.039,SLE,Sub-Saharan Africa,2974.0,revised_overlap
36,Sierra Leone,2010,MF,15,64,54.88,16.2,7.99,26.65,7.18,2.28,1.27,4.284,2.752,1.461,0.071,SLE,Sub-Saharan Africa,3289.0,revised_overlap
36,Sierra Leone,2015,MF,15,64,45.43,28.08,13.73,25.22,6.98,1.51,0.88,4.415,3.084,1.283,0.048,SLE,Sub-Saharan Africa,3951.0,updated_estimate
66,United States,1950,MF,15,64,1.67,38.63,18.29,45.88,27.67,13.81,7.16,8.744,5.289,3.035,0.419,USA,Advanced Economies,102174.0,revised_overlap
66,United States,1955,MF,15,64,1.53,34.23,16.41,48.96,30.51,15.27,8.14,9.142,5.373,3.301,0.468,USA,Advanced Economies,105527.0,revised_overlap
66,United States,1960,MF,15,64,1.17,29.15,14.32,52.96,34.69,16.73,9.02,9.634,5.485,3.634,0.515,USA,Advanced Economies,111660.0,revised_overlap
66,United States,1965,MF,15,64,1.09,19.28,10.21,60.33,40.44,19.14,10.43,10.416,5.653,4.171,0.592,USA,Advanced Economies,120051.0,revised_overlap
66,United States,1970,MF,15,64,0.99,12.16,6.84,64.61,45.31,22.24,12.11,11.1,5.781,4.632,0.687,USA,Advanced Economies,129887.0,revised_overlap
66,United States,1975,MF,15,64,0.99,6.67,3.91,63.81,46.22,28.43,15.3,11.733,5.852,5.007,0.875,USA,Advanced Economies,141706.0,revised_overlap
66,United States,1980,MF,15,64,0.61,3.35,2.04,64.09,50.19,32.02,17.88,12.276,5.928,5.35,0.998,USA,Advanced Economies,153142.0,revised_overlap
66,United States,1985,MF,15,64,0.89,5.04,3.17,54.04,40.38,40.03,21.25,12.351,5.891,5.235,1.226,USA,Advanced Economies,162029.0,revised_overlap
66,United States,1990,MF,15,64,0.97,5.74,3.85,46.88,35.8,46.42,23.66,12.554,5.886,5.266,1.402,USA,Advanced Economies,168670.0,revised_overlap
66,United States,1995,MF,15,64,0.43,2.34,1.53,50.12,38.07,47.11,23.05,12.826,5.95,5.472,1.403,USA,Advanced Economies,176708.0,revised_overlap
66,United States,2000,MF,15,64,0.33,2.33,1.57,46.32,39.79,51.02,24.14,13.105,5.957,5.644,1.503,USA,Advanced Economies,187823.0,revised_overlap
66,United States,2005,MF,15,64,0.32,2.22,1.54,45.94,35.02,51.52,25.01,13.011,5.96,5.52,1.531,USA,Advanced Economies,199556.0,revised_overlap
66,United States,2010,MF,15,64,0.27,2.61,2.05,41.48,34.42,55.64,27.49,13.245,5.967,5.615,1.662,USA,Advanced Economies,209726.0,revised_overlap
66,United States,2015,MF,15,64,0.3,3.12,2.18,40.33,34.2,56.28,29.02,13.275,5.956,5.613,1.706,USA,Advanced Economies,212207.0,updated_estimate
