decade_start,decade_label,famine_deaths,world_population,deaths_per_100k_per_decade
1860,1860s,4591043.0,1316952210.0,348.6112073877001
1870,1870s,19927346.0,1374940414.0,1449.3243341380173
1880,1880s,6150000.0,1465857041.0,419.54978063921584
1890,1890s,8904077.0,1572272041.0,566.3191081320005
1900,1900s,2878049.0,1695427510.0,169.75358622085824
1910,1910s,2678200.0,1829102909.0,146.4215045978039
1920,1920s,16024500.0,1979027667.0,809.7158148522236
1930,1930s,12200000.0,2179140887.0,559.8536594297769
1940,1940s,19237000.0,2384671779.0,806.6938255153477
1950,1950s,24248500.0,2740213796.0,884.9127040888748
1960,1960s,920700.0,3334533710.0,27.61105689946676
1970,1970s,3105000.0,4070735279.0,76.27614637625764
1980,1980s,1348000.0,4868943457.0,27.685677845816887
1990,1990s,3996500.0,5758878977.0,69.39718677821418
2000,2000s,301650.0,6586970132.0,4.579495488138947
2010,2010-2016,255000.0,7291793585.0,3.4970819871336225
