series,year,gain_iq_points,source_series,unit,shown_in_book_plot,years_elapsed,gain_since_prior,implied_gain_per_year
Africa,1964,0.33,Africa,IQ point change from own first observation; not IQ level,True,1.0,0.33,0.33
Africa,1982,3.39,Africa,IQ point change from own first observation; not IQ level,True,18.0,3.06,0.17
Africa,1986,5.31,Africa,IQ point change from own first observation; not IQ level,True,4.0,1.9199999999999995,0.47999999999999987
Africa,1998,10.83,Africa,IQ point change from own first observation; not IQ level,True,12.0,5.5200000000000005,0.46
Africa,2007,13.08,Africa,IQ point change from own first observation; not IQ level,True,9.0,2.25,0.25
Americas,1923,0.42,America,IQ point change from own first observation; not IQ level,True,14.0,0.42,0.03
Americas,1939,12.9,America,IQ point change from own first observation; not IQ level,True,16.0,12.48,0.78
Americas,1946,14.58,America,IQ point change from own first observation; not IQ level,True,7.0,1.6799999999999997,0.23999999999999996
Americas,1979,27.78,America,IQ point change from own first observation; not IQ level,True,33.0,13.200000000000001,0.4
Americas,2007,32.26,America,IQ point change from own first observation; not IQ level,True,28.0,4.479999999999997,0.1599999999999999
Asia,1952,0.9,Asia,IQ point change from own first observation; not IQ level,True,1.0,0.9,0.9
Asia,1960,10.74,Asia,IQ point change from own first observation; not IQ level,True,8.0,9.84,1.23
Asia,1969,19.2,Asia,IQ point change from own first observation; not IQ level,True,9.0,8.459999999999999,0.94
Asia,1984,28.05,Asia,IQ point change from own first observation; not IQ level,True,15.0,8.850000000000001,0.5900000000000001
Asia,2013,36.75,Asia,IQ point change from own first observation; not IQ level,True,29.0,8.7,0.3
Australia & NZ,1949,4.42,Oceania,IQ point change from own first observation; not IQ level,True,13.0,4.42,0.33999999999999997
Australia & NZ,1967,9.46,Oceania,IQ point change from own first observation; not IQ level,True,18.0,5.040000000000001,0.28
Australia & NZ,1988,17.86,Oceania,IQ point change from own first observation; not IQ level,True,21.0,8.399999999999999,0.3999999999999999
Australia & NZ,1991,19.87,Oceania,IQ point change from own first observation; not IQ level,True,3.0,2.0100000000000016,0.6700000000000005
Australia & NZ,1995,20.31,Oceania,IQ point change from own first observation; not IQ level,True,4.0,0.4399999999999977,0.10999999999999943
Europe,1933,4.41,Europe,IQ point change from own first observation; not IQ level,True,21.0,4.41,0.21000000000000002
Europe,1947,5.53,Europe,IQ point change from own first observation; not IQ level,True,14.0,1.12,0.08
Europe,1958,10.37,Europe,IQ point change from own first observation; not IQ level,True,11.0,4.839999999999999,0.4399999999999999
Europe,1969,13.78,Europe,IQ point change from own first observation; not IQ level,True,11.0,3.41,0.31
Europe,2010,22.8,Europe,IQ point change from own first observation; not IQ level,True,41.0,9.020000000000001,0.22000000000000003
World,1923,1.12,Global,IQ point change from own first observation; not IQ level,True,14.0,1.12,0.08
World,1935,9.76,Global,IQ point change from own first observation; not IQ level,True,12.0,8.64,0.7200000000000001
World,1947,12.28,Global,IQ point change from own first observation; not IQ level,True,12.0,2.5199999999999996,0.20999999999999996
World,1976,20.98,Global,IQ point change from own first observation; not IQ level,True,29.0,8.700000000000001,0.30000000000000004
World,2013,29.49,Global,IQ point change from own first observation; not IQ level,True,37.0,8.509999999999998,0.22999999999999995
