year,Gross Domestic Product,Vehicle Miles Traveled,Population,Energy Consumption,CO2 Emissions,Aggregate Emissions (Six Common Pollutants)
1970,0.0,0.0,0.0,0.0,0.0,0.0
1980,36.6,37.6,10.7,15.1,9.1,-17.3
1990,89.6,93.2,21.5,24.5,18.2,-33.0
1995,115.5,118.3,29.3,34.2,25.7,-39.7
1996,123.7,123.8,30.7,38.6,30.1,-42.9
1997,133.7,129.9,32.2,39.5,31.8,-42.9
1998,144.1,136.8,34.1,40.1,32.7,-43.9
1999,155.5,142.3,35.6,42.5,34.4,-45.8
2000,166.0,147.5,37.6,45.7,38.5,-47.5
2001,168.6,151.9,39.0,41.8,36.2,-48.9
2002,173.4,157.3,40.5,43.9,37.1,-47.6
2003,181.0,160.4,41.5,44.3,38.2,-49.2
2004,191.7,167.1,42.9,47.5,40.9,-50.8
2005,201.4,169.3,44.4,47.7,41.5,-52.1
2006,209.5,171.5,45.4,46.7,39.6,-54.3
2007,215.0,173.1,46.8,48.9,41.4,-56.5
2008,214.1,168.2,48.3,45.8,36.9,-60.2
2009,205.4,166.4,49.8,38.8,26.8,-62.9
2010,213.1,167.3,50.7,43.7,31.4,-64.5
2011,218.1,165.4,52.2,42.8,28.5,-65.6
2012,225.2,167.5,53.2,39.3,23.6,-66.5
2013,230.0,169.2,54.1,43.3,27.1,-67.5
2014,238.0,174.0,55.6,45.2,27.8,-69.5
2015,246.2,183.6,56.6,43.9,28.4,-71.4
