year,World,World ('Best Guess'),Western Europe,Eastern Europe,Western Offshoots,Latin America and Caribbean,East Asia,South and South-East Asia,Middle East and North Africa,Sub-Sahara Africa
1820,,17.2,,,,,,,,
1870,,24.0,,,,,,,,
1870,23.9,,60,25.1,82.3,13.5,24.3,1.8,4.2,1.8
1880,26.7,,69.2,27.4,86.5,16.2,25.6,2.2,4.7,2
1890,29.6,,75.3,30.8,92.5,19.5,27.6,2.5,5.3,2.4
1900,33.2,,80.9,33.9,96.9,23,30.2,5,5.8,2.9
1910,35.6,,82.6,36.1,96.7,26.7,32.8,6.3,7.1,3.6
1920,38.6,,86.7,49.1,98,32,35.9,8.6,7.5,4.4
1930,40.9,,86.8,64.4,98.8,35.7,37.9,11.5,8.7,6.3
1940,45.9,,90.9,92.8,100,42.7,42.1,15.2,10.5,9.5
1950,49,,91.3,97.1,100,54,45.8,19.7,14,13.4
1960,53.7,,93.9,98.5,100,55.5,56.2,25.6,21.1,20.4
1970,60.9,,96,98.5,100,65.4,71.8,34.4,28.8,25.1
1980,63,,98.6,98.5,100,71.5,72.4,40.5,39.4,32.1
1990,71.1,,99.5,99.7,100,83.3,80,53.7,55.2,45.2
2000,78.5,,99.6,,100,90,87.1,65.9,66.3,58.4
2010,81.5,,99.8,,100,93.5,89.8,70.3,73.8,65.4
