sat_current_hat,gdp,cty,satlow,ylow,sathigh,yhigh
-0.7100815773010254,563.258056640625,AFG,-0.7241913080215454,438.6658020019531,-0.6959718465805054,723.2376098632812
-0.6482289433479309,2314.4033203125,AGO,-0.6579102873802185,1802.459228515625,-0.6385475993156433,2971.7529296875
-0.3985312283039093,4955.26953125,ALB,-0.572578489780426,3859.166015625,-0.22448398172855377,6362.68896484375
0.7167304754257202,43109.3828125,ARE,,,,
0.4902786314487457,13652.41015625,ARG,0.39224547147750854,10632.5068359375,0.5883117914199829,17530.041015625
-0.5782040357589722,5011.03369140625,ARM,-0.6652872562408447,3902.597900390625,-0.4911208152770996,6434.29638671875
1.04498291015625,30677.865234375,AUS,0.9668628573417664,23891.951171875,1.1231029033660889,39391.16796875
0.9239705801010132,30735.775390625,AUT,0.7689361572265625,23937.041015625,1.0790050029754639,39465.5078125
-0.3454868495464325,5953.36376953125,AZE,-0.47993868589401245,4636.4833984375,-0.21103502810001373,7644.2685546875
-0.6357380151748657,629.8118896484375,BDI,-0.6842476725578308,490.4980163574219,-0.5872283577919006,808.6945190429688
0.9860666990280151,30004.197265625,BEL,0.8445172905921936,23367.291015625,1.1276161670684814,38526.15234375
-1.0708180665969849,1015.9476928710938,BEN,-1.1141715049743652,791.2210083007812,-1.0274646282196045,1304.5029296875
-0.8333053588867188,1142.9256591796875,BFA,-0.8628241419792175,890.111328125,-0.80378657579422,1467.5455322265625
-0.5603903532028198,1916.201171875,BGD,-0.6841561794281006,1492.338623046875,-0.43662455677986145,2460.450439453125
-0.8010269403457642,8753.8935546875,BGR,-0.9371349811553955,6817.5419921875,-0.6649188995361328,11240.2265625
-0.24851083755493164,4857.3955078125,BIH,-0.342842698097229,3782.9423828125,-0.15417899191379547,6237.017578125
0.1406553089618683,7809.6142578125,BLR,0.07756511121988297,6082.13427734375,0.2037455141544342,10027.744140625
-0.00414393050596118,2579.160400390625,BOL,-0.10136980563402176,2008.6524658203125,0.09308194369077682,3311.7080078125
0.6798765659332275,7825.775390625,BRA,0.6367085576057434,6094.72216796875,0.7230445742607117,10048.498046875
-0.33578792214393616,11313.265625,BWA,-0.41807812452316284,8810.783203125,-0.2534977197647095,14526.5263671875
1.0852031707763672,30277.87109375,CAN,0.944324791431427,23580.431640625,1.2260814905166626,38877.55859375
1.1068315505981445,32775.22265625,CHE,0.9323874115943909,25525.37890625,1.2812756299972534,42084.234375
0.3654119074344635,10938.5732421875,CHL,0.25790271162986755,8518.9697265625,0.47292110323905945,14045.4072265625
-0.4268200397491455,6620.67333984375,CHN,-0.5197775959968567,5156.18701171875,-0.3338624835014343,8501.115234375
-0.8041843771934509,2079.4033203125,CMR,-0.8739616870880127,1619.4410400390625,-0.7344070672988892,2670.0068359375
0.3454386293888092,6886.04296875,COL,0.21181897819042206,5362.8544921875,0.47905826568603516,8841.8525390625
0.914434552192688,9646.4921875,CRI,0.8487198948860168,7512.69677734375,0.9801492094993591,12386.3427734375
0.02261485904455185,3469.568115234375,CUB,-0.014804203063249588,2702.103515625,0.06003392115235329,4455.015625
0.454377681016922,24975.662109375,CYP,0.32277193665504456,19451.064453125,0.585983395576477,32069.384765625
0.5579491853713989,19699.529296875,CZE,0.36372649669647217,15342.015625,0.7521718740463257,25294.708984375
0.6484949588775635,27437.5859375,DEU,0.471388578414917,21368.41796875,0.82560133934021,35230.56640625
1.4091429710388184,31422.48046875,DNK,1.3391658067703247,24471.85546875,1.479120135307312,40347.26953125
-0.1351424753665924,7617.818359375,DOM,-0.1835978925228119,5932.765625,-0.08668705821037292,9781.4765625
0.21234455704689026,6375.6396484375,DZA,0.006158947944641113,4965.3525390625,0.4185301661491394,8186.482421875
-0.18210551142692566,3981.582275390625,ECU,-0.2645648121833801,3100.85888671875,-0.09964622557163239,5112.4521484375
-0.06915978342294693,4031.033203125,EGY,,,,
0.9403514862060547,24680.947265625,ESP,0.8357037305831909,19221.537109375,1.0449992418289185,31690.958984375
-0.01269463449716568,15885.013671875,EST,-0.15927550196647644,12371.255859375,0.1338862180709839,20396.751953125
-0.8489575982093811,1030.166259765625,ETH,-0.865257978439331,802.29443359375,-0.8326572179794312,1322.7598876953125
1.2050409317016602,30420.31640625,FIN,1.0876466035842896,23691.376953125,1.3224352598190308,39060.4765625
0.8997622728347778,28876.53125,FRA,0.7929146885871887,22489.0625,1.0066099166870117,37078.1953125
0.839563250541687,30237.16015625,GBR,0.7464188933372498,23548.72265625,0.9327076077461243,38825.27734375
-0.8457815647125244,3303.91552734375,GEO,-0.9512081742286682,2573.09130859375,-0.7403549551963806,4242.310546875
-0.4532003700733185,2299.104736328125,GHA,-0.5051941871643066,1790.5443115234375,-0.4012065529823303,2952.1083984375
0.33808234333992004,21674.642578125,GRC,0.17759928107261658,16880.2265625,0.4985654056072235,27830.787109375
0.27535417675971985,4150.208984375,GTM,0.19958004355430603,3232.1845703125,0.35112830996513367,5328.9716796875
0.06617876142263412,32901.35546875,HKG,-0.04824380576610565,25623.59765625,0.1806013286113739,42246.16796875
0.021206580102443695,3170.326904296875,HND,-0.1513996124267578,2469.0537109375,0.193812757730484,4070.78125
0.2329694926738739,12164.037109375,HRV,0.12582218647003174,9473.365234375,0.34011679887771606,15618.939453125
-0.8484848737716675,1479.338623046875,HTI,-0.8267133235931396,1152.1099853515625,-0.8702564239501953,1899.5081787109375
-0.09805641323328018,16927.87109375,HUN,-0.2775760889053345,13183.43359375,0.08146325498819351,21735.806640625
-0.2281610071659088,3570.060546875,IDN,-0.3134654760360718,2780.3662109375,-0.14285655319690704,4584.048828125
-0.02081862837076187,3307.94580078125,IND,-0.10666497051715851,2576.231689453125,0.06502771377563477,4247.48828125
0.9344068765640259,36237.92578125,IRL,0.837480366230011,28222.134765625,1.031333327293396,46530.43359375
-0.0517146959900856,7405.158203125,IRN,,,,
-0.8517236709594727,2515.43701171875,IRQ,,,,
0.9493975639343262,23295.666015625,ISR,0.8508005142211914,18142.68359375,1.047994613647461,29912.228515625
0.7821333408355713,26495.73046875,ITA,0.7089344263076782,20634.900390625,0.8553322553634644,34021.19921875
0.42955008149147034,3907.427734375,JAM,0.2983660101890564,3043.108154296875,0.5607341527938843,5017.23681640625
0.48377516865730286,5175.9931640625,JOR,,,,
0.5947685241699219,27991.923828125,JPN,0.5244432687759399,21800.140625,0.6650937795639038,35942.35546875
0.04594369977712631,7652.20458984375,KAZ,-0.016638152301311493,5959.54248046875,0.10852555185556412,9825.625
-0.7179619073867798,1137.3660888671875,KEN,,,,
-0.39439529180526733,1749.301025390625,KGZ,-0.43612295389175415,1362.3568115234375,-0.3526676297187805,2246.146484375
-0.9412797093391418,2628.828857421875,KHM,-1.0553051233291626,2047.3341064453125,-0.8272542953491211,3375.4833984375
0.17362698912620544,20571.56640625,KOR,0.0610007643699646,16021.15625,0.2862532138824463,26414.421875
0.367937833070755,20036.755859375,KWT,,,,
-0.1642756164073944,2012.9400634765625,LAO,,,,
0.06980278342962265,4876.2216796875,LBN,,,,
-0.5475924015045166,4391.40234375,LKA,,,,
0.29441943764686584,14020.3896484375,LTU,0.1758488416671753,10919.0947265625,0.4129900336265564,18002.54296875
-0.3599116802215576,13724.4892578125,LVA,,,,
-0.4147864878177643,4346.3544921875,MAR,,,,
-0.1514889895915985,2151.0419921875,MDA,-0.20866620540618896,1675.23291015625,-0.09431178122758865,2761.9921875
-0.7469372749328613,840.150390625,MDG,-0.8310965895652771,654.3098754882812,-0.6627779603004456,1078.774658203125
0.6362414360046387,9967.298828125,MEX,0.5739091038703918,7762.5380859375,0.6985737681388855,12798.26171875
-0.4626726806163788,6579.66455078125,MKD,-0.6108551025390625,5124.25,-0.31449028849601746,8448.4599609375
-0.717993974685669,942.0471801757812,MLI,-0.7562026977539062,733.6671142578125,-0.6797852516174316,1209.612548828125
-0.0317673459649086,1561.3056640625,MMR,-0.16336995363235474,1215.946044921875,0.09983526915311813,2004.756103515625
-0.09232185035943985,3296.08984375,MNE,-0.13531269133090973,2566.998291015625,-0.04933101311326027,4232.2646484375
-0.418805330991745,1162.3597412109375,MOZ,-0.5374428629875183,905.2467041015625,-0.3001677691936493,1492.49951171875
-0.1075277104973793,2160.63525390625,MRT,-0.14378497004508972,1682.7041015625,-0.07127045094966888,2774.31005859375
-0.8036587238311768,631.451171875,MWI,-0.856071949005127,491.77459716796875,-0.7512454986572266,810.7991943359375
0.3290931284427643,10090.9560546875,MYS,0.2778998017311096,7858.84326171875,0.38028645515441895,12957.0419921875
-0.8551412224769592,700.2893676757812,NER,-0.9255532026290894,545.3859252929688,-0.7847292423248291,899.1893310546875
-0.3565804064273834,1008.0852661132812,NGA,-0.4014323055744171,785.0977172851562,-0.31172850728034973,1294.4073486328125
-0.47638824582099915,3538.93701171875,NIC,-0.6260951161384583,2756.125732421875,-0.32668137550354004,4544.0830078125
1.0894076824188232,31305.9765625,NLD,0.8963331580162048,24381.12109375,1.2824822664260864,40197.671875
1.0816400051116943,37667.328125,NOR,0.964866042137146,29335.3515625,1.1984139680862427,48365.8203125
-0.43805351853370667,1379.11376953125,NPL,-0.5003356337547302,1074.0550537109375,-0.3757714033126831,1770.8173828125
1.0193202495574951,23109.255859375,NZL,0.9065126776695251,17997.513671875,1.1321278810501099,29672.8828125
,2206.290283203125,PAK,,,,
0.40210238099098206,7234.05517578125,PAN,0.27824628353118896,5633.88623046875,0.5259584784507751,9288.7080078125
-0.29739996790885925,5725.068359375,PER,-0.3944814205169678,4458.68798828125,-0.20031853020191193,7351.1337890625
-0.36364930868148804,4730.57861328125,PHL,,,,
0.110565684735775,13349.3251953125,POL,-0.03957124799489975,10396.4619140625,0.26070261001586914,17140.869140625
0.6612987518310547,16740.666015625,PRI,0.6072824001312256,13037.6474609375,0.7153151035308838,21495.447265625
,18965.97265625,PRT,,14770.716796875,,24352.794921875
-0.3438168168067932,4368.1064453125,PRY,-0.41593772172927856,3401.884521484375,-0.27169591188430786,5608.75927734375
-0.3459945023059845,,PSE,,,,
-0.17506995797157288,8721.791015625,ROM,-0.28818756341934204,6792.537109375,-0.061952345073223114,11199.0
-0.22073358297348022,10349.978515625,RUS,-0.3544192314147949,8060.56982421875,-0.08704794943332672,13289.6328125
-0.6142746806144714,1104.6884765625,RWA,-0.7212435007095337,860.3320922851562,-0.5073058605194092,1418.4478759765625
0.8855961561203003,11970.009765625,SAU,,,,
-0.4232146143913269,1598.648193359375,SEN,-0.5001474618911743,1245.0283203125,-0.3462817370891571,2052.70458984375
0.5697380304336548,28305.41796875,SGP,0.4575091004371643,22044.287109375,0.6819669604301453,36344.8828125
-0.9166358709335327,752.5133056640625,SLE,-0.9216291904449463,586.0580444335938,-0.9116425514221191,966.246337890625
0.17045828700065613,4775.51708984375,SLV,0.058799490332603455,3719.17529296875,0.2821170687675476,6131.88330078125
-0.33083459734916687,6211.39453125,SRB,-0.4788920283317566,4837.4375,-0.18277716636657715,7975.5859375
-0.06573186069726944,15408.873046875,SVK,-0.25494784116744995,12000.4482421875,0.12348411232233047,19785.392578125
0.22555330395698547,20890.201171875,SVN,0.039530158042907715,16269.3095703125,0.41157644987106323,26823.556640625
1.058304786682129,30392.451171875,SWE,0.937508761882782,23669.673828125,1.1791008710861206,39024.6953125
-1.0165563821792603,1340.6717529296875,TCD,-1.0292909145355225,1044.116455078125,-1.003821849822998,1721.45703125
-1.1336265802383423,1306.0411376953125,TGO,-1.2214601039886475,1017.1456298828125,-1.045793056488037,1676.9896240234375
0.2663586437702179,8065.1337890625,THA,0.1763128787279129,6281.13525390625,0.3564044237136841,10355.8408203125
-0.4164747893810272,1256.8988037109375,TJK,-0.4761236608028412,978.8736572265625,-0.35682591795921326,1613.889892578125
0.2454797327518463,14708.0693359375,TTO,0.15427175164222717,11454.6533203125,0.33668771386146545,18885.53125
