year,sex,Animals and pets,Lawn and garden care,Leisure and sports,Volunteering (organizational and civic activities),hours_per_week,with_pet_care_hours_per_week,population,version,measure,unit
2015,men,0.1,0.28,5.58,0.13,41.93,42.63,civilian noninstitutional population 15+; not fixed-demographic reweighted,"BLS annual A-1 tables, retrieved 2026-09-09",leisure/sports + lawn/garden + volunteering; book endpoint definition,hours per week
2015,women,0.12,0.12,4.86,0.16,35.98,36.82,civilian noninstitutional population 15+; not fixed-demographic reweighted,"BLS annual A-1 tables, retrieved 2026-09-09",leisure/sports + lawn/garden + volunteering; book endpoint definition,hours per week
2016,men,0.1,0.25,5.51,0.12,41.16,41.86,civilian noninstitutional population 15+; not fixed-demographic reweighted,"BLS annual A-1 tables, retrieved 2026-09-09",leisure/sports + lawn/garden + volunteering; book endpoint definition,hours per week
2016,women,0.14,0.13,4.77,0.14,35.28,36.26,civilian noninstitutional population 15+; not fixed-demographic reweighted,"BLS annual A-1 tables, retrieved 2026-09-09",leisure/sports + lawn/garden + volunteering; book endpoint definition,hours per week
2017,men,0.12,0.25,5.53,0.12,41.3,42.14,civilian noninstitutional population 15+; not fixed-demographic reweighted,"BLS annual A-1 tables, retrieved 2026-09-09",leisure/sports + lawn/garden + volunteering; book endpoint definition,hours per week
2017,women,0.13,0.11,4.98,0.19,36.96,37.87,civilian noninstitutional population 15+; not fixed-demographic reweighted,"BLS annual A-1 tables, retrieved 2026-09-09",leisure/sports + lawn/garden + volunteering; book endpoint definition,hours per week
2018,men,0.11,0.25,5.69,0.12,42.42,43.19,civilian noninstitutional population 15+; not fixed-demographic reweighted,"BLS annual A-1 tables, retrieved 2026-09-09",leisure/sports + lawn/garden + volunteering; book endpoint definition,hours per week
2018,women,0.14,0.11,4.87,0.14,35.84,36.82,civilian noninstitutional population 15+; not fixed-demographic reweighted,"BLS annual A-1 tables, retrieved 2026-09-09",leisure/sports + lawn/garden + volunteering; book endpoint definition,hours per week
2019,men,0.09,0.24,5.53,0.11,41.16,41.79,civilian noninstitutional population 15+; not fixed-demographic reweighted,"BLS annual A-1 tables, retrieved 2026-09-09",leisure/sports + lawn/garden + volunteering; book endpoint definition,hours per week
2019,women,0.15,0.11,4.86,0.14,35.77,36.82,civilian noninstitutional population 15+; not fixed-demographic reweighted,"BLS annual A-1 tables, retrieved 2026-09-09",leisure/sports + lawn/garden + volunteering; book endpoint definition,hours per week
2021,men,0.13,0.27,5.61,0.1,41.86,42.77,civilian noninstitutional population 15+; not fixed-demographic reweighted,"BLS annual A-1 tables, retrieved 2026-09-09",leisure/sports + lawn/garden + volunteering; book endpoint definition,hours per week
2021,women,0.17,0.14,4.94,0.08,36.12,37.31,civilian noninstitutional population 15+; not fixed-demographic reweighted,"BLS annual A-1 tables, retrieved 2026-09-09",leisure/sports + lawn/garden + volunteering; book endpoint definition,hours per week
2022,men,0.13,0.24,5.58,0.09,41.37,42.28,civilian noninstitutional population 15+; not fixed-demographic reweighted,"BLS annual A-1 tables, retrieved 2026-09-09",leisure/sports + lawn/garden + volunteering; book endpoint definition,hours per week
2022,women,0.17,0.12,4.84,0.11,35.49,36.68,civilian noninstitutional population 15+; not fixed-demographic reweighted,"BLS annual A-1 tables, retrieved 2026-09-09",leisure/sports + lawn/garden + volunteering; book endpoint definition,hours per week
2023,men,0.13,0.22,5.56,0.09,41.09,42.0,civilian noninstitutional population 15+; not fixed-demographic reweighted,"BLS annual A-1 tables, retrieved 2026-09-09",leisure/sports + lawn/garden + volunteering; book endpoint definition,hours per week
2023,women,0.16,0.11,4.76,0.1,34.79,35.91,civilian noninstitutional population 15+; not fixed-demographic reweighted,"BLS annual A-1 tables, retrieved 2026-09-09",leisure/sports + lawn/garden + volunteering; book endpoint definition,hours per week
2024,men,0.12,0.27,5.48,0.11,41.02,41.86,civilian noninstitutional population 15+; not fixed-demographic reweighted,"BLS annual A-1 tables, retrieved 2026-09-09",leisure/sports + lawn/garden + volunteering; book endpoint definition,hours per week
2024,women,0.17,0.13,4.67,0.16,34.72,35.91,civilian noninstitutional population 15+; not fixed-demographic reweighted,"BLS annual A-1 tables, retrieved 2026-09-09",leisure/sports + lawn/garden + volunteering; book endpoint definition,hours per week
2025,men,0.12,0.26,5.58,0.11,41.65,42.49,civilian noninstitutional population 15+; not fixed-demographic reweighted,"BLS annual A-1 tables, retrieved 2026-09-09",leisure/sports + lawn/garden + volunteering; book endpoint definition,hours per week
2025,women,0.17,0.13,4.76,0.12,35.07,36.26,civilian noninstitutional population 15+; not fixed-demographic reweighted,"BLS annual A-1 tables, retrieved 2026-09-09",leisure/sports + lawn/garden + volunteering; book endpoint definition,hours per week
