cell_ds,child_care_basic,child_care_teach,child_care_play,child_care_full,civic,eating,sleeping,personal_care,own_medical_care,other_care,esp,meals,housework,home_car_maintenance,home_other,home_production,home_core,obtaining_goods,nonmarket_work,work_travel,work_related,work_core,work_unemp,work,education,exercise_sports,tv,socializing,reading,ent_not_tv,hobbies,garden_pet,leisure_0,leisure_1,leisure_2,leisure_3,leisure_4,total_work,total_work_core,cell_weight,cell_weight_year,cells,age_range,ed_a,ed_b,ed_c,ed_d,educ,male,hv_child,dataset,size_cells
1.0,0.07022016003765649,0.0,0.0,0.07022016,3.829098636205671,6.116384896358113,57.2899644819192,8.90721745276556,0.05603661083736888,2.8614249500607367,72.31357,8.076353304207586,4.716198885356755,0.03133899711664557,2.9960606089861783,15.819952,12.792552,5.29922318405029,21.119175,2.233221164474865,4.105983114673453,31.49365756926866,0.0,37.832863,0.6291099431597001,0.0,4.895811268862238,18.404207888235806,4.672506519785194,0.4901053824365714,0.3871287802371155,0.0,29.288505942018748,29.288506,101.60207,101.672295,109.047966,58.952038,52.61283,0.01821346,0.009848496,1.0,20.0,0.0,0.0,0.0,1.0,4.0,0.0,0.0,1965.0,18
2.0,0.0,0.0,0.0,0.0,1.106660304430281,6.198412551736378,62.05519244212738,9.01844744571332,0.06678621648293212,0.9183422193359938,77.27205,6.38676696211232,3.7687721713324738,1.9766594047858335,0.27988029942835124,13.209466,10.1555395,7.836408216356197,21.045874,3.7185301063168863,2.645923611404545,28.17785365764562,0.0,34.54231,0.7417622681691018,0.40217785136183914,12.151444680797946,12.972380209395537,4.381046528110513,0.7960221768617105,0.9458806854002354,0.7973873871963976,33.10360271440195,33.103603,110.375656,110.375656,112.41182,55.58818,49.22373,0.01821346,0.012763744,1.0,20.0,0.0,0.0,0.0,1.0,4.0,0.0,0.0,1975.0,27
3.0,1.4827467205533995,0.14473651197148077,0.5859683942366127,2.2134516,1.7417126239941567,7.676156275334054,56.75018510070996,10.295684246176293,0.20542465613319033,0.007251744688048103,74.72202,4.973428428295882,3.469381031849326,0.45465712036135075,1.9422309974964678,11.076214,8.442809,6.968075769594593,18.04429,3.9322741755090167,1.2087113711531934,27.429777034250343,0.014648524636255758,32.58541,2.1342352670908773,3.727202221906722,10.072271385317045,11.230437552988422,4.2220652227617235,2.1459146952792216,0.4110991686687741,0.23651673176743584,36.58271369402798,36.582714,111.30474,113.51819,117.3703,50.6297,45.474068,0.01821346,0.02275542,1.0,20.0,0.0,0.0,0.0,1.0,4.0,0.0,0.0,1985.0,72
4.0,0.19540601400344143,0.0,0.003526727575861544,0.19893274,0.8043034751333626,6.3002434168451895,57.23257354038879,7.940451493464128,0.2663533621378496,0.21224938451804962,71.47327,1.8209258253210827,2.1151989923204506,0.27840885593098996,0.7523882119885629,5.8137016,3.9361248,4.934077795000164,10.74778,4.191147183021011,0.180978879115336,42.612481440229026,0.08953948240559495,47.074146,2.0044836537193227,2.9556471192122014,12.745583286518148,10.693044641382611,4.842712891973702,1.8457314827490263,0.7794646066057788,0.8467799337346047,36.065262182754495,36.06526,107.53853,107.737465,110.17807,57.821926,53.36026,0.01821346,0.025787769,1.0,20.0,0.0,0.0,0.0,1.0,4.0,0.0,0.0,1993.0,180
5.0,0.11653505919428718,0.018422898629887687,0.012427674576902727,0.14738563,1.304199273677418,9.929107224137555,60.54926852355714,6.03231742914666,0.3173448265377887,1.100472191318378,76.5107,3.2839810290934546,3.902122504769272,0.9336855936698665,1.0155228564695826,10.241418,7.1861033,6.036259129115259,16.277678,2.3982265024366356,0.2352100710922677,33.33542287835713,0.7976493555893142,36.76651,1.5276326532361337,3.4326522636698815,12.423385175532237,10.32009143299161,2.1370753335656625,2.136971175206619,0.039864931450222144,1.10610599650781,33.81571445599456,33.815716,110.32641,110.47379,114.95581,53.044186,49.6131,0.01821346,0.019911868,1.0,20.0,0.0,0.0,0.0,1.0,4.0,0.0,0.0,2003.0,228
6.0,0.0,0.0,0.0,0.0,0.37012582658160637,6.365135015801791,56.00131111773598,6.387280395726252,0.0,0.038231103183282385,68.75372,2.796735669065577,1.0374304717592826,0.5371498522511086,0.9211925122370888,5.7744336,3.834166,3.4036297721305173,9.178063,4.1321009528571695,4.69758440751749,44.652549188118776,0.0,53.482235,6.348636650051562,2.59526672575717,7.1186831770305705,10.05630399299426,5.585666608019733,3.6294754982411703,0.0,0.4819251401730679,30.31090626003699,30.310905,99.06464,99.06464,105.33971,62.660297,53.830612,0.016961155,0.00807306,2.0,20.0,0.0,0.0,0.0,1.0,4.0,1.0,0.0,1965.0,15
7.0,0.0,0.0,0.0,0.0,1.5482254960301516,6.257014732480762,56.72232719492263,6.7078134041312,0.06589662417959224,0.44404682351902774,69.68716,1.4961299105410586,0.6632787331976835,3.3601972995777007,0.5408323640652647,6.724698,2.1594086,5.0940059308586045,11.818704,3.2434691640812607,2.155631870767679,40.551628864337474,0.0,45.95073,3.2643113068835694,1.8953046669736153,15.871240687826544,10.02910141169015,3.7616847228992367,1.0348253668971874,1.2089447397104052,0.6642597567209471,35.885190160502475,35.88519,105.57234,105.57234,110.23057,57.769436,52.370335,0.016961155,0.015058919,2.0,20.0,0.0,0.0,0.0,1.0,4.0,1.0,0.0,1975.0,31
8.0,0.40053734012324704,0.0,0.04261219877348125,0.44314954,0.6040725143251187,7.046594127322538,56.28028102471774,10.150127338061104,0.05701512374154305,0.0726197123076682,73.477005,1.7316364489592515,2.3457664023055265,1.4294088259832949,1.2959341730682494,7.198189,4.077403,5.1339087618799475,12.332098,3.0438905253115403,2.681789255189952,35.73207818239213,0.0,41.457756,1.1257329395605644,4.601378825385384,10.122290366665705,9.113863699792711,5.271872477224744,2.483989973543357,0.5446848172135706,0.3954431694692154,38.825994835739024,38.825996,112.30299,112.74615,114.210144,53.789856,48.064175,0.016961155,0.017539207,2.0,20.0,0.0,0.0,0.0,1.0,4.0,1.0,0.0,1985.0,56
9.0,0.030807058939318913,0.0,0.09859434713859608,0.1294014,1.087031590428038,7.470097238551487,56.75642877314614,6.818095779254208,0.0,0.45028437249716247,71.044624,1.4071646186284126,1.1809468518583135,1.4015640977639439,0.4951129841474667,4.66117,2.5881114,3.5599697486921786,8.22114,4.411646628968213,0.575300672714477,40.72747434998221,0.0,45.71442,2.7456169833100263,4.880537590407382,13.119387552478619,10.361493875189643,3.5125046116626932,2.8785297970446444,0.7142782356949181,0.1763814405083356,38.783863829599284,38.783863,109.82848,109.957886,114.06444,53.935562,48.948612,0.016961155,0.02646403,2.0,20.0,0.0,0.0,0.0,1.0,4.0,1.0,0.0,1993.0,183
10.0,0.04117451132913339,0.0,0.20650063543302294,0.24767514,1.304053997607137,9.609365673321323,56.44876681684213,4.479361221287074,0.35148673318816676,2.838167639714855,70.53749,1.1094493260288993,2.312734879760071,2.8101497113555434,0.7494976464560199,8.226246,3.4221842,3.733259360088347,11.959505,4.237623065197058,0.3534504145101217,42.84021069057673,0.24537428448422094,47.67666,2.1161629765217262,2.5640405002446434,13.96544644743872,7.870051435338855,1.2500690814471551,2.346087396747799,0.7751719165052304,1.2444141892035008,31.7057280896581,31.705729,102.243225,102.4909,108.36384,59.63616,54.799717,0.016961155,0.017670559,2.0,20.0,0.0,0.0,0.0,1.0,4.0,1.0,0.0,2003.0,148
11.0,14.373528572620783,1.0479146914923403,2.254219723219472,17.675663,2.4913469038631444,9.089896786158915,53.82145788814606,11.484355785156954,0.0,0.3874399059635889,74.39571,8.337351262971662,9.363206401281037,0.06433416267288138,1.27300653600501,19.037899,17.700558,10.172255050148081,29.210154,1.1201319375424912,1.9307424043122234,15.557004784318128,0.0,18.60788,4.304250715961816,0.0,4.677222828153855,5.377914113820139,4.307434378988645,1.7298149021798384,4.21233310971715,0.0,20.92755574808176,20.927555,95.323265,112.99893,120.18197,47.81803,44.76716,0.007841547,0.004797482,3.0,20.0,0.0,0.0,0.0,1.0,4.0,0.0,1.0,1965.0,9
12.0,12.569043238041727,0.6625335065173039,2.3856079152652416,15.617185,2.9915238308347023,8.79043352822778,58.277046130673135,6.0237313595386786,0.11665160707421084,0.35103325705179916,73.09121,11.894637122546587,10.436400718768185,2.789035102355413,0.749242219456187,26.048054,22.331038,6.907175752508061,32.95523,0.9312486539489826,0.43193974479586045,14.860431607535434,0.0,16.22362,0.0,0.639257553787692,9.655837560817535,9.505909702001432,2.8562680465749546,0.0,1.4201732151034114,0.17873770313599674,26.832284558038854,26.832285,99.92349,115.54068,118.82115,49.17885,47.81566,0.007841547,0.01190545,3.0,20.0,0.0,0.0,0.0,1.0,4.0,0.0,1.0,1975.0,26
13.0,14.96665491916798,0.8549350153576948,0.906945210233443,16.728535,2.577574666717913,6.6607322479023985,54.19440686377409,14.973475943697505,2.9527289847386573,0.11225512001546455,75.82861,7.665930228903555,7.948896819538716,0.1395361742529083,1.1140665026467156,17.219553,15.614827,7.120006864732246,24.33956,1.2324763434189527,0.606478614250482,12.490180316334728,0.0,14.329136,5.310581470940731,2.3395305014558065,6.08536003553112,11.683971706667528,1.4599781119958264,0.0,0.0,0.35112299044995643,26.172137210463713,26.172136,102.000755,118.72929,129.3313,38.668694,36.82974,0.007841547,0.005430013,3.0,20.0,0.0,0.0,0.0,1.0,4.0,0.0,1.0,1985.0,17
14.0,5.897983900316638,0.24437023899077065,1.4579423182528661,7.6002965,1.4944356455307632,8.048648391595757,57.98553204111789,8.848092826034096,0.02769871613078947,0.7819523759995917,74.88227,6.591859347089417,4.553911845835722,0.5043710315178983,0.3116642596407973,11.961806,11.145771,6.061894595785881,18.0237,2.4014297626131578,0.0,18.946939072261518,0.27141038891166924,21.61978,0.2629945206514492,1.5390647914606173,15.884991768351284,15.712639162135337,1.0971145353235994,4.1717758149915145,2.386211464871814,0.0,43.306868860629486,43.30687,118.18914,125.78944,128.35652,39.64348,36.970642,0.007841547,0.01030075,3.0,20.0,0.0,0.0,0.0,1.0,4.0,0.0,1.0,1993.0,30
15.0,13.037721104080802,1.0491544383852285,3.6758635375814794,17.76274,2.1240692205598126,9.842873345514638,60.34401397949992,5.744056453475708,0.6732819623438048,1.356529447210177,75.93095,4.745519754768316,6.756832524860016,0.07382898273991484,1.9792672673924003,13.889851,11.502353,6.387089513622391,20.27694,1.3832460394221826,0.03282257467005519,21.008859909272083,0.19324854709528072,22.618177,1.6324854078702395,1.9049021935624615,11.127867668064123,8.200452173972064,1.301374092312654,0.6554001951900411,0.12896937044093426,0.3344020291344642,24.845806121161406,24.845806,100.77675,118.53949,125.10488,42.89512,41.2858,0.007841547,0.0067740413,3.0,20.0,0.0,0.0,0.0,1.0,4.0,0.0,1.0,2003.0,109
16.0,4.19640447695321,0.2877923530159207,1.8865704555952845,6.370767,4.73059535370726,8.808371368027888,54.2368626098587,6.365297227201874,0.0,0.0,69.41053,1.1276713983137538,1.3419491404077062,0.0,0.0,2.4696205,2.4696205,2.8578713520415304,5.3274918,4.733113264495594,4.294439212877708,39.289437338678674,0.0,48.31699,4.9994895767108956,0.8633770590477622,5.1869611167467,16.88233563028245,4.7678657493926915,1.1435960393229565,0.0,0.0,28.844135791869412,28.844135,98.25467,104.625435,114.35552,53.64448,44.61693,0.005114204,0.0057528596,4.0,20.0,0.0,0.0,0.0,1.0,4.0,1.0,1.0,1965.0,11
17.0,1.2436838145693945,0.0,1.5071495441685323,2.7508333,0.7980278152849501,9.882938328260238,59.32680318582329,5.8161476727597705,0.0,0.0,75.02589,1.941313417483897,0.5721027543110139,5.206570365111233,1.2504157717632873,9.351805,2.5134163,4.335699005624954,13.687503,5.872732382197351,2.983319345502909,42.32480895196928,0.0,51.180862,2.5744623943995624,1.278935334271516,10.006171240341658,5.996438419596248,3.261886945002747,0.04767522790210918,1.1442055086220277,0.38140184757400303,22.363825194192877,22.363825,97.38972,100.14055,103.13164,64.86836,56.01231,0.005114204,0.006098204,4.0,20.0,0.0,0.0,0.0,1.0,4.0,1.0,1.0,1975.0,13
18.0,0.0,0.32827971655450167,0.7967112514854495,1.1249909,0.22349286463326873,7.074460416208088,61.05259820223324,8.227528886128258,0.0,0.48585405527734143,76.35459,0.5114252528115288,0.16413985827725083,0.32827971655450167,7.063704398859828,8.833535,0.6755651,8.730628490402752,17.564163,2.946488465406478,2.144344177406118,26.436755857162858,0.0,31.527588,1.722886594069682,6.775450764121968,21.2824628287928,5.9121833313375785,2.2489818392273135,0.0,0.16413985827725083,0.7659860351102119,39.762421263796305,39.76242,116.11701,117.242,118.90825,49.09175,44.00092,0.005114204,0.0034303856,4.0,20.0,0.0,0.0,0.0,1.0,4.0,1.0,1.0,1985.0,11
19.0,1.5596426445924871,0.0,1.8734384721936976,3.4330812,1.03396492887756,7.643846907514444,53.975868173103095,7.0457298295765804,0.0,0.0,68.66544,1.004447998964752,0.5477916982393616,8.343076461911492,0.04932429904800944,10.366259,1.5522397,3.1728997879489556,13.539159,4.53434086057145,0.0,39.327932361661816,0.0,43.862274,0.5522023175777839,3.7740557507714243,15.901376234911085,14.49490060793807,0.9238245053784759,0.5043121567085088,0.0,0.42161843388143544,37.33549345648602,37.335495,106.00094,109.43402,110.59857,57.401432,52.867092,0.005114204,0.007429883,4.0,20.0,0.0,0.0,0.0,1.0,4.0,1.0,1.0,1993.0,21
20.0,4.608081082513946,0.2848926671277093,2.630226947429653,7.5232005,3.6727030277363215,8.070557304395036,57.40991002063822,4.184313313769399,0.6015270797518272,0.38305503968557175,69.66478,2.8507556706770836,1.0807314584824108,1.9481549334762582,1.0020121027159354,9.3263445,3.931487,4.61543678905525,13.941781,6.022433026110899,0.23203564307454047,38.04198080364982,0.0,44.296448,0.0,1.7278827584251981,12.455877999904708,7.100261518143032,1.3293661211690424,3.811423024705256,0.0,2.4446898994780972,30.192988674874776,30.19299,99.857765,107.38097,109.76177,58.23823,51.98376,0.005114204,0.002859687,4.0,20.0,0.0,0.0,0.0,1.0,4.0,1.0,1.0,2003.0,48
21.0,0.642758313253044,0.15433462160038613,0.10853859444823245,0.90563154,0.6890625468810738,5.995484344568467,56.81410907835979,10.50318617355148,0.0,0.10288974422918683,73.31278,5.146611662538721,5.788442247365075,0.20577948845837365,1.3432155672513215,13.66748,10.935054,6.089306077081029,19.756786,4.466609515736867,1.2149119174080658,26.064306741213844,0.0,31.745829,14.717231222587383,1.4729883903430776,8.435253590924138,11.720888734555954,4.292122406127452,0.642758313253044,0.0,1.1834310724196844,27.95322232745184,27.953222,101.266,102.17163,116.49738,51.502613,45.821095,0.014287817,0.0060217725,5.0,20.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,1965.0,11
22.0,1.6984729089606976,0.0,0.0,1.6984729,3.5159026834349367,6.573843066255303,64.75249440791568,11.195788754936066,0.013376563330242645,1.9457568518117994,82.522125,4.880082264919587,6.978808906207153,0.0,0.7430417677043423,12.74404,11.8588915,6.205596178109421,18.949636,2.2174924609636495,2.7836066186637867,22.73666349862008,1.7164568954091401,29.45422,1.2640851855882282,2.0400463902478037,9.886014129298221,9.213471057062879,2.267433893643777,0.31851747174006434,2.5516983841220857,0.14210664196458714,28.778531074198177,28.77853,111.30066,112.99913,119.596146,48.403854,41.6863,0.014287817,0.009952125,5.0,20.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,1975.0,20
23.0,1.614306177565429,0.0,0.5831590566348489,2.1974652,1.6221337896130865,6.095073103473642,59.07329526951864,10.855493897980084,0.739513783484414,0.8420781395593605,76.023865,4.813137881133855,3.6407599640021258,0.1479948322658139,1.0329893460545858,9.790512,8.453897,6.185061669773541,15.975574,3.9894316138878936,1.5599167704987986,30.354833702679322,0.04268186350174112,35.946865,0.634306711418497,3.6615359733868083,9.891071319908498,10.246642896732565,2.8413182133893966,1.0577868989465156,1.4275924995095304,0.15563029631925368,34.17383248236722,34.173832,110.19769,112.39516,116.07756,51.92244,46.330406,0.014287817,0.015619437,5.0,20.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,1985.0,50
24.0,1.8656923954758384,0.13071311293873927,0.4367168608774272,2.4331224,1.2627606428382374,7.952136100488061,58.25415006086306,10.539101468647333,0.24554712010891927,0.33170586057468854,76.745384,2.66491675959483,4.003504081125587,0.30875966588303366,0.4294679857115306,7.5986857,6.668421,5.7605973379615785,13.359283,3.226998400472399,0.08798244717005282,32.548816030727636,0.061784678878794255,35.925583,5.570710579568471,2.447978324663272,14.062634731748426,10.064373526342438,2.0404204173279332,1.556948766869888,0.29500292619825463,0.1920372752736025,32.31793847345514,32.31794,109.063324,111.496445,118.71513,49.284866,45.9081,0.014287817,0.019793237,5.0,20.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,1993.0,130
