Years spanned,1841,1838-54,1871-80,1881-90,1891-1900,1901-1910,1910-12,1920-22,1930-32,1950-52,1960-62,1970-72,1980-82,1990-92,2000-02,2010-12
21,60.2,59.8,59.64,60.46,61.21,63.17,64.37,65.94,66.95,69.71,70.63,71.13,72.545,74.497,76.77392224,79.6
22,60.51,60.13,59.89,60.66,61.4,63.34,64.53,66.1,67.1,69.77,70.69,71.19,72.589,74.543,76.81727696,79.63
23,60.83,60.46,60.15,60.86,61.6,63.51,64.68,66.27,67.25,69.84,70.74,71.23,72.631,74.589,76.86012489,79.66
24,61.15,60.79,60.41,61.07,61.8,63.68,64.84,66.43,67.4,69.9,70.8,71.28,72.671,74.635,76.90263345,79.69
25,61.48,61.12,60.68,61.28,62.01,63.86,65,66.6,67.54,69.96,70.84,71.32,72.71,74.679,76.94496564,79.72
26,61.81,61.44,60.96,61.51,62.22,64.03,65.16,66.76,67.68,70.03,70.89,71.36,72.749,74.721,76.98728207,79.75
27,62.13,61.77,61.24,61.75,62.43,64.21,65.32,66.92,67.82,70.09,70.93,71.4,72.787,74.762,77.02974274,79.78
28,62.47,62.1,61.62,62,62.64,64.39,65.48,67.08,67.95,70.15,70.98,71.44,72.824,74.802,77.0725089,79.81
29,62.8,62.43,61.81,62.26,62.85,64.57,65.65,67.24,68.08,70.21,71.02,71.48,72.862,74.842,77.11574479,79.84
30,63.13,62.76,62.1,62.52,63.07,64.76,65.81,67.4,68.21,70.27,71.06,71.51,72.899,74.883,77.15960636,79.87
31,63.47,63.09,62.4,62.79,63.29,64.95,65.98,67.56,68.34,70.34,71.11,71.55,72.936,74.923,77.20419783,79.91
32,63.81,63.42,62.71,63.06,63.51,65.15,66.16,67.72,68.47,70.4,71.16,71.6,72.974,74.964,77.24962095,79.95
33,64.15,63.74,63.01,63.34,63.75,65.36,66.33,67.89,68.6,70.46,71.21,71.64,73.012,75.005,77.295982,79.98
34,64.49,64.07,63.33,63.62,63.99,65.57,66.52,68.07,68.73,70.53,71.26,71.68,73.051,75.046,77.34339248,80.02
35,64.84,64.4,63.64,63.91,64.24,65.79,66.71,68.25,68.87,70.6,71.31,71.73,73.092,75.09,77.39196977,80.06
36,65.18,64.73,63.96,64.2,64.5,66.02,66.9,68.43,69.01,70.67,71.37,71.78,73.134,75.136,77.44183787,80.11
37,65.53,65.06,64.29,64.5,64.77,66.25,67.11,68.61,69.15,70.74,71.43,71.83,73.179,75.185,77.49312817,80.15
38,65.87,65.39,64.62,64.8,65.06,66.48,67.31,68.8,69.3,70.81,71.49,71.88,73.227,75.237,77.54598033,80.2
39,66.22,65.72,64.96,65.11,65.34,66.72,67.53,68.99,69.46,70.89,71.55,71.94,73.279,75.292,77.60054316,80.26
40,66.57,66.06,65.3,65.42,65.64,66.96,67.74,69.19,69.62,70.98,71.62,72.01,73.335,75.349,77.65699842,80.31
41,66.92,66.89,65.65,65.74,65.94,67.21,67.97,69.39,69.78,71.06,71.7,72.08,73.395,75.409,77.71576645,80.37
42,67.27,66.73,66,66.06,66.25,67.47,68.2,69.59,69.95,71.16,71.77,72.16,73.461,75.473,77.77737075,80.43
43,67.61,67.07,66.35,66.39,66.56,67.72,68.43,69.79,70.13,71.26,71.86,72.24,73.532,75.539,77.84240008,80.5
44,67.96,67.41,66.71,66.72,66.88,67.99,68.67,70.01,70.32,71.37,71.95,72.34,73.611,75.609,77.9115244,80.57
45,68.31,67.76,67.07,67.06,67.2,68.27,68.922,70.22,70.51,71.49,72.05,72.44,73.696,75.684,77.98551425,80.64
46,68.66,68.11,67.44,67.4,67.52,68.55,69.18,70.44,70.71,71.61,72.15,72.55,73.79,75.765,78.06526455,80.72
47,69,68.46,67.8,67.75,67.86,68.84,69.45,70.66,70.92,71.75,72.27,72.68,73.893,75.852,78.15155056,80.79
48,69.35,68.82,68.18,68.1,68.2,69.14,69.12,70.89,71.14,71.9,72.4,72.81,74.006,75.947,78.24437354,80.88
49,69.69,69.17,68.55,68.46,68.54,69.44,70,71.12,71.36,72.06,72.53,72.95,74.129,76.049,78.34358903,80.96
50,70.03,69.54,68.93,68.82,68.9,69.76,70.29,71.36,71.6,72.23,72.68,73.11,74.264,76.159,78.44895366,81.05
51,70.37,69.9,69.31,69.19,69.26,70.08,70.59,71.61,71.84,72.42,72.84,73.28,74.411,76.279,78.56012194,81.15
52,70.7,70.28,69.71,69.57,69.63,70.42,70.9,71.87,72.09,72.62,73.02,73.46,74.571,76.408,78.67664521,81.25
53,71.03,70.67,70.12,69.95,70.01,70.76,71.22,72.14,72.34,72.83,73.21,73.65,74.744,76.547,78.79821222,81.36
54,71.36,71.06,70.53,70.34,70.4,71.12,71.55,72.43,72.61,73.06,73.42,73.86,74.932,76.696,78.92579914,81.47
55,71.68,71.45,70.95,70.74,70.79,71.48,71.89,72.73,72.89,73.31,73.65,74.08,75.135,76.856,79.0607189,81.6
56,72.03,71.86,71.37,71.15,71.19,71.86,72.24,73.04,73.17,73.57,73.89,74.32,75.353,77.027,79.20447465,81.73
57,72.4,72.26,71.8,71.57,71.61,72.25,72.61,73.35,73.47,73.85,74.16,74.56,75.586,77.211,79.35880842,81.87
58,72.79,72.68,72.24,71.99,72.04,72.65,72.98,73.68,73.78,74.15,74.44,74.83,75.836,77.409,79.52567135,82.02
59,73.18,73.1,72.68,72.43,72.48,73.07,73.37,74.01,74.1,74.46,74.74,75.11,76.101,77.622,79.70569119,82.18
60,73.59,73.53,73.14,72.38,72.93,73.49,73.78,74.36,74.43,74.79,75.06,75.41,76.383,77.85,79.89885138,82.35
61,74.02,73.96,73.6,73.34,73.39,73.93,74.19,74.73,74.77,75.14,75.4,75.72,76.681,78.095,80.10497506,82.52
62,74.46,74.41,74.07,73.81,73.87,74.38,74.62,75.11,75.13,75.5,75.76,76.06,76.995,78.357,80.32371264,82.71
63,74.91,74.87,74.56,74.3,74.35,74.84,75.07,75.51,75.5,75.88,76.14,76.41,77.326,78.64,80.55453,82.9
64,75.38,75.34,75.05,74.8,74.84,75.31,75.52,75.93,75.89,76.28,76.54,76.79,77.672,78.943,80.79689851,83.1
65,75.87,75.82,75.55,75.31,75.34,75.8,75.99,76.36,76.3,76.69,76.95,77.18,78.036,79.267,81.05161738,83.32
66,76.37,76.32,76.07,75.83,75.86,76.29,76.47,76.81,76.73,77.12,77.39,77.6,78.417,79.612,81.31984907,83.54
67,76.88,76.86,76.6,76.36,76.38,76.79,76.96,77.27,77.17,77.57,77.84,78.04,78.815,79.978,81.60287252,83.78
68,77.41,77.36,77.14,76.91,76.93,77.31,77.47,77.75,77.63,78.03,78.31,78.5,79.232,80.363,81.90210186,84.02
69,77.96,77.9,77.7,77.47,77.48,77.84,78,78.24,78.12,78.5,78.79,78.99,79.668,80.767,82.21911052,84.29
70,78.52,78.45,78.27,78.04,78.05,78.39,78.53,78.75,78.62,79,79.29,79.5,80.123,81.187,82.55566195,84.56
71,79.09,79.03,78.85,78.63,78.64,78.95,79.09,79.27,79.14,79.49,79.81,80.02,80.597,81.624,82.91375343,84.86
72,79.68,79.62,79.45,79.23,79.24,79.54,79.66,79.82,79.68,80.02,80.35,80.57,81.092,82.08,83.29491119,85.17
73,80.29,80.22,80.07,79.84,79.86,80.14,80.25,80.39,80.24,80.56,80.9,81.14,81.607,82.557,83.69899574,85.5
74,80.91,80.85,80.7,80.46,80.5,80.76,80.86,80.98,80.82,81.12,81.47,81.72,82.143,83.056,84.12559044,85.84
75,81.55,81.4,81.34,81.1,81.15,81.41,81.49,81.59,81.43,81.7,82.05,82.32,82.699,83.572,84.57404806,86.19
76,82.2,82.15,82,81.76,81.81,82.07,82.14,82.22,82.05,82.29,82.66,82.93,83.275,84.106,85.0434706,86.56
77,82.86,82.82,82.68,82.43,82.49,82.74,82.8,82.87,82.69,82.9,83.28,83.56,83.872,84.658,85.53268607,86.95
78,83.54,83.51,83.37,83.11,83.19,83.44,83.49,83.54,83.36,83.54,83.92,84.21,84.489,85.232,86.0402188,87.35
79,84.24,84.21,84.07,83.81,83.9,84.14,84.19,84.22,84.04,84.19,84.57,84.87,85.126,85.825,86.56457628,87.78
80,84.94,84.93,84.79,84.52,84.62,84.86,84.9,84.93,84.74,84.86,85.25,85.54,85.782,86.438,87.1063801,88.22
81,85.67,85.66,85.51,85.25,85.36,85.58,85.64,85.65,85.46,85.54,85.94,86.23,86.458,87.07,87.66679559,88.69
82,86.4,86.41,86.26,85.99,86.11,86.3,86.39,86.39,86.2,86.25,86.66,86.94,87.152,87.718,88.24716633,89.19
83,87.15,87.17,87.01,86.74,86.88,87.03,87.15,87.15,86.95,86.97,87.39,87.66,87.865,88.382,88.8490942,89.71
84,87.91,87.95,87.78,87.51,87.66,87.78,87.93,87.92,87.72,87.72,88.14,88.39,88.596,89.063,89.47456266,90.26
85,88.68,88.73,88.56,88.29,88.45,88.53,88.72,88.72,88.5,88.48,88.9,89.14,89.345,89.762,90.12563435,90.83
86,89.47,89.53,89.36,89.08,89.25,89.31,89.51,89.52,89.3,89.26,89.68,89.9,90.112,90.478,90.8010679,91.42
87,90.27,90.34,90.17,89.89,90.07,90.1,90.33,90.33,90.12,90.07,90.48,90.68,90.895,91.213,91.49864371,92.05
88,91.08,91.16,90.99,90.7,90.89,90.9,91.15,91.15,90.95,90.88,91.3,91.47,91.693,91.968,92.21575739,92.69
89,91.9,92,91.82,91.53,91.73,91.72,92,91.98,91.79,91.71,92.13,92.28,92.506,92.734,92.94929677,93.37
90,92.73,92.84,92.66,92.37,92.58,92.56,92.87,92.82,92.63,92.56,92.97,93.09,93.331,93.508,93.6954479,94.07
91,93.57,93.69,93.51,93.22,93.43,93.43,93.76,93.66,93.49,93.42,93.83,93.92,94.167,94.285,94.4500533,94.8
92,94.42,94.55,94.37,94.08,94.3,94.32,94.67,94.51,94.35,94.3,94.7,94.76,95.012,95.071,95.21351787,95.53
93,95.27,95.41,95.24,94.95,95.17,95.22,95.6,95.37,95.22,95.19,95.58,95.61,95.863,95.872,95.98752118,96.27
94,96.14,96.29,96.12,95.83,96.06,96.15,96.52,96.24,96.09,96.08,96.47,96.47,96.718,96.693,96.774234,97.04
95,97.02,97.17,97.01,96.72,96.95,97.07,97.43,97.12,96.97,96.99,97.38,97.34,97.574,97.531,97.5767543,97.82
96,97.9,98.06,97.9,97.61,97.85,98,98.32,98,97.86,97.91,98.29,98.22,98.431,98.383,98.39890635,98.63
97,98.79,98.95,98.81,98.51,98.75,98.91,99.18,98.89,98.76,98.84,99.21,99.1,99.288,99.244,99.2387648,99.46
98,99.69,99.85,99.72,99.43,99.67,99.8,100.01,99.78,99.66,99.78,100.14,100,100.145,100.114,100.0925554,100.31
99,100.6,100.76,100.65,100.33,100.58,100.67,100.82,100.68,100.57,100.72,101.07,100.91,101.004,100.991,100.9551313,101.17
100,101.51,101.68,101.61,101.24,101.51,101.53,101.61,101.59,101.48,101.67,102,101.84,101.865,101.874,101.8214137,102.05
101,102.44,null,null,null,null,102.36,102.4,102.5,102.4,102.62,null,null,102.729,102.764,102.6869291,102.95
102,103.4,null,null,null,null,103.2,103.2,103.42,103.32,103.58,null,null,103.597,103.66,103.5730959,103.87
103,104.32,null,null,null,null,104.04,104.02,104.34,104.25,104.53,null,null,104.471,104.562,104.4667896,104.79
104,null,null,null,null,null,104.9,104.87,105.27,105.18,105.5,null,null,105.35,105.468,105.3663501,105.72
105,null,null,null,null,null,105.78,105.75,106.2,null,null,null,null,106.236,106.384,106.2716028,106.65
106,null,null,null,null,null,106.68,106.65,null,null,null,null,null,107.129,107.306,107.1821748,107.6
107,null,null,null,null,null,null,null,null,null,null,null,null,108.029,108.234,108.0977066,108.54
108,null,null,null,null,null,null,null,null,null,null,null,null,108.935,109.166,109.0178551,109.48
109,null,null,null,null,null,null,null,null,null,null,null,null,null,110.104,109.9422991,110.43
110,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,111.39
111,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,112.34
112,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,113.3
113,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
114,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
115,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
,,,,,,,,,,,,,,,,
"Note: Most life tables span more than one year, however for ease of use this article uses the census year as the point of reference for each life table. For example, life table 3 spans from 1838 to 1854 but 1851 is used to plot life expectancy.",,,,,,,,,,,,,,,,
