Years spanned,1841,1838-54,1871-80,1881-90,1891-1900,1901-1910,1910-12,1920-22,1930-32,1950-52,1960-62,1970-72,1980-82,1990-92,2000-02,2010-12
Census year,1841,1851,1871,1881,1891,1901,1911,1921,1931,1951,1961,1971,1981,1991,2001,2011
Age,,,,,,,,,,,,,,,,
0,40.17,39.91,41.35,43.66,44.13,48.53,51.5,55.62,58.74,66.42,68.09,69,71.043,73.413,75.95795686,78.97
1,47.72,47.65,49.05,51.97,53.22,56.68,58.51,61.07,63.25,68.66,69.8,70.39,71.956,74.019,76.41154718,79.34
2,50.82,50.83,52.14,55.04,56.12,59,60.53,62.5,64.21,68.82,69.9,70.47,72.016,74.064,76.44513987,79.37
3,52.52,52.61,53.86,56.32,57.28,59.92,61.32,63.14,64.62,68.91,69.97,70.53,72.051,74.091,76.46380292,79.38
4,53.75,53.81,55.01,57.15,57.98,60.49,61.8,63.53,64.89,68.98,70.02,70.57,72.077,74.113,76.47646124,79.39
5,54.64,54.71,55.87,57.75,58.5,60.9,62.14,63.81,65.11,69.04,70.06,70.6,72.101,74.13,76.48691505,79.4
6,55.37,55.39,56.83,58.19,58.88,61.21,62.42,64.05,65.31,69.09,70.09,70.64,72.123,74.145,76.49628204,79.41
7,55.95,55.92,56.77,58.5,59.16,61.42,62.64,64.25,65.47,69.13,70.13,70.66,72.142,74.158,76.50485409,79.42
8,56.41,56.37,57.1,58.73,59.36,61.59,62.82,64.41,65.59,69.17,70.16,70.69,72.16,74.171,76.51288567,79.42
9,56.78,56.74,57.37,58.88,59.51,61.71,62.96,64.53,65.7,69.21,70.18,70.71,72.176,74.183,76.52059245,79.43
10,57.08,57.05,57.6,59,59.63,61.81,63.08,64.64,65.79,69.24,70.21,70.74,72.191,74.195,76.52820543,79.43
11,57.32,57.31,57.79,59.1,59.73,61.91,63.18,64.74,65.87,69.27,70.23,70.76,72.206,74.206,76.53602479,79.44
12,57.55,57.54,57.96,59.18,59.84,62,63.27,64.84,65.95,69.3,70.25,70.78,72.221,74.218,76.54437764,79.45
13,57.78,57.76,58.11,59.27,59.96,62.09,63.37,64.93,66.02,69.33,70.28,70.8,72.237,74.23,76.55365751,79.45
14,58.05,57.97,58.26,59.36,60.08,62.2,63.46,65.02,66.1,69.36,70.3,70.82,72.254,74.244,76.56439545,79.46
15,58.35,58.18,58.41,59.47,60.21,62.31,63.57,65.12,66.19,69.4,70.33,70.84,72.274,74.261,76.57745603,79.47
16,58.65,58.4,58.58,59.59,60.34,62.43,63.68,65.23,66.29,69.44,70.36,70.87,72.297,74.285,76.59418122,79.48
17,58.96,58.64,58.76,59.74,60.5,62.57,63.8,65.35,66.4,69.48,70.4,70.91,72.326,74.315,76.61673214,79.5
18,59.26,58,58.96,59.9,60.67,62.71,63.93,65.48,66.53,69.53,70.45,70.97,72.382,74.358,76.64772407,79.52
19,59.57,59.17,59.17,60.08,60.84,62.85,64.07,65.63,66.66,69.58,70.51,71.02,72.442,74.406,76.68642332,79.54
20,59.88,59.48,59.4,60.27,61.02,63.01,64.21,65.78,66.81,69.64,70.57,71.08,72.496,74.452,76.72988802,79.57
