Entity,Year,kg_co2_per_2011_int_dollar,period
China,1820,0.0,book_period_owid_2017
China,1870,0.0,book_period_owid_2017
China,1900,0.0,book_period_owid_2017
China,1913,0.064205123,book_period_owid_2017
China,1940,0.459912644,book_period_owid_2017
China,1950,0.375983857,book_period_owid_2017
China,1951,0.435228865,book_period_owid_2017
China,1952,0.522667916,book_period_owid_2017
China,1953,0.529294664,book_period_owid_2017
China,1954,0.601358466,book_period_owid_2017
China,1955,0.652406918,book_period_owid_2017
China,1956,0.698384438,book_period_owid_2017
China,1957,0.74385057,book_period_owid_2017
China,1958,1.503959195,book_period_owid_2017
China,1959,2.136583203,book_period_owid_2017
China,1960,2.796089357,book_period_owid_2017
China,1961,1.96976184,book_period_owid_2017
China,1962,1.42954514,book_period_owid_2017
China,1963,1.268002015,book_period_owid_2017
China,1964,1.138559372,book_period_owid_2017
China,1965,1.133940487,book_period_owid_2017
China,1966,1.281512116,book_period_owid_2017
China,1967,1.083680776,book_period_owid_2017
China,1968,1.080341342,book_period_owid_2017
China,1969,1.184983598,book_period_owid_2017
China,1970,1.508899643,book_period_owid_2017
China,1971,1.665584015,book_period_owid_2017
China,1972,1.64734676,book_period_owid_2017
China,1973,1.684222176,book_period_owid_2017
China,1974,1.618179547,book_period_owid_2017
China,1975,1.887583804,book_period_owid_2017
China,1976,1.85514787,book_period_owid_2017
China,1977,1.832224573,book_period_owid_2017
China,1978,1.898188337,book_period_owid_2017
China,1979,1.87734925,book_period_owid_2017
China,1980,1.738670525,book_period_owid_2017
China,1981,1.59972597,book_period_owid_2017
China,1982,1.605436962,book_period_owid_2017
China,1983,1.506088875,book_period_owid_2017
China,1984,1.486238011,book_period_owid_2017
China,1985,1.509297409,book_period_owid_2017
China,1986,1.436653396,book_period_owid_2017
China,1987,1.433157256,book_period_owid_2017
China,1988,1.509989072,book_period_owid_2017
China,1989,1.482805797,book_period_owid_2017
China,1990,1.410717179,book_period_owid_2017
China,1991,1.355841896,book_period_owid_2017
China,1992,1.244856624,book_period_owid_2017
China,1993,1.169738773,book_period_owid_2017
China,1994,1.099224185,book_period_owid_2017
China,1995,1.075636727,book_period_owid_2017
China,1996,1.020573085,book_period_owid_2017
China,1997,0.93605981,book_period_owid_2017
China,1998,0.831708625,book_period_owid_2017
China,1999,0.771017557,book_period_owid_2017
China,2000,0.729331407,book_period_owid_2017
China,2001,0.689475543,book_period_owid_2017
China,2002,0.697494471,book_period_owid_2017
China,2003,0.747501691,book_period_owid_2017
China,2004,0.782492686,book_period_owid_2017
China,2005,0.791487634,book_period_owid_2017
China,2006,0.777469226,book_period_owid_2017
China,2007,0.732885789,book_period_owid_2017
China,2008,0.718008513,book_period_owid_2017
China,2009,0.695239192,book_period_owid_2017
China,2010,0.689272714,book_period_owid_2017
China,2011,0.697918278,book_period_owid_2017
China,2012,0.6666957,book_period_owid_2017
China,2013,0.632853837,book_period_owid_2017
China,2014,0.59176168,book_period_owid_2017
India,1820,0.0,book_period_owid_2017
India,1870,0.0,book_period_owid_2017
India,1900,0.046120507,book_period_owid_2017
India,1913,0.093634512,book_period_owid_2017
India,1940,0.187394131,book_period_owid_2017
India,1950,0.21143332,book_period_owid_2017
India,1951,0.214916977,book_period_owid_2017
India,1952,0.21305809,book_period_owid_2017
India,1953,0.208450162,book_period_owid_2017
India,1954,0.214029155,book_period_owid_2017
India,1955,0.219473867,book_period_owid_2017
India,1956,0.229716613,book_period_owid_2017
India,1957,0.239435136,book_period_owid_2017
India,1958,0.245052956,book_period_owid_2017
India,1959,0.242277917,book_period_owid_2017
India,1960,0.258235994,book_period_owid_2017
India,1961,0.273214197,book_period_owid_2017
India,1962,0.286252866,book_period_owid_2017
India,1963,0.2854624,book_period_owid_2017
India,1964,0.290630525,book_period_owid_2017
India,1965,0.317314276,book_period_owid_2017
India,1966,0.303347117,book_period_owid_2017
India,1967,0.296516014,book_period_owid_2017
India,1968,0.30232389,book_period_owid_2017
India,1969,0.292905228,book_period_owid_2017
India,1970,0.296687685,book_period_owid_2017
India,1971,0.31403577,book_period_owid_2017
India,1972,0.317491692,book_period_owid_2017
India,1973,0.323482495,book_period_owid_2017
India,1974,0.307160172,book_period_owid_2017
India,1975,0.329847948,book_period_owid_2017
India,1976,0.320346806,book_period_owid_2017
India,1977,0.321629421,book_period_owid_2017
India,1978,0.343406864,book_period_owid_2017
India,1979,0.336011911,book_period_owid_2017
India,1980,0.335054526,book_period_owid_2017
India,1981,0.350231131,book_period_owid_2017
India,1982,0.33443699,book_period_owid_2017
India,1983,0.348745889,book_period_owid_2017
India,1984,0.343709269,book_period_owid_2017
India,1985,0.36243296,book_period_owid_2017
India,1986,0.37237839,book_period_owid_2017
India,1987,0.359897075,book_period_owid_2017
India,1988,0.364456354,book_period_owid_2017
India,1989,0.380256982,book_period_owid_2017
India,1990,0.401417091,book_period_owid_2017
India,1991,0.422262229,book_period_owid_2017
India,1992,0.425189818,book_period_owid_2017
India,1993,0.420194802,book_period_owid_2017
India,1994,0.416298881,book_period_owid_2017
India,1995,0.410685236,book_period_owid_2017
India,1996,0.415151908,book_period_owid_2017
India,1997,0.414983837,book_period_owid_2017
India,1998,0.39870847,book_period_owid_2017
India,1999,0.389603407,book_period_owid_2017
India,2000,0.388789412,book_period_owid_2017
India,2001,0.374240133,book_period_owid_2017
India,2002,0.365064058,book_period_owid_2017
India,2003,0.353015414,book_period_owid_2017
India,2004,0.34337798,book_period_owid_2017
India,2005,0.33278024,book_period_owid_2017
India,2006,0.324782636,book_period_owid_2017
India,2007,0.322870358,book_period_owid_2017
India,2008,0.346274171,book_period_owid_2017
India,2009,0.353859781,book_period_owid_2017
India,2010,0.317433446,book_period_owid_2017
India,2011,0.318805425,book_period_owid_2017
India,2012,0.331231562,book_period_owid_2017
India,2013,0.313400555,book_period_owid_2017
India,2014,0.321669599,book_period_owid_2017
United Kingdom,1820,0.258520622,book_period_owid_2017
United Kingdom,1870,0.752714472,book_period_owid_2017
United Kingdom,1900,1.137982254,book_period_owid_2017
United Kingdom,1913,0.917819185,book_period_owid_2017
United Kingdom,1940,0.831825573,book_period_owid_2017
United Kingdom,1950,0.850715739,book_period_owid_2017
United Kingdom,1951,0.927868216,book_period_owid_2017
United Kingdom,1952,0.865871933,book_period_owid_2017
United Kingdom,1953,0.850334455,book_period_owid_2017
United Kingdom,1954,0.839682632,book_period_owid_2017
United Kingdom,1955,0.865302833,book_period_owid_2017
United Kingdom,1956,0.847791688,book_period_owid_2017
United Kingdom,1957,0.844226966,book_period_owid_2017
United Kingdom,1958,0.790807699,book_period_owid_2017
United Kingdom,1959,0.735044788,book_period_owid_2017
United Kingdom,1960,0.760182096,book_period_owid_2017
United Kingdom,1961,0.758497501,book_period_owid_2017
United Kingdom,1962,0.735890151,book_period_owid_2017
United Kingdom,1963,0.711233711,book_period_owid_2017
United Kingdom,1964,0.698438895,book_period_owid_2017
United Kingdom,1965,0.701361461,book_period_owid_2017
United Kingdom,1966,0.681508939,book_period_owid_2017
United Kingdom,1967,0.627259206,book_period_owid_2017
United Kingdom,1968,0.631103859,book_period_owid_2017
United Kingdom,1969,0.638789152,book_period_owid_2017
United Kingdom,1970,0.649616434,book_period_owid_2017
United Kingdom,1971,0.634906907,book_period_owid_2017
United Kingdom,1972,0.583762458,book_period_owid_2017
United Kingdom,1973,0.602343124,book_period_owid_2017
United Kingdom,1974,0.56427684,book_period_owid_2017
United Kingdom,1975,0.539410812,book_period_owid_2017
United Kingdom,1976,0.523824624,book_period_owid_2017
United Kingdom,1977,0.510719955,book_period_owid_2017
United Kingdom,1978,0.497291241,book_period_owid_2017
United Kingdom,1979,0.53884838,book_period_owid_2017
United Kingdom,1980,0.490425058,book_period_owid_2017
United Kingdom,1981,0.467548891,book_period_owid_2017
United Kingdom,1982,0.441613195,book_period_owid_2017
United Kingdom,1983,0.428663573,book_period_owid_2017
United Kingdom,1984,0.401605869,book_period_owid_2017
United Kingdom,1985,0.406863742,book_period_owid_2017
United Kingdom,1986,0.394562329,book_period_owid_2017
United Kingdom,1987,0.377881259,book_period_owid_2017
United Kingdom,1988,0.368913831,book_period_owid_2017
United Kingdom,1989,0.37471974,book_period_owid_2017
United Kingdom,1990,0.363057871,book_period_owid_2017
United Kingdom,1991,0.374369165,book_period_owid_2017
United Kingdom,1992,0.366083895,book_period_owid_2017
United Kingdom,1993,0.350345763,book_period_owid_2017
United Kingdom,1994,0.337878123,book_period_owid_2017
United Kingdom,1995,0.324419218,book_period_owid_2017
United Kingdom,1996,0.324186033,book_period_owid_2017
United Kingdom,1997,0.300621409,book_period_owid_2017
