candidate_corpus,observed_year_range,frequency_percent_2008,fit_slope_log10_percent_per_year,fit_intercept,implied_year_once_per_page,xkcd_label_year_once_per_page,delta_years_vs_xkcd_once_per_page,implied_year_once_per_sentence,xkcd_label_year_once_per_sentence,delta_years_vs_xkcd_once_per_sentence,implied_year_all_words_100_percent,xkcd_label_year_all_words_100_percent,delta_years_vs_xkcd_all_words_100_percent
American English 2009/v1 (corpus=5),1955-2008,0.0014489234672510065,0.04798040032796124,-99.10529233300707,2044.6951601576125,2036,8.695160157612463,2065.5370037680177,2061,4.537003768017712,2107.2206909888278,2109,-1.779309011172245
American English 2012/v2 (corpus=17),1955-2008,0.0005854189112142194,0.043594628964044695,-90.42792311100408,2051.3518576969896,2036,15.351857696989555,2074.29046329505,2061,13.290463295049904,2120.1676744911706,2109,11.167674491170601
Current en-US-2019,1955-2008,0.001307375350734219,0.03544668063311634,-73.93455650834765,2057.5849474663637,2036,21.5849474663637,2085.7963337552605,2061,24.796333755260548,2142.219106333054,2109,33.21910633305379
