year,polity_valid_mean,polity2_mean,n_valid,n_polity2,n_rows,release
1892,-0.8333333333333334,-0.8333333333333334,54,54,54,p4v2015
1893,-0.8148148148148148,-0.8148148148148148,54,54,54,p4v2015
1894,-0.7407407407407407,-0.7407407407407407,54,54,54,p4v2015
1895,-0.7592592592592593,-0.7592592592592593,54,54,54,p4v2015
1896,-0.8518518518518519,-0.8518518518518519,54,54,54,p4v2015
1897,-0.8518518518518519,-0.8518518518518519,54,54,54,p4v2015
1898,-0.5185185185185185,-0.5185185185185185,54,54,54,p4v2015
1899,-0.5185185185185185,-0.5185185185185185,54,54,54,p4v2015
1900,-0.5370370370370371,-0.5370370370370371,54,54,54,p4v2015
1901,-0.3148148148148148,-0.3454545454545454,54,55,55,p4v2015
1902,-0.2545454545454545,-0.2678571428571428,55,56,56,p4v2015
1903,-0.3090909090909091,-0.3035714285714285,55,56,56,p4v2015
1904,-0.4181818181818181,-0.3928571428571428,55,56,56,p4v2015
1905,-0.2407407407407407,-0.3392857142857143,54,56,56,p4v2015
1906,-0.1296296296296296,-0.0714285714285714,54,56,56,p4v2015
1907,-0.3962264150943396,-0.375,53,56,57,p4v2015
1908,0.0185185185185185,0.0526315789473684,54,57,57,p4v2015
1909,0.037037037037037,0.1052631578947368,54,57,57,p4v2015
1910,0.1481481481481481,0.3275862068965517,54,58,58,p4v2015
1911,0.5576923076923077,0.6140350877192983,52,57,57,p4v2015
1912,0.5192307692307693,0.6785714285714286,52,56,57,p4v2015
1913,0.92,1.0363636363636364,50,55,56,p4v2015
1914,0.5098039215686274,0.7454545454545455,51,55,57,p4v2015
1915,0.7,0.7962962962962963,50,54,57,p4v2015
1916,0.7916666666666666,0.903846153846154,48,52,57,p4v2015
1917,1.4339622641509433,1.4285714285714286,53,56,59,p4v2015
1918,1.830188679245283,1.694915254237288,53,59,63,p4v2015
1919,1.851851851851852,1.7966101694915255,54,59,63,p4v2015
1920,2.0,2.0161290322580645,59,62,64,p4v2015
1921,2.262295081967213,2.1746031746031744,61,63,65,p4v2015
1922,2.2459016393442623,2.0,61,66,67,p4v2015
1923,1.9508196721311477,1.6923076923076923,61,65,66,p4v2015
1924,1.532258064516129,1.2878787878787878,62,66,68,p4v2015
1925,1.1791044776119404,1.0735294117647058,67,68,68,p4v2015
1926,1.015384615384615,0.9264705882352942,65,68,69,p4v2015
1927,1.0307692307692309,0.8235294117647058,65,68,69,p4v2015
1928,0.6119402985074627,0.5652173913043478,67,69,69,p4v2015
1929,0.4626865671641791,0.3188405797101449,67,69,69,p4v2015
1930,0.265625,0.144927536231884,64,69,69,p4v2015
1931,0.2121212121212121,-0.0144927536231884,66,69,69,p4v2015
1932,0.2272727272727272,0.0144927536231884,66,69,69,p4v2015
1933,-0.2615384615384615,-0.3478260869565217,65,69,69,p4v2015
1934,-0.7384615384615385,-0.855072463768116,65,69,69,p4v2015
1935,-0.7352941176470589,-0.8428571428571429,68,70,70,p4v2015
1936,-1.391304347826087,-1.391304347826087,69,69,70,p4v2015
1937,-0.8805970149253731,-0.9411764705882352,67,68,70,p4v2015
1938,-0.7878787878787878,-0.7941176470588235,66,68,70,p4v2015
1939,-1.0476190476190477,-0.9850746268656716,63,67,70,p4v2015
1940,-2.2413793103448274,-2.1746031746031744,58,63,70,p4v2015
1941,-1.9423076923076923,-1.7413793103448276,52,58,67,p4v2015
1942,-2.0185185185185186,-1.8166666666666669,54,60,67,p4v2015
1943,-1.9056603773584904,-1.6557377049180328,53,61,68,p4v2015
1944,-0.7037037037037037,-0.8571428571428571,54,63,69,p4v2015
1945,0.2241379310344827,0.0597014925373134,58,67,72,p4v2015
1946,0.7258064516129032,0.2318840579710145,62,69,72,p4v2015
1947,0.365079365079365,0.0285714285714285,63,70,73,p4v2015
1948,0.1643835616438356,0.0266666666666666,73,75,78,p4v2015
1949,-0.1052631578947368,-0.2435897435897435,76,78,79,p4v2015
1950,-0.0126582278481012,-0.0126582278481012,79,79,80,p4v2015
1951,-0.0632911392405063,-0.15,79,80,81,p4v2015
1952,0.1282051282051282,-0.0123456790123456,78,81,81,p4v2015
1953,0.0769230769230769,-0.0975609756097561,78,82,82,p4v2015
1954,-0.050632911392405,-0.3214285714285714,79,84,84,p4v2015
1955,-0.1829268292682926,-0.2705882352941176,82,85,85,p4v2015
1956,0.0476190476190476,0.0581395348837209,84,86,87,p4v2015
1957,0.1395348837209302,0.1590909090909091,86,88,88,p4v2015
1958,-0.3218390804597701,-0.3295454545454545,87,88,89,p4v2015
1959,-0.1444444444444444,-0.1428571428571428,90,91,92,p4v2015
1960,-0.6915887850467289,-0.6454545454545455,107,110,111,p4v2015
1961,-0.7636363636363637,-0.7719298245614035,110,114,114,p4v2015
1962,-0.7192982456140351,-0.7627118644067796,114,118,118,p4v2015
1963,-1.087719298245614,-1.0756302521008403,114,119,120,p4v2015
